cited_work_id,cited_work_full,cited_year,citing_sources,n_citing,n_citing_with_dependents,dependent_claims_by_source,dependent_claims,relations,local_copy,curated_in,status,scope,confidence,notes
CW-0080,"Барях А.А., Асанов В.А., Токсаров В.Н., Аникин В.В. Методика оценки потенциальной опасности нарушения сплошности водозащитной толщи на отработанных участках калийных рудников // Горный информационно-аналитический бюллетень (научно-технический журнал). – 2011. – № 9. – С. 19-24.",2011,VKM-SRC-021;VKM-SRC-023,2,2,VKM-SRC-021=1 | VKM-SRC-023=4,EV-VN-S021-0021;EV-VN-S023-0307;EV-VN-S023-0311;EV-VN-S023-0330;EV-VN-S023-0533,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0081,"Макаров А.Б. Практическая геомеханика. Пособие для горных инженеров / А.Б. Макаров. – М.: Горная книга, 2006. – 391 с.",2006,VKM-SRC-025;VKM-SRC-029,2,2,VKM-SRC-025=1 | VKM-SRC-029=5,EV-VN-S025-0167;EV-VN-S029-0151;EV-VN-S029-0184;EV-VN-S029-0189;EV-VN-S029-0190;EV-VN-S029-0276,cites;reproduces_figure;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0082,"Аман И.П. Проектирование горных предприятий: учеб. Пособие / И.П. Аман. – Пермь: Изд-во Перм. гос. техн. ун-та, 2006. – 136 с.",2006,VKM-SRC-026;VKM-SRC-027,2,2,VKM-SRC-026=1 | VKM-SRC-027=1,EV-VN-S026-0066;EV-VN-S027-0009,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0083,"Baryakh A.A., Samodelkina N.A. To the calculation of pillar stability under condition of chamber mining // Journal of Mining Science. – 2007. – V. 43, № 1. – P. 8-16.",2007,VKM-SRC-032;VKM-SRC-033,2,2,VKM-SRC-032=3 | VKM-SRC-033=2,EV-VN-S032-0006;EV-VN-S032-0007;EV-VN-S032-0008;EV-VN-S033-0016;EV-VN-S033-0018,cites;reproduces_formula;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0084,"Zienkiewicz O.S., Taylor R.L., Fox D.D. The Finite Element Method for Solid and Structural Mechanics. – 7th edition. – Oxford: Butterworth-Heinemann, Waltham, 2014. – 672 p. – DOI: 10.1016/C2009-0-26332-X.",2014,VKM-SRC-032;VKM-SRC-036,2,2,VKM-SRC-032=1 | VKM-SRC-036=6,EV-VN-S032-0009;EV-VN-S036-0017;EV-VN-S036-0018;EV-VN-S036-0025;EV-VN-S036-0026;EV-VN-S036-0072;EV-VN-S036-0073,cites;reproduces_data;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0085,"Указания по защите рудников от затопления и охране подрабатываемых объектов в условиях Верхнекамского месторождения калийных солей (технологический регламент). – С.-Петербург, 2004.",2004,VKM-SRC-038;VKM-SRC-040,2,2,VKM-SRC-038=2 | VKM-SRC-040=27,EV-VN-S038-0015;EV-VN-S038-0016;EV-VN-S040-0018;EV-VN-S040-0019;EV-VN-S040-0020;EV-VN-S040-0021;EV-VN-S040-0022;EV-VN-S040-0023;EV-VN-S040-0024;EV-VN-S040-0025;EV-VN-S040-0026;EV-VN-S040-0027;EV-VN-S040-0028;EV-VN-S040-0029;EV-VN-S040-0030;EV-VN-S040-0031;EV-VN-S040-0032;EV-VN-S040-0038;EV-VN-S040-0040;EV-VN-S040-0041;EV-VN-S040-0042;EV-VN-S040-0045;EV-VN-S040-0046;EV-VN-S040-0047;EV-VN-S040-0048;EV-VN-S040-0049;EV-VN-S040-0050;EV-VN-S040-0052;EV-VN-S040-0122,cites;reproduces_data;reproduces_figure;reproduces_formula,,LIN-23,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0086,"Правила охраны сооружений природных объектов от вредного влияния подземных горных разработок на угольных месторождениях ПБ 07-269-98, утв. постановлением Госгортехнадзора России от 16 марта 1998 г.",1998,VKM-SRC-038;VKM-SRC-039,2,2,VKM-SRC-038=1 | VKM-SRC-039=2,EV-VN-S038-0036;EV-VN-S039-0012;EV-VN-S039-0027,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0016,"Berardino, P. A new algorithm for surface deformation monitoring based on small baseline differential SAR interferograms / P. Berardino, G. Fornaro, R. Lanari, E. Sansosti // IEEE Transact. Geoscience and Remote Sensing. – 2002. –Vol. 40. – No. 11. – Pp. 2375–2383.",2002,VKM-SRC-003;VKM-SRC-004;VKM-SRC-007,3,1,VKM-SRC-003=1,EV-VN-S003-0075,cites;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0017,"Hanssen, R.N. Radar interferometry — data interpretation and error analysis. New York, Boston, Dordrecht, London, Moscow: Kluwer Academic Publishers, 2001. 308 p.",2001,VKM-SRC-003;VKM-SRC-007;VKM-SRC-008,3,1,VKM-SRC-003=4,EV-VN-S003-0017;EV-VN-S003-0047;EV-VN-S003-0053;EV-VN-S003-0068,cites;reproduces_figure;reproduces_formula,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0038,"Kampes, B.A. Radar interferometry. Persistent scatterer techniquue. Netherlands: Springer, 2006. 211 p. doi:10.1007/978-1-4020-4723-7.",2006,VKM-SRC-003;VKM-SRC-008,2,1,VKM-SRC-003=2,EV-VN-S003-0079;EV-VN-S003-0080,cites;reproduces_data,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0041,"Верба В.С., Неронский Л.Б., Осипов И.Г., Турук В.Э. Радиолокационные системы землеобзора космического базирования. М.: Радиотехника, 2010. 680 с.",2010,VKM-SRC-007;VKM-SRC-008,2,1,VKM-SRC-008=1,EV-VN-S008-0011,cites,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0042,"Rosen P.A., Hensley S., Joughin I.R., Li F.K., Madsen S.N., Rodriguez E., Goldstein R.M. Synthetic aperture radar interferometry //Proceedings of the IEEE. 2000. V. 88. №. 3. Р. 333–382.",2000,VKM-SRC-007;VKM-SRC-010,2,1,VKM-SRC-010=2,EV-VN-S010-0004;EV-VN-S010-0007,cites;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0044,"Голубев Б. М. Строение соляной толщи Верхнекамского месторождения. Автореферат диссертации на соиск. уч. степ. канд. техн. наук.— Пермь, 1972.",1972,VKM-SRC-011;VKM-SRC-037,2,1,VKM-SRC-011=1,EV-VN-S011-0218,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0046,"Иванов А.А. Верхнекамское месторождение калийных солей / А.А. Иванов, М.Л. Воронова. – Л.: Недра. – 1975. – 219 с.",1975,VKM-SRC-011;VKM-SRC-025,2,1,VKM-SRC-011=13,EV-VN-S011-0122;EV-VN-S011-0123;EV-VN-S011-0219;EV-VN-S011-1056;EV-VN-S011-1332;EV-VN-S011-1339;EV-VN-S011-1712;EV-VN-S011-1713;EV-VN-S011-1975;EV-VN-S011-2002;EV-VN-S011-2003;EV-VN-S011-2004;EV-VN-S011-3953,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0047,"Лаптев Б.В. Предотвращение газодинамических явлений на калийных рудниках / Б.В. Лаптев. – М.: Недра, 1994. − 141 с.",1994,VKM-SRC-011;VKM-SRC-025,2,1,VKM-SRC-011=10,EV-VN-S011-1679;EV-VN-S011-1682;EV-VN-S011-1683;EV-VN-S011-1684;EV-VN-S011-1685;EV-VN-S011-1686;EV-VN-S011-1687;EV-VN-S011-1688;EV-VN-S011-1689;EV-VN-S011-1690,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0048,"Сапегин Б.И., Янин В.Н. Основные черты тектоники Верхнекамского калийного месторождения / Строение и условия формирования месторождений калийных солей. Новосибирск: Наука, 1981. С. 118–124.",1981,VKM-SRC-011;VKM-SRC-037,2,1,VKM-SRC-037=1,EV-VN-S037-1102,cites,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0049,"Андрейко С.С., Калугин П.А., Щерба В.Я. Газодинамические явления в калийных рудниках: генезис, прогноз и управление: монография / под ред. В.Я. Прушака. – Минск: Высш. шк., 2000. – 335 с.",2000,VKM-SRC-011;VKM-SRC-014,2,1,VKM-SRC-014=8,EV-VN-S014-1147;EV-VN-S014-1148;EV-VN-S014-1149;EV-VN-S014-1150;EV-VN-S014-1151;EV-VN-S014-1159;EV-VN-S014-1163;EV-VN-S014-1165,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0050,Копнин В.И. Этапы и условия складкообразования на Верхнекамском месторождении калийных солей // Геотектоника. 1983. № 6. С. 46–59.,1983,VKM-SRC-011;VKM-SRC-037,2,1,VKM-SRC-037=1,EV-VN-S037-1102,cites,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0052,"Барях, А. А. Прогноз нарастания оседаний земной поверхности при отработке свиты калийных пластов / А. А. Барях, Е. А. Телегина, Н. А. Самоделкина, С. Ю. Девятков // ФТПРПИ, 2005. – № 4. – С. 26-34.",2005,VKM-SRC-012;VKM-SRC-023,2,1,VKM-SRC-023=1,EV-VN-S023-0535,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0053,"Ермашов А. О. Геомеханическое обоснование расчетов оседания земной поверхности при добыче калийно-магниевых руд (на примере Верхнекамского месторождения калийно-магниевых солей): Автореф. дис. … канд. техн. наук. — Пермь: Горный институт УрО РАН, 2015. — 20 с.",2015,VKM-SRC-012;VKM-SRC-016,2,1,VKM-SRC-016=19,EV-VN-S016-0035;EV-VN-S016-0036;EV-VN-S016-0037;EV-VN-S016-0038;EV-VN-S016-0039;EV-VN-S016-0040;EV-VN-S016-0041;EV-VN-S016-0042;EV-VN-S016-0043;EV-VN-S016-0044;EV-VN-S016-0045;EV-VN-S016-0046;EV-VN-S016-0047;EV-VN-S016-0048;EV-VN-S016-0049;EV-VN-S016-0050;EV-VN-S016-0051;EV-VN-S016-0052;EV-VN-S016-0114,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0056,"Прочность и деформируемость горных пород / Ю. М. Карташов, Б. В. Матвеев, Г. В. Михеев, А. Б. Фадеев ; под общ. ред. А. Б. Фадеева – М. : Недра, 1979. – 272 с.",1979,VKM-SRC-012;VKM-SRC-025,2,1,VKM-SRC-025=31,EV-VN-S025-0160;EV-VN-S025-0178;EV-VN-S025-0179;EV-VN-S025-0180;EV-VN-S025-0181;EV-VN-S025-0182;EV-VN-S025-0183;EV-VN-S025-0184;EV-VN-S025-0185;EV-VN-S025-0186;EV-VN-S025-0189;EV-VN-S025-0193;EV-VN-S025-0201;EV-VN-S025-0249;EV-VN-S025-0251;EV-VN-S025-0252;EV-VN-S025-0334;EV-VN-S025-0343;EV-VN-S025-0346;EV-VN-S025-0347;EV-VN-S025-0523;EV-VN-S025-0851;EV-VN-S025-0852;EV-VN-S025-0860;EV-VN-S025-0861;EV-VN-S025-0907;EV-VN-S025-0975;EV-VN-S025-0985;EV-VN-S025-0986;EV-VN-S025-0987;EV-VN-S025-0988,cites;reproduces_data;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0058,"Ямщиков, В.В. Методы и средства исследования и контроля горных пород и процессов / В. В. Ямщиков. – М.: Недра, 1982. – 296 с.",1982,VKM-SRC-012;VKM-SRC-025,2,1,VKM-SRC-025=1,EV-VN-S025-0531,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0064,"Барях A. А., Губанова E. А. О мерах охраны калийных рудников от затопления // Записки Горного института. — 2019. — № 240. — С. 613–620. DOI: 10.31897/PMI.2019.6.613.",2019,VKM-SRC-016;VKM-SRC-023,2,1,VKM-SRC-016=1,EV-VN-S016-0012,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0065,"Шиман М.И. Предотвращение затопления калийных рудников / М.И. Шиман. – М.: Недра, 1992. – 176 с.",1992,VKM-SRC-016;VKM-SRC-025,2,1,VKM-SRC-025=2,EV-VN-S025-0134;EV-VN-S025-0136,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0066,"Борзаковский Б.А. Закладочные работы на верхнекамских калийных рудниках / Б.А. Борзаковский, Л.М. Папулов. – М.: Недра, 1994. – 234 с.",1994,VKM-SRC-019;VKM-SRC-025,2,1,VKM-SRC-019=3,EV-VN-S019-0004;EV-VN-S019-0006;EV-VN-S019-0052,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0067,"Технологические схемы очистной выемки калийных пластов Верхнекамского месторождения. Пермь, ВНИИГ, 1979 г.",1979,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=30,EV-VN-S020-0005;EV-VN-S020-0008;EV-VN-S020-0011;EV-VN-S020-0017;EV-VN-S020-0020;EV-VN-S020-0021;EV-VN-S020-0022;EV-VN-S020-0023;EV-VN-S020-0024;EV-VN-S020-0025;EV-VN-S020-0026;EV-VN-S020-0027;EV-VN-S020-0028;EV-VN-S020-0029;EV-VN-S020-0030;EV-VN-S020-0031;EV-VN-S020-0032;EV-VN-S020-0033;EV-VN-S020-0034;EV-VN-S020-0035;EV-VN-S020-0036;EV-VN-S020-0037;EV-VN-S020-0038;EV-VN-S020-0039;EV-VN-S020-0040;EV-VN-S020-0041;EV-VN-S020-0042;EV-VN-S020-0043;EV-VN-S020-0044;EV-VN-S020-0045,cites;reproduces_data;reproduces_figure,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0069,"Руководство по региональному и локальному прогнозу потенциальных выбросоопасных зон. Пермь, 1990 г.",1990,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-028=2,EV-VN-S028-0113;EV-VN-S028-0122,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0071,"Единые правила безопасности при разработке рудных, нерудных и россыпных месторождений подземным способом. Москва, НПО ОБТ, 1996 г.",1996,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-028=1,EV-VN-S028-0118,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0072,"Инструкция по устройству и эксплуатации защитного заземления электроустановок калийных рудников производственного объединения. Пермь, «Уралкалий», 1991 г.",1991,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=2,EV-VN-S020-0203;EV-VN-S020-0249,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0073,"Инструкция по оформлению принципиальных схем и расчету системы электроснабжения подземных участков калийных рудников. Пермь, 1995 г.",1995,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=1,EV-VN-S020-0256,cites;reproduces_formula,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0074,"Правила безопасности в угольных и сланцевых шахтах. Москва, «Недра», 1986 г.",1986,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=3,EV-VN-S020-0412;EV-VN-S020-0418;EV-VN-S020-0484,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0075,"Борзаковский Б. А., Папулов Л. М. «Закладочные работы на Верхнекамских калийных рудниках (справочник)». Москва, «Недра», 1996 г.",1996,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=2,EV-VN-S020-0162;EV-VN-S020-0193,cites;reproduces_data,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0076,"Правила технической эксплуатации угольных и сланцевых шахт. Москва, «Недра», 1976 г.",1976,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=1,EV-VN-S020-0377,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0077,"Временная инструкция по эксплуатации и ремонту гибких шахтных экранированных кабелей КГЭС на 660 В, применяемых для питания самоходного оборудования на рудниках АО «Уралкалий». Пермь - Березники.",,VKM-SRC-020;VKM-SRC-028,2,1,VKM-SRC-020=1,EV-VN-S020-0377,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0026,"Кашников Ю.А., Лысков И.А., Мусихин В.В., Гилев М.В. Определение зон сдвижений на подработанной территории Верхнекамского месторождения калийных солей (ВКМКС) по результатам интерферометрической обработки радарных данных // Маркшейдерский вестник, 2011, №3. - С.34-39",2011,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,LIN-18,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0027,"Мусихин В.В. Принципы повышения качества определения смещений земной поверхности при интерферометрической обработке данных радиолокационного зондирования земли // Маркшейдерский вестник, 2012, №1. - С. 53-58.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0028,"Мусихин В.В. Подход к интерпретации результатов радиолокационной космической съемки со спутника TerraSAR-X при определении оседаний на месторождениях // Маркшейдерия и недропользование, 2012, №4. - С. 40-44.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0029,"Лысков И.А., Кашников Ю.А., Мусихин В.В. Определение оседаний земной поверхности подработанных территорий при разработке полезных ископаемых по результатам интерферометрической обработки радарных данных // Физико-технические проблемы разработки полезных ископаемых, 2012, №4. - С. 68-77.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0030,"Кашников Ю.А., Ашихмин С.Г., Шустов Д.В., Мусихин В.В., Никифоров С.Э. Организация геодинамического полигона на Ванкорском нефтегазоконденсатном месторождении // Известия высших учебных заведений. Нефть и газ, 2012, №4.-С. 6-13.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0031,"Мусихин В.В. Мониторинг деформационных процессов земной поверхности в г.Перми методами дифференциальной интерферометрической обработки радарных данных // Проектирование, строительство и эксплуатация комплексов подземных сооружений. Труды III международной конференции 19-21 мая 2010 г., г. Екатеринбург, 2010. - С. 114-115",2010,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0032,"Мусихин В.В. Использование радарной интерферометрии для мониторинга процессов оседаний ВКМКС. Геология и полезные ископаемые Западного Урала. Статьи по материалам региональной научно-практической конференции с международным участием. - Пермь, ПГНИУ, 2012. - С. 172-174.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0033,"Мусихин В.В., Лысков И.А. Применение радарной интерферометрии для определения деформаций трубопроводных систем в условиях тундры.// Вестник ПНИПУ. Геология. Нефтегазовое и горное дело. - Пермь, 2012, №4 - С.114-123.",2012,VKM-SRC-001;VKM-SRC-002,2,0,,,cites;same_author_series,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0034,"Мусихин В.В. Мониторинг процессов оседаний земной поверхности в районах интенсивного недропользования на основе интерферометрической обработки данных космического радиолокационного зондирования. Диссертация на соискание ученой степени кандидата технических наук, Пермь, 2012г.",2012,VKM-SRC-002;VKM-SRC-010,2,0,,,cites;same_author_series,VKM-SRC-001,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0036,"Ferretti, A. Permanent scatterers in SAR interferometry / A. Ferretti, C. Prati, F. Rocca // IEEE Trans. Geosci. Remote Sensing. – 2001. – Vol. 39. – No. 1. – Pp. 8–30.",2001,VKM-SRC-003;VKM-SRC-007,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0037,"Hooper, A. A new method for measuring deformation on volcanoes and other natural terrains using InSAR persistent scatterers / A. Hooper, H. Zebker, P. Segall, B. Kampes // Geophysical research letters. – 2004. – Vol. 31. – L. 23611. – Pp. 1–5.",2004,VKM-SRC-003;VKM-SRC-007,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0040,"Кац, Я. Г. Основы линеаментной тектоники / Я. Г. Кац, А. И. Полетаев, Э. Ф. Румянцева. – М. : Недра, 1986. – 144 с.",1986,VKM-SRC-006;VKM-SRC-011,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0057,"Рекомендации по расчету устойчивых пролетов очистных выработок на калийных месторождениях / ВНИИГ. – Л., 1982. – 152 с.",1982,VKM-SRC-012;VKM-SRC-019,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0059,"Karasev M. A., Protosenya A. G., Katerov A. M., Petrushin V. V. Analysis of shaft lining stress state in anhydrite-rock salt transition zone // Rudarsko Geolosko Naftni Zbornik. 2022, no. 12, pp. 151−162. DOI: 10.17794/rgn.2022.1.13.",2022,VKM-SRC-012;VKM-SRC-016,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
CW-0078,"Полянина Г.Д. и др. Технология и безопасность разработки Верхнекамского калийного месторождения. Пермь. Кн. Из-во., 1990.",1990,VKM-SRC-020;VKM-SRC-028,2,0,,,cites,,,FACT,PROJECT,HIGH,multi-source cited work; compare dependent records across sources before using any value
