rank,priority,score,cited_work_id,cited_work_key,cited_work_full,cited_year,cited_type,is_primary,why_primary,worldspec_components,cited_by_sources,n_citing_sources,anchor_vn_ids,corpus_status,external_status,phase1_external_access,phase1_full_text_read,phase1_external_ids,relations,dependent_claims_n,dependent_kinds,dependent_claims,topic_tags,lookup_hint,status,scope,scale,confidence,notes
107,P3,25,CW-0065,shiman|1992|предотвращение затопления калийных рудников,"Шиман М.И. Предотвращение затопления калийных рудников / М.И. Шиман. – М.: Недра, 1992. – 176 с.",1992,book,UNKNOWN,,,VKM-SRC-016;VKM-SRC-025,2,EV-VN-S016-0101;EV-VN-S025-1133,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,2,chronology_event:1;claim:1,EV-VN-S025-0134;EV-VN-S025-0136,ВЗТ/flooding,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
108,P3,25,CW-0120,mihailov|2014|некоторые проблемы мониторинга оползневых процессов,"Михайлов, В.О. Некоторые проблемы мониторинга оползневых процессов с использованием спутниковых радарных снимков с различной длиной волны на примере двух оползневых склонов в районе Большого Сочи / В.О. Михайлов, Е.А. Киселева, Е.И. Смольянинова, П.Н. Дмитриев, В.И. Голубев, Ю.С. Исаев, К.А. Дорохин, Е.П. Тимошкина, С.А. Хайретдинов // Изв. РАН, сер. «Физика Земли». – 2014. – № 4. – С. 1–11.",2014,article,Y,,,VKM-SRC-003,1,EV-VN-S003-0429,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;same_author_series,2,subsidence_method:2,EV-VN-S003-0075;EV-VN-S003-0366,subsidence/InSAR,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
109,P3,25,CW-1385,vialov|1978|реологические основы механики грунтов,"Вялов, С. С. Реологические основы механики грунтов / С. С. Вялов. – М.: Высшая школа, 1978. – 317 с.",1978,book,UNKNOWN,,,VKM-SRC-012,1,EV-VN-S012-0629,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_formula,2,rheology_law:1;formula:1,EV-VN-S012-0040;EV-VN-S012-0041,rheology/properties,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
110,P3,25,CW-1589,tarasov|2015|обзор аварийных ситуаций возникших верхнекамском,"Тарасов В.В., Пестрикова В.С. Обзор аварийный ситуаций, возникших на Верхнекамском калийном месторождении при проходке шахтных стволов, 2015 г.",2015,article,N,,,VKM-SRC-023,1,EV-VN-S023-0509,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_formula,4,formula:1;engineering_rule:1;chronology_event:1;conflict_note:1,EV-VN-S023-0174;EV-VN-S023-0175;EV-VN-S023-0177;EV-VN-S023-0178,VKM,,UNKNOWN,OTHER_VKM_SITE,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
111,P3,25,CW-1668,petuhov|1984|предотвращение горных ударов рудниках,"Петухов И.М. Предотвращение горных ударов на рудниках / И.М. Петухов, П.В. Егоров, Б.Ш. Винокуров. – М.: Недра, 1984.",1984,book,UNKNOWN,,,VKM-SRC-025,1,EV-VN-S025-1113,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;reproduces_formula,7,formula:4;claim:2;engineering_rule:1,EV-VN-S025-0938;EV-VN-S025-0939;EV-VN-S025-0940;EV-VN-S025-0941;EV-VN-S025-0942;EV-VN-S025-0943;EV-VN-S025-0946,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
112,P3,25,CW-1823,bukin|1972|определение напряженного состояния междукамерных целиков,"Букин А.Н. Определение напряженного состояния междукамерных целиков на залежах Джезказганского месторождения, приуроченных к антиклинальным структурам / А.Н. Букин, Ю.В. Жужгов, Ю.И. Чабдарова // Материалы III семинара «Измерение напряжений в массиве горных пород», Новосибирск, 27 сентября-2 октября 1971 г. – Новосибирск: ИГД СО АН СССР, 1972. – С. 153-157.",1972,article,Y,,,VKM-SRC-029,1,EV-VN-S029-0386,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,1,stress_measurement:1,EV-VN-S029-0252,pillars/mining;stress,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
113,P3,25,CW-1847,NOAUTHOR|2016|технологический регламент комплексному обеспечению безопасности,"Технологический регламент по комплексному обеспечению безопасности горных работ и охране недр на рудниках ПАО «Уралкалий»: утв. 16.02.2016, № 253. – 5-е изд.",2016,normative,Y,,,VKM-SRC-034,1,EV-VN-S034-0048,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,2,monitoring_observation:1;process_mechanism:1,EV-VN-S034-0003;EV-VN-S034-0057,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
114,P3,25,CW-1936,petrik|2006|технико экономическое обоснование разведочных кондиций,"Технико-экономическое обоснование разведочных кондиций и переоценка запасов Быгельско-Троицкого участка Верхнекамского месторождения калийно-магниевых солей (с подсчетом запасов по состоянию на 01.01.2006). Фирма «Агрохимбезопасность» ОАО «Агрохиминвест»: отчет о НИР / Петрик, А.И. – Березники: ОАО «Уралкалий», 2006.",2006,report,Y,,,VKM-SRC-040,1,EV-VN-S040-0442,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure,4,conflict_note:3;visual_check:1;claim:1,EV-VN-S040-0034;EV-VN-S040-0036;EV-VN-S040-0037;EV-VN-S040-0348,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
115,P4,47,CW-1612,NOAUTHOR|2017|проектная документация геологическое строение шахтного,"Проектная документация. Раздел 5. Подраздел 7. Часть 3. Подземный комплекс. Геологическое строение шахтного поля. Книга 1. Графическая часть ООО «ТОМС-проект», 2017. ‒ 128 с.",2017,report,Y,,,VKM-SRC-024,1,EV-VN-S024-0239;EV-VN-S024-0240,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,27,stratigraphic_unit:19;claim:2;visual_check:2;engineering_rule:1;parameter:1;spatial_entity:1;borehole:1,EV-VN-S024-0015;EV-VN-S024-0129;EV-VN-S024-0294;EV-VN-S024-0361;EV-VN-S024-0262;EV-VN-S024-0263;EV-VN-S024-0264;EV-VN-S024-0265;EV-VN-S024-0266;EV-VN-S024-0267;EV-VN-S024-0268;EV-VN-S024-0269;EV-VN-S024-0270;EV-VN-S024-0271;EV-VN-S024-0272;EV-VN-S024-0273;EV-VN-S024-0274;EV-VN-S024-0275;EV-VN-S024-0276;EV-VN-S024-0277;EV-VN-S024-0278;EV-VN-S024-0279;EV-VN-S024-0280;EV-VN-S024-0281;EV-VN-S024-0326;EV-VN-S024-0327;EV-VN-S024-0328,cited only in NON-VKM/ANALOGUE context,,UNKNOWN,OTHER_POTASH_SITE,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
116,P4,24,CW-1792,likov|1990|разработка методов определения напряженного состояния,"Лыков К.Г. Разработка методов определения напряженного состояния массива горных пород на основе их эмиссионных эффектов памяти: автореф. дисс. на соиск. уч. ст. канд. техн. наук / Лыков Константин Генрихович. – Москва, 1990. – 13 с.",1990,dissertation,Y,,,VKM-SRC-029,1,EV-VN-S029-0351,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,5,claim:2;stress_measurement:1;parameter:1;chronology_event:1,EV-VN-S029-0073;EV-VN-S029-0074;EV-VN-S029-0081;EV-VN-S029-0089;EV-VN-S029-0101,stress,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
117,P4,24,CW-1918,NOAUTHOR|2016|технологический регламент закладочные работы рудниках,"Технологический регламент на закладочные работы на рудниках ПАО ""Уралкалий"", Пермь-Березники. – 2016.",2016,normative,Y,,,VKM-SRC-040,1,EV-VN-S040-0419,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,3,claim:1;backfill:1;lifecycle_stage:1,EV-VN-S040-0345;EV-VN-S040-0370;EV-VN-S040-0448,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
118,P4,23,CW-0077,NOAUTHOR|NOYEAR|временная инструкция эксплуатации ремонту гибких,"Временная инструкция по эксплуатации и ремонту гибких шахтных экранированных кабелей КГЭС на 660 В, применяемых для питания самоходного оборудования на рудниках АО «Уралкалий». Пермь - Березники.",,normative,Y,,,VKM-SRC-020;VKM-SRC-028,2,EV-VN-S020-0474;EV-VN-S028-0231,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites,1,claim:1,EV-VN-S020-0377,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
119,P4,23,CW-1890,NOAUTHOR|2016|рудник гремячинского гок проектная документация,"Горно-обогатительный комбинат по добыче и обогащению калийных солей мощностью 2,3 млн. т/год 95% КCl Гремячинского месторождения Котельниковского района Волгоградской области. Рудник Гремячинского ГОК. Проектная документация. Свидетельство № 1114.09-2009-5904001952-П-063 от 07 декабря 2016 г. Пермь, 2016 г.",2016,report,Y,,,VKM-SRC-039,1,EV-VN-S039-0039,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,1,parameter:1,EV-VN-S039-0022,pillars/mining,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
120,P4,23,CW-1930,kvitkin|2004|геофизическое заключение результатам работ методом,"Геофизическое заключение по результатам работ методом георадиолокации в стволе №2 рудника БКПРУ-1: отчет о НИР / Квиткин С.Ю. – Березники: ПАО Уралкалий, 2004.",2004,report,Y,,,VKM-SRC-040,1,EV-VN-S040-0434,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,2,gpr:1;claim:1,EV-VN-S040-0093;EV-VN-S040-0345,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
121,P4,22,CW-0300,sanfirov|1993|санфиров 1993 author year mention,"Санфиров И.А., 1993 (author-year mention in caption/text, no reference number)",1993,report,Y,,,VKM-SRC-011,1,EV-VN-S011-0334,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,6,spatial_entity:5;information_lifecycle:1,EV-VN-S011-0316;EV-VN-S011-2641;EV-VN-S011-2642;EV-VN-S011-2643;EV-VN-S011-2644;EV-VN-S011-2645,,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
122,P4,22,CW-1509,prigara|2024|мониторинг гидроизолирующих целиков месторождениях солей,"Пригара А. М., Жуков А. А., Царев Р. И., Скопинов М. В. Мониторинг гидроизолирующих целиков на месторождениях солей // Горный журнал. — 2024. — № 12. — С. 50—57. DOI: 10.17580/gzh.2024.12.06.",2024,article,Y,,,VKM-SRC-015,1,EV-VN-S015-0093,NOT_IN_CORPUS,NONE,NOT_FOUND,N,EXTWEB-GEOPHYS_GPR-008=NOT_FOUND:SAME_WORK,cites;same_author_series,2,claim:2,EV-VN-S015-0008;EV-VN-S015-0012,ВЗТ/flooding;pillars/mining,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
123,P4,22,CW-1617,NOAUTHOR|2019|проект производства маркшейдерских работ,"Проект производства маркшейдерских работ. ООО «ЕвроХим-ВолгаКалий», 2019 г.",2019,report,Y,,,VKM-SRC-024,1,EV-VN-S024-0245,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,8,visual_check:2;chronology_event:2;monitoring_observation:1;claim:1;parameter:1;information_lifecycle:1,EV-VN-S024-0075;EV-VN-S024-0131;EV-VN-S024-0206;EV-VN-S024-0414;EV-VN-S024-0415;EV-VN-S024-0416;EV-VN-S024-0418;EV-VN-S024-0453,monitoring normative;cited only in NON-VKM/ANALOGUE context,,UNKNOWN,OTHER_POTASH_SITE,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
124,P4,22,CW-1900,zhukov|2015|мониторинговый контроль физического состояния среды,"Жуков, А.А. Мониторинговый контроль физического состояния среды методами электрометрии на потенциально-опасных участках образования деформаций земной поверхности / А.А.Жуков, А.М.Пригара, И.Ю.Пушкарева, Р.И.Царев // Горный информационно-аналитический бюллетень. – 2015. – №4. С.163-171.",2015,article,Y,,,VKM-SRC-040,1,EV-VN-S040-0398,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;same_author_series,1,monitoring_observation:1,EV-VN-S040-0106,subsidence/InSAR,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
125,P4,21,CW-0073,NOAUTHOR|1995|инструкция оформлению принципиальных схем расчету,"Инструкция по оформлению принципиальных схем и расчету системы электроснабжения подземных участков калийных рудников. Пермь, 1995 г.",1995,normative,Y,,,VKM-SRC-020;VKM-SRC-028,2,EV-VN-S020-0469;EV-VN-S020-0247;EV-VN-S028-0227,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_formula,1,formula:1,EV-VN-S020-0256,,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
126,P4,21,CW-0086,NOAUTHOR|1998|правила охраны сооружений природных объектов,"Правила охраны сооружений природных объектов от вредного влияния подземных горных разработок на угольных месторождениях ПБ 07-269-98, утв. постановлением Госгортехнадзора России от 16 марта 1998 г.",1998,normative,Y,,,VKM-SRC-038;VKM-SRC-039,2,EV-VN-S038-0047;EV-VN-S039-0038,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-NORMATIVE-007=METADATA_ONLY:SAME_WORK,cites,3,engineering_rule:2;open_question:1,EV-VN-S038-0036;EV-VN-S039-0012;EV-VN-S039-0027,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
127,P4,21,CW-1570,baiandina|2017|исследование геологических условий результатов избирательного,"Баяндина Э.О. Диссертация на тему Исследование геологических условий и результатов избирательного истирания керна сильвинитов при разведке Верхнекамского месторождения, 2017 г.",2017,dissertation,Y,,,VKM-SRC-023,1,EV-VN-S023-0010;EV-VN-S023-0495,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-BOREHOLES_GEOLOGY-014=METADATA_ONLY:SAME_WORK,cites;reproduces_data,5,parameter:2;spatial_entity:2;claim:1,EV-VN-S023-0073;EV-VN-S023-0144;EV-VN-S023-0145;EV-VN-S023-0153;EV-VN-S023-0154,VKM,,UNKNOWN,UNSTATED,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
128,P4,21,CW-1606,gosgortehnadzorrossii|1998|рд 07 226 98 инструкции,"Инструкции по производству геодезическо-маркшейдерских работ при строительстве коммунальных тоннелей и инженерных коммуникаций подземным способом : РД 07-226-98 : утв. Госгортехнадзором России 30.09.1998. – Введ. 1998-09-30. – М. : Госгортехнадзор России, 1998.",1998,normative,Y,,,VKM-SRC-024,1,EV-VN-S024-0233,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_formula,5,engineering_rule:3;formula:1;claim:1,EV-VN-S024-0061;EV-VN-S024-0080;EV-VN-S024-0095;EV-VN-S024-0121;EV-VN-S024-0127,monitoring normative;cited only in NON-VKM/ANALOGUE context,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
129,P4,21,CW-1659,vialov|1966|методика определения характеристик ползучести длительной,"Методика определения характеристик ползучести, длительной прочности и сжимаемости мерзлых грунтов. / С.С. Вялов [и др.]. − М.: Наука, 1966. − 25 с.",1966,normative,Y,,,VKM-SRC-025,1,EV-VN-S025-1102,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites,3,claim:3,EV-VN-S025-0860;EV-VN-S025-0861;EV-VN-S025-0907,rheology/properties,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
130,P4,21,CW-1795,toksarov|2000|экспериментальное определение напряжений соляных породах,"Токсаров В.Н. Экспериментальное определение напряжений в соляных породах: автореф. дисс. на соиск. уч. ст. канд. техн. наук / Токсаров Валерий Николаевич. – Пермь, 2000. – 18 с.",2000,dissertation,Y,,,VKM-SRC-029,1,EV-VN-S029-0354,NOT_IN_CORPUS,NONE,METADATA_ONLY,N,EXTWEB-RHEOLOGY_MECH-010=METADATA_ONLY:SAME_WORK,cites;reproduces_data;reproduces_formula,3,formula:1;claim:1;stress_measurement:1,EV-VN-S029-0086;EV-VN-S029-0089;EV-VN-S029-0160,stress,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
131,P4,21,CW-1805,astm|2008|astm d4971 08 standard test,ASTM D4971-08 Standard Test Method for Determining In Situ Modulus of Deformation of Rock Using Diametrically Loaded 76-mm (3-in.) Borehole Jack. – 2008. – 7 p.,2008,normative,Y,,,VKM-SRC-029,1,EV-VN-S029-0365,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;reproduces_formula,3,claim:2;formula:1,EV-VN-S029-0106;EV-VN-S029-0108;EV-VN-S029-0109,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
132,P4,21,CW-1807,asanov|2011|скважинный метод контроля напряжений соляном,"Асанов В.А. Скважинный метод контроля напряжений в соляном массиве / В.А. Асанов, В.Н. Токсаров, Н.Л. Бельтюков // Научные исследования и инновации. – Пермь: ПГТУ, 2011. – Т. 5, № 4. – С. 53-55.",2011,article,Y,,,VKM-SRC-029,1,EV-VN-S029-0367,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;same_author_series,4,stress_measurement:1;spatial_entity:1;information_lifecycle:1;chronology_event:1,EV-VN-S029-0115;EV-VN-S029-0224;EV-VN-S029-0284;EV-VN-S029-0389,stress,,UNKNOWN,BKPRU2,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
133,P4,21,CW-1808,toksarov|2012|результаты экспериментального определения напряжений нетронутом,"Токсаров В.Н. Результаты экспериментального определения напряжений в нетронутом массиве соляных пород / В.Н. Токсаров, Н.Л. Бельтюков // Материалы II Всероссийской междисциплинарной молодежной научной конференции «Информационная школа молодого ученого», Екатеринбург, 27-31 августа 2012 г. – Екатеринбург, 2012. – С. 325-329.",2012,article,Y,,,VKM-SRC-029,1,EV-VN-S029-0369,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure;same_author_series,4,stress_measurement:1;spatial_entity:1;information_lifecycle:1;chronology_event:1,EV-VN-S029-0115;EV-VN-S029-0224;EV-VN-S029-0284;EV-VN-S029-0389,stress,,UNKNOWN,BKPRU2,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
134,P4,20,CW-0071,NOAUTHOR|1996|единые правила безопасности разработке рудных,"Единые правила безопасности при разработке рудных, нерудных и россыпных месторождений подземным способом. Москва, НПО ОБТ, 1996 г.",1996,normative,Y,,,VKM-SRC-020;VKM-SRC-028,2,EV-VN-S020-0466;EV-VN-S020-0244;EV-VN-S028-0224,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,1,chronology_event:1,EV-VN-S028-0118,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
135,P4,20,CW-0127,babaiants|2023|monitoring subsidence berezniki city perm,"Babayants, I.P. Monitoring of Subsidence in Berezniki City (Perm Krai) by SAR Interferometry. Method of Persistent Scatterers / I.P. Babayants, A.A. Baryakh, V.O. Mikhailov, E.P. Timoshkina, M.S. Volkova and S.A. Khairetdinov // Izvestiya, Physics of the Solid Earth, 2023, Vol. 59, No. 6, pp. 1066–1078. DOI: 10.1134/S1069351323060034.",2023,article,Y,,,VKM-SRC-003,1,EV-VN-S003-0440;EV-VN-S003-0226,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;same_author_series,1,visual_check:1,EV-VN-S003-0221,subsidence/InSAR,,UNKNOWN,OTHER_VKM_SITE,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
136,P4,20,CW-1470,NOAUTHOR|2006|калийная промышленность канады перспективы задачи,"Калийная промышленность Канады: перспективы, задачи, технология, техника: подборка журн. статей / ОАО «ВНИИГ». – СПб., 2006. – Вып. 10 (Новости науки и техники. Галургическая промышленность).",2006,report,Y,,,VKM-SRC-014,1,EV-VN-S014-1243,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data,4,spatial_entity:1;parameter:1;chronology_event:1;mining_geometry:1,EV-VN-S014-1120;EV-VN-S014-1130;EV-VN-S014-1135;EV-VN-S014-1137,,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
137,P4,20,CW-1480,NOAUTHOR|1992|обзор деятельности английской фирмы clevelend,"Обзор деятельности английской фирмы Clevelend Potash Ltd / ОАО ВНИИГ. – СПб., 1992.",1992,report,Y,,,VKM-SRC-014,1,EV-VN-S014-1254,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,2,stratigraphic_unit:1;mining_geometry:1,EV-VN-S014-1197;EV-VN-S014-1200,,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
138,P4,20,CW-1586,kozirev|2009|исследование особенностей напряженно деформированного состояния,"А.А. Козырев, В.В. Рыбин, И.Э. Семенова, И.М. Аветисян Исследование особенностей напряженно-деформированного состояния массива пород в окрестности крупной карьерной выемки Вестник МГТУ, том 12, №4, 2009 г. стр.661-669661УДК 622.271.3 + 622.833.5.004.942",2009,article,Y,,,VKM-SRC-023,1,EV-VN-S023-0505,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_formula,2,stress_measurement:1;formula:1,EV-VN-S023-0163;EV-VN-S023-0164,stress,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
139,P4,20,CW-1691,NOAUTHOR|2016|технологический регламент производства очистных работ,"Технологический регламент производства очистных работ и проходки горных выработок на рудниках ПАО «Уралкалий. – Пермь – Березники, 2016.",2016,normative,Y,,,VKM-SRC-026,1,EV-VN-S026-0164,NOT_IN_CORPUS,EXT-SRC-030=DISCOVERY_ONLY,NO_PHASE1_RECORD,N,,cites,2,claim:1;engineering_rule:1,EV-VN-S026-0003;EV-VN-S026-0012,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
140,P4,19,CW-0489,miagkov|1961|вопросу определении поправочного коэффициента данным,Мягков В.Ф. К вопросу об определении поправочного коэффициента к данным поверхностной разведки шахтных полей Верхнекамского калийного месторождения // Сб. науч. тр. Пермск. ПИ. 1961. № 8. С. 95–101.,1961,article,Y,,,VKM-SRC-011,1,EV-VN-S011-2301;EV-VN-S011-3472,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;reproduces_formula,1,formula:1,EV-VN-S011-2077,VKM,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
141,P4,19,CW-0499,NOAUTHOR|1976|нормы технологического проектирования предприятий калийной,"Нормы технологического проектирования предприятий калийной промышленности. Л., 1976. Ч. 1: Нормы технологического проектирования калийных рудников.",1976,normative,Y,,,VKM-SRC-011,1,EV-VN-S011-2311,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_figure;reproduces_formula,1,formula:1,EV-VN-S011-2077,,,UNKNOWN,GENERAL_METHOD,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
142,P4,19,CW-1467,olhovikov|1997|отчет командировке канаду сша калийные,"Отчет о командировке специалистов калийной промышленности России и Республики Беларусь в Канаду и США на калийные предприятия и порты: отчет / СПЭК; ОАО «Галургия»; исп. Ю.П. Ольховиков. – М.; Пермь, 1997.",1997,report,Y,,,VKM-SRC-014,1,EV-VN-S014-1240,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,2,mining_geometry:1;spatial_entity:1,EV-VN-S014-1132;EV-VN-S014-1138,,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
143,P4,19,CW-1471,van|1993|imc k2 mine flooding,"Leo L. Van Sambeek / The IMC K2 mine Flooding // Rapid City, South Dakota. – 1993.",1993,report,Y,,,VKM-SRC-014,1,EV-VN-S014-1244,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites;reproduces_data;reproduces_figure,2,chronology_event:1;visual_check:1,EV-VN-S014-1143;EV-VN-S014-1145,,,UNKNOWN,NON_VKM,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
144,P4,19,CW-1472,marakov|2009|сравнительный анализ горно геологических гидрогеологических,"Сравнительный анализ горно-геологических и гидрогеологических условий разрабатываемых калийных и соляных месторождений России, Республики Беларусь, Германии, Канады и краткий анализ существующих методов расчета высоты распространения техногенных водопроводящих трещин над отрабатываемыми калийными и соляными пластами месторождений России, Республики Беларусь, Германии, Канады и пр.: отчет / ОАО «Галургия»; рук. В.Е. Мараков. – Березники, 2009.",2009,report,Y,,,VKM-SRC-014,1,EV-VN-S014-1246,NOT_IN_CORPUS,NONE,NO_PHASE1_RECORD,N,,cites,1,engineering_rule:1,EV-VN-S014-1160,VKM,,UNKNOWN,VKM_REGIONAL,NOT_APPLICABLE,MEDIUM,auto-ranked (dependency weight + hub + normative/report + reproduces + topic)
