order,stage_id,graph,stage_ru,description,inputs,outputs,actors,time_scale,skru1_evidence,worldspec_event_types,source_ids,vn_ids,status,confidence,locators,scope,scale,notes,quote_vn_id
30,P22,physical,Доработка остаточных запасов и выемка предохранительных целиков,"Поздняя стадия: отработка «оставшихся запасов» (СКПРУ-1 ~1990), выемка охранных целиков по отдельному проекту","остаточные запасы, статус охраняемых объектов",изменённая геометрия целиков,"рудник, проектировщик, надзор",поздняя стадия жизни рудника,СКПРУ-1 — «оставшиеся запасы» на ~1990; стороны м/ш целика на СКРУ-1 полностью отработаны и заложены (~2022–2023),EXTRACTION_*,VKM-SRC-037; VKM-SRC-026; VKM-SRC-012,EV-VN-S037-1242; EV-VN-S026-0049; EV-VN-S012-0175,FACT,HIGH,VKM-SRC-037 p233; VKM-SRC-026 p9; VKM-SRC-012 p34,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S037-1242
31,P23,physical,Закрытие рудника / затопление / перевод на подземное растворение (аналоги),"Конечная стадия (аналоги): затопление, перевод на растворный способ; продолжение растворения целиков","притоки, затопление",затопленные выработки,операторы,десятилетия,не применимо (по корпусу),MINE_CLOSURE; FLOODING,VKM-SRC-014,EV-VN-S014-1277,ANALOGUE,MEDIUM,VKM-SRC-014 p215,NON_VKM,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S014-1277
32,I09,information,Маркшейдерская съёмка выработок (фактическая геометрия),Задание направлений; съёмка каждые 2 сут; месячный замер (1-е число); рабочие планы 1:500; ГИС-слои отработки,выемка,фактическая геометрия пустот и хронология выемки,участковые маркшейдеры,2 сут / месяц / год,ГИС-слои otrpol_* и zone_pol СКРУ-1 (дата начала отработки зон),SURVEY_OF_WORKINGS,VKM-SRC-020; VKM-SRC-024; VKM-SRC-023,EV-VN-S020-0373; EV-VN-S020-0311; EV-VN-S024-0139; EV-VN-S023-0392,FACT,HIGH,VKM-SRC-020 p160; VKM-SRC-020 p127; VKM-SRC-024 p24; VKM-SRC-023 p74,VKM_REGIONAL; OTHER_POTASH_SITE; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S020-0373
33,I10,information,"Подземные наблюдения: станции, конвергенция, деформации целиков, осмотры, напряжения","Контурные и глубинные реперы, горизонтальная конвергенция камер, поперечная деформация МКЦ; визуальный осмотр; натурные измерения напряжений","выработки, опорные реперы",ряды смещений/деформаций,"маркшейдерская служба, ГИ УрО РАН",циклы ≤3 мес; ≥5 лет наблюдений,нет опубликованных данных СКРУ-1,MONITORING_CAMPAIGN,VKM-SRC-034; VKM-SRC-024; VKM-SRC-029,EV-VN-S034-0006; EV-VN-S024-0140; EV-VN-S024-0151; EV-VN-S024-0155; EV-VN-S029-0223,FACT,HIGH,VKM-SRC-034 p1; VKM-SRC-024 p50; VKM-SRC-024 p58; VKM-SRC-024 p59; VKM-SRC-029 p128,VKM_REGIONAL; OTHER_POTASH_SITE; GENERAL_METHOD,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S024-0151
34,I11,information,"Подземная геофизика (георадар, УЗТ, шахтная сейсморазведка)","Диагностика крепи стволов, целиков, гипсометрия пласта при проходке (предложение для комбайна), полнота закладки",доступ в выработки/стволы,"радарограммы, томограммы, разрезы","ВНИИ Галургии, ПГНИУ, ГИ УрО РАН",эпизодические съёмки; онлайн — предложение,нет данных СКРУ-1,GEOPHYSICAL_SURVEY,VKM-SRC-040; VKM-SRC-015,EV-VN-S040-0228; EV-VN-S015-0006; EV-VN-S040-0449,FACT,HIGH,VKM-SRC-040 p104; VKM-SRC-015 p1; VKM-SRC-040 p147,VKM_REGIONAL; SKRU3,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S015-0006
35,I12,information,"Наземные геодезические наблюдения: нивелирование профильных линий, горизонтальные деформации, GNSS, гидростатика зданий",Наблюдательные станции по Инструкции; частота кампаний по скорости оседаний; две организации (II и IV класс) на части линий,"реперы профильных линий, опорные реперы",вертикальные и горизонтальные смещения реперов (ведомости),маркшейдерская служба Уралкалия; ПНИПУ; ИМСС,кампании: от 1 раза в 3 года до ежемесячно,"линия 12 (с 1989); линии 1, 7 у м/ш целика (реперы в зоне целика + сторона СКРУ-2); линии Соликамска 1, 5, 6, 17 (без атрибуции; слайды SRC-002, discovery-only)",MONITORING_CAMPAIGN,VKM-SRC-012; VKM-SRC-011; VKM-SRC-017,EV-VN-S012-0192; EV-VN-S012-0200; EV-VN-S011-2657; EV-VN-S017-0018,FACT,HIGH,VKM-SRC-012 p40; VKM-SRC-012 p41; VKM-SRC-011 p130; VKM-SRC-017 p3,SKRU2; VKM_REGIONAL; OTHER_VKM_SITE,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0192
36,I13,information,Спутниковый радарный мониторинг (InSAR),"Сезонный (бесснежный) мониторинг; пары 11–33 сут, сезонные суммы, PS/SBAS; только LOS одной орбиты","SAR-сцены, ЦМР, опорные точки","карты смещений/скоростей, ряды PS","ПНИПУ (2008–2016), ИФЗ РАН + ГИ УрО РАН (2020–2022)",11 сут – сезон; зимний разрыв 6–7 мес,"ПНИПУ: 2011 (карта без напечатанного периода), 2011–2016 (ряд точки), 2016 (карта скоростей; изолинии — интерполяция) — однопроходные LOS-данные, «оседания» при u_h≈0 — MODEL_CHOICE; 2011–2016 и 2016 — слайды SRC-002, discovery-only",MONITORING_CAMPAIGN; DATA_PROCESSING,VKM-SRC-003; VKM-SRC-002; VKM-SRC-001,EV-VN-S003-0179; EV-VN-S003-0056; EV-VN-S002-0063; EV-VN-S001-0032,FACT,HIGH,VKM-SRC-003 p44; VKM-SRC-003 p17; VKM-SRC-002 p14; VKM-SRC-001 p11,OTHER_VKM_SITE; GENERAL_METHOD; SKRU1_OR_SKRU2_UNATTRIBUTED; VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S003-0179
37,I14,information,Сейсмологический мониторинг,Регистрация наведённой сейсмичности; карты плотности выделения энергии,сеть сейсмостанций,"каталог событий, карты Es",ГИ УрО РАН,непрерывно; карты — ежегодно/по отчётам,карта Es 2023 (оцифрована в ВКР),MONITORING_CAMPAIGN; DYNAMIC_EVENT,VKM-SRC-011; VKM-SRC-023,EV-VN-S011-0541; EV-VN-S023-0302,FACT,MEDIUM,VKM-SRC-011 p30; VKM-SRC-023 p48,VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S011-0541
38,I15,information,"Обработка и интерпретация наблюдений (ведомости, карты, изолинии, интерполяция)","Уравнивание, ведомости; InSAR-обработка (детрендинг, опорная точка); построение изолиний оседаний и растров (интерполяция)",сырые измерения,производные продукты (DERIVATION/INTERPOLATION),"маркшейдерская служба, обработчики InSAR, исследователи",после кампании/сезона,изолинии «ОСЕДАНИЯ_2022» → растр 0–4300 мм (метод не указан),DATA_PROCESSING,VKM-SRC-024; VKM-SRC-003; VKM-SRC-023,EV-VN-S024-0187; EV-VN-S003-0125; EV-VN-S023-0292,FACT,HIGH,VKM-SRC-024 p72; VKM-SRC-003 p36; VKM-SRC-023 p45,GENERAL_METHOD; VKM_REGIONAL; SKRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S023-0292
39,I16,information,"Геомеханическое моделирование, калибровка, зонирование опасности, прогноз",МКЭ-модели калибруются по оседаниям; зонирование ВЗТ обновляется ~раз в 5 лет; прогнозы до конца жизни рудника; рекомендация — «интерактивная» корректировка по мониторингу,"модель свойств, геометрия выемки, наблюдения","прогнозы, категории участков","ГИ УрО РАН, ПНИПУ",проекты; цикл ~5 лет,модель по линии 1 (сторона СКРУ-1 без измерений); ANN-классификация ВКР,DATA_PROCESSING (MODEL),VKM-SRC-012; VKM-SRC-021; VKM-SRC-038; VKM-SRC-003,EV-VN-S012-0604; EV-VN-S021-0016; EV-VN-S038-0039; EV-VN-S003-0506,FACT,HIGH,VKM-SRC-012 p114; VKM-SRC-021 p2; VKM-SRC-038 p6; VKM-SRC-003 p86,SOLIKAMSK_GROUP; VKM_REGIONAL; BKPRU1; GENERAL_METHOD,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0604
40,I17,information,"Публикация и архивирование (отчёты НИР, статьи, диссертации, учебники, ВКР)",Внешний пользователь получает данные только через публикации: задержка 1–5 лет и более; фондовые отчёты закрыты,результаты,"тексты, рисунки (оцифровка — GRAPH_DIGITIZED_APPROX)","авторы, издательства",годы,линия 12: 1989–2010 → 2012–2013; ПНИПУ InSAR 2011–2016 → презентация ≥2021 (слайды; первичная публикация не найдена),PUBLICATION,VKM-SRC-011; VKM-SRC-012; VKM-SRC-040,EV-VN-S011-2086; EV-VN-S012-0736; EV-VN-S040-0445,FACT,HIGH,VKM-SRC-011 p130; VKM-SRC-012 p130; VKM-SRC-040 p154,VKM_REGIONAL; SOLIKAMSK_GROUP,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S012-0736
41,I18,information,"Решения по защите (отселение, снос, ограждение, мероприятия)",Карты ускорений → защитные решения; решения прерывают ряды наблюдений (снос зданий),"мониторинг, зонирование",защитные действия,"администрация, Уралкалий",сезон–годы,нет данных,OTHER,VKM-SRC-003; VKM-SRC-017,EV-VN-S003-0255; EV-VN-S017-0067,FACT,MEDIUM,VKM-SRC-003 p69; VKM-SRC-017 p1,OTHER_VKM_SITE; BKPRU1,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S003-0255
42,C01,context,Жизненный цикл оборудования (монтаж–эксплуатация–ТО–демонтаж–перемещение),"Формуляры комбайнов, ТО, перемещения между участками/рудниками — не физический цикл массива, но косвенно датирует работу участков",паспорт изделия,"записи ТО, формуляры",энергомеханическая служба,смена–квартал,нет данных,OTHER,VKM-SRC-028,EV-VN-S028-0171; EV-VN-S028-0137; EV-VN-S028-0147,FACT,HIGH,VKM-SRC-028 p333; VKM-SRC-028 p291; VKM-SRC-028 p302,VKM_REGIONAL,NOT_APPLICABLE,"стадия-синтез (scale NOT_APPLICABLE: стадия, не величина); scope — объединение scope записей (D-17); ANALOGUE-стадии не переносятся на СКРУ-1 без явного статуса",EV-VN-S028-0171
