sample_id,profile_id,current_campaign_id,current_date,target_campaign_id,target_date,forecast_horizon_days,split,current_coverage,target_coverage,target_max_settlement_mm,target_mean_settlement_mm,target_max_rate_mm_y,target_max_abs_tilt_mm_m,target_max_abs_curvature_mm_m2,target_max_abs_horizontal_strain,derivation
P-V02::C022::C024,P-V02,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,383.3091729,203.9473125,29.78523886,5.45896411,0.08647992172,2.550934267e-05,derived_from_point_level_forecasts_preferred
P-V02::C024::C027,P-V02,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,458.97876,229.5693154,63.68275729,5.732051046,0.08732032091,5.052301579e-05,derived_from_point_level_forecasts_preferred
P-V03::C001::C003,P-V03,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,1593.737923,492.8167034,38.80334258,14.90633854,0.3641303239,5.282121083e-05,derived_from_point_level_forecasts_preferred
P-V03::C003::C005,P-V03,C003,2018-10-16,C005,2019-05-14,210,train,1.0,1.0,1604.556453,505.6318679,40.1142764,14.80485321,0.3581027192,4.155591516e-05,derived_from_point_level_forecasts_preferred
P-V03::C005::C007,P-V03,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,1613.693808,516.5030881,38.85323204,14.71270666,0.353303856,8.633250199e-05,derived_from_point_level_forecasts_preferred
P-V03::C007::C008,P-V03,C007,2019-11-05,C008,2020-04-21,168,train,1.0,1.0,1623.166166,527.2495894,40.71000704,14.6361643,0.3490328765,8.726921968e-05,derived_from_point_level_forecasts_preferred
P-V03::C008::C010,P-V03,C008,2020-04-21,C010,2020-10-20,182,train,1.0,1.0,1632.480403,536.7704593,32.01910782,14.64414075,0.3455355335,3.373754088e-05,derived_from_point_level_forecasts_preferred
P-V03::C010::C012,P-V03,C010,2020-10-20,C012,2021-05-18,210,train,1.0,1.0,1644.635286,549.2178672,36.60124481,14.64146685,0.3410779169,6.94423409e-05,derived_from_point_level_forecasts_preferred
P-V03::C012::C014,P-V03,C012,2021-05-18,C014,2021-11-02,168,train,1.0,1.0,1655.167351,559.7195875,41.11248715,14.66907845,0.3370846039,4.905088123e-05,derived_from_point_level_forecasts_preferred
P-V03::C014::C016,P-V03,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,1665.328168,570.360376,36.23357289,14.68547953,0.3322835716,5.33248314e-05,derived_from_point_level_forecasts_preferred
P-V03::C016::C018,P-V03,C016,2022-05-17,C018,2022-10-18,154,train,1.0,1.0,1677.552892,580.6555762,39.76192948,14.68993876,0.3298924666,7.670757731e-05,derived_from_point_level_forecasts_preferred
P-V03::C018::C020,P-V03,C018,2022-10-18,C020,2023-05-16,210,train,1.0,1.0,1689.426478,592.9084276,38.64452155,14.68104271,0.3252200759,5.281104776e-05,derived_from_point_level_forecasts_preferred
P-V03::C020::C022,P-V03,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,1702.657786,603.7466011,40.61528293,14.69052451,0.3227528269,8.662595219e-05,derived_from_point_level_forecasts_preferred
P-V03::C022::C024,P-V03,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,1716.53458,616.4026565,39.95977008,14.68867789,0.3194493118,0.0001192905268,derived_from_point_level_forecasts_preferred
P-V03::C024::C027,P-V03,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,1794.993224,650.4030442,66.02999953,14.77531557,0.3367660901,9.315848723e-05,derived_from_point_level_forecasts_preferred
P-V03::C027::C029,P-V03,C027,2025-07-22,C029,2025-11-04,105,test,1.0,1.0,1826.694333,658.009499,110.2745729,14.78881442,0.3492327174,5.855263281e-05,derived_from_point_level_forecasts_preferred
P-V04::C001::C003,P-V04,C001,2018-05-15,C003,2018-10-16,154,train,1.0,1.0,328.2874845,184.6920179,28.93471415,2.139851116,0.06599123567,4.783756479e-05,derived_from_point_level_forecasts_preferred
P-V04::C003::C005,P-V04,C003,2018-10-16,C005,2019-05-14,210,train,1.0,1.0,329.6657815,187.835362,36.36497842,2.138863944,0.06540712309,0.0002109004646,derived_from_point_level_forecasts_preferred
P-V04::C005::C007,P-V04,C005,2019-05-14,C007,2019-11-05,175,train,1.0,0.8888888888888888,329.8052781,190.2726496,33.91335217,2.133990517,0.06430346526,6.366013398e-05,derived_from_point_level_forecasts_preferred
P-V04::C007::C008,P-V04,C007,2019-11-05,C008,2020-04-21,168,train,0.8888888888888888,1.0,330.9081175,193.0798703,34.99134773,2.124151315,0.06353529112,9.184251727e-05,derived_from_point_level_forecasts_preferred
P-V04::C008::C010,P-V04,C008,2020-04-21,C010,2020-10-20,182,train,1.0,0.8888888888888888,328.3747992,178.0001802,32.42749102,1.47485744,0.03454015955,1.501293001e-05,derived_from_point_level_forecasts_preferred
P-V04::C010::C012,P-V04,C010,2020-10-20,C012,2021-05-18,210,train,0.8888888888888888,1.0,333.6002698,199.4261776,39.16115001,2.133191412,0.06206604535,0.0001591731359,derived_from_point_level_forecasts_preferred
P-V04::C016::C018,P-V04,C016,2022-05-17,C018,2022-10-18,154,train,1.0,1.0,363.6936974,205.4850524,36.55539176,2.102432476,0.06509689977,0.0001433034055,derived_from_point_level_forecasts_preferred
P-V04::C018::C020,P-V04,C018,2022-10-18,C020,2023-05-16,210,train,1.0,1.0,387.8275809,209.9904524,41.97571884,2.113324147,0.07021532995,6.998728441e-05,derived_from_point_level_forecasts_preferred
P-V04::C020::C022,P-V04,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,403.886356,211.9035709,33.51695781,2.2902118,0.07334029517,3.489633e-05,derived_from_point_level_forecasts_preferred
P-V04::C022::C024,P-V04,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,420.2686865,215.6790427,31.6595038,2.484467226,0.07666646921,9.630967268e-05,derived_from_point_level_forecasts_preferred
P-V04::C024::C027,P-V04,C024,2024-05-14,C027,2025-07-22,434,test,1.0,0.8888888888888888,342.4132379,192.2502835,3.297807409,2.103770617,0.05814657001,0.0001292352458,derived_from_point_level_forecasts_preferred
P-V04::C027::C029,P-V04,C027,2025-07-22,C029,2025-11-04,105,test,0.8888888888888888,1.0,468.8047378,223.8598524,32.89015345,3.095374004,0.08702298078,6.320448387e-05,derived_from_point_level_forecasts_preferred
P-V05::C003::C005,P-V05,C003,2018-10-16,C005,2019-05-14,210,train,0.8888888888888888,1.0,1640.352908,1072.721549,65.53052473,4.68643171,0.05955561455,0.000128048477,derived_from_point_level_forecasts_preferred
P-V05::C005::C007,P-V05,C005,2019-05-14,C007,2019-11-05,175,train,1.0,0.8888888888888888,1658.678153,1070.625761,56.19949868,4.73884474,0.04887073643,0.000106629352,derived_from_point_level_forecasts_preferred
P-V05::C007::C008,P-V05,C007,2019-11-05,C008,2020-04-21,168,train,0.8888888888888888,1.0,1674.711027,1098.688862,50.209535,4.78492356,0.05234839946,0.0001293955657,derived_from_point_level_forecasts_preferred
P-V05::C008::C010,P-V05,C008,2020-04-21,C010,2020-10-20,182,train,1.0,0.8888888888888888,1693.33511,1095.640477,38.8855239,4.836376144,0.05723163977,6.485892642e-05,derived_from_point_level_forecasts_preferred
P-V05::C010::C012,P-V05,C010,2020-10-20,C012,2021-05-18,210,train,0.8888888888888888,1.0,1713.39472,1124.335342,34.88939317,4.895502556,0.06532819668,6.61446266e-05,derived_from_point_level_forecasts_preferred
P-V05::C012::C014,P-V05,C012,2021-05-18,C014,2021-11-02,168,train,1.0,0.8888888888888888,1728.702984,1095.750708,35.14872363,4.942410936,0.04320246555,3.464990965e-05,derived_from_point_level_forecasts_preferred
P-V05::C014::C016,P-V05,C014,2021-11-02,C016,2022-05-17,196,train,0.8888888888888888,1.0,1744.436161,1147.573755,36.52776688,4.984151198,0.0755177038,6.858786848e-05,derived_from_point_level_forecasts_preferred
P-V05::C016::C018,P-V05,C016,2022-05-17,C018,2022-10-18,154,train,1.0,1.0,1758.520003,1157.058696,35.29666897,5.025200475,0.07910911959,0.000107205328,derived_from_point_level_forecasts_preferred
P-V05::C018::C020,P-V05,C018,2022-10-18,C020,2023-05-16,210,train,1.0,0.8888888888888888,1776.34154,1129.518993,34.98955778,5.075644652,0.05044638314,7.023183863e-05,derived_from_point_level_forecasts_preferred
P-V05::C024::C027,P-V05,C024,2024-05-14,C027,2025-07-22,434,test,0.8888888888888888,1.0,1847.568747,1222.508373,51.00389958,5.279833467,0.1075682169,0.000135074159,derived_from_point_level_forecasts_preferred
P-V05::C027::C029,P-V05,C027,2025-07-22,C029,2025-11-04,105,test,1.0,1.0,1857.49355,1234.507405,127.078336,5.308250856,0.1163545241,0.0001603578431,derived_from_point_level_forecasts_preferred
P-V06::C001::C003,P-V06,C001,2018-05-15,C003,2018-10-16,154,train,0.8888888888888888,1.0,117.1299913,54.00172875,74.06801661,1.415959299,0.03732557248,3.389951352e-05,derived_from_point_level_forecasts_preferred
P-V06::C003::C005,P-V06,C003,2018-10-16,C005,2019-05-14,210,train,1.0,1.0,146.0549847,69.84318942,72.70588168,1.310981027,0.03674629517,0.0001236782972,derived_from_point_level_forecasts_preferred
P-V06::C005::C007,P-V06,C005,2019-05-14,C007,2019-11-05,175,train,1.0,1.0,173.827482,81.44700579,57.96516954,1.42223254,0.03651094123,2.56582911e-05,derived_from_point_level_forecasts_preferred
P-V06::C007::C008,P-V06,C007,2019-11-05,C008,2020-04-21,168,train,1.0,0.8888888888888888,199.9134368,88.79557055,56.71366063,1.514724592,0.01961140195,3.299175287e-05,derived_from_point_level_forecasts_preferred
P-V06::C008::C010,P-V06,C008,2020-04-21,C010,2020-10-20,182,train,0.8888888888888888,1.0,226.8825653,101.2100656,54.12348445,1.621504443,0.03460761596,2.859563575e-05,derived_from_point_level_forecasts_preferred
P-V06::C010::C012,P-V06,C010,2020-10-20,C012,2021-05-18,210,train,1.0,0.8888888888888888,170.9301723,95.011473,32.89653649,1.739599067,0.03407757302,3.577314766e-05,derived_from_point_level_forecasts_preferred
P-V06::C012::C014,P-V06,C012,2021-05-18,C014,2021-11-02,168,train,0.8888888888888888,1.0,271.1431454,119.9351858,41.8456419,1.844128323,0.03421055348,3.290521725e-05,derived_from_point_level_forecasts_preferred
P-V06::C014::C016,P-V06,C014,2021-11-02,C016,2022-05-17,196,train,1.0,1.0,293.4526475,128.7368471,41.57421247,1.974659895,0.03504722397,5.364639822e-05,derived_from_point_level_forecasts_preferred
P-V06::C016::C018,P-V06,C016,2022-05-17,C018,2022-10-18,154,train,1.0,0.8888888888888888,310.0987222,153.5147484,39.48038176,1.50966044,0.03427969013,2.192936648e-05,derived_from_point_level_forecasts_preferred
P-V06::C018::C020,P-V06,C018,2022-10-18,C020,2023-05-16,210,train,0.8888888888888888,1.0,331.8767841,147.5514747,37.878272,1.957112874,0.03784721566,2.28088864e-05,derived_from_point_level_forecasts_preferred
P-V06::C020::C022,P-V06,C020,2023-05-16,C022,2023-11-07,175,train,1.0,1.0,346.7563799,155.7832474,33.09705226,1.912015517,0.04007709444,3.332405371e-05,derived_from_point_level_forecasts_preferred
P-V06::C022::C024,P-V06,C022,2023-11-07,C024,2024-05-14,189,validation,1.0,1.0,363.5354701,165.4145858,33.42248592,1.907525258,0.04209265153,5.014575466e-05,derived_from_point_level_forecasts_preferred
P-V06::C024::C027,P-V06,C024,2024-05-14,C027,2025-07-22,434,test,1.0,1.0,396.5737908,192.5877569,51.81905477,2.196663485,0.04230552979,5.211259356e-05,derived_from_point_level_forecasts_preferred
P-V06::C027::C029,P-V06,C027,2025-07-22,C029,2025-11-04,105,test,1.0,1.0,401.898114,205.9424473,175.7777416,2.377807384,0.0388640252,6.197743217e-05,derived_from_point_level_forecasts_preferred
