entity_id,name,aliases,level,entity_type_as_source,parent_id,parent_level,parent_allowed_by_schema,also_within,site_scope,mine_attribution,attribution_status,location_evidence,dimensions_as_printed,schema_note,stream_overlap,node_basis,superseded_by,borehole_id,n_source_records,source_ids,locators,vn_ids,existing_evidence_ids,status,evidence_type,scope,scale,confidence,extraction_method,quote_check,notes
SKRU1:SHAFT:2,Ствол № 2 СКРУ-1,,working,"шахтный ствол (клетевой, воздухоподающий)",MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,центральная часть поля рядом со стволом №1,"глубина 289 м, Ø 5 м в свету; тюбинги 3,2–134,4 м, бетон 0–3,2 и 250–289 м (SRC-037 табл.1.7); высота подъёма 280,8 м (SRC-014 p39)",shaft → working,,SOURCE_STATED,,BH-SHS1-stvol_2,5,VKM-SRC-014;VKM-SRC-037;VKM-SRC-040,"VKM-SRC-014 pdf p.39 (printed 39); Табл. 2.1 + §2.1 p.28 || VKM-SRC-037 pdf p.18 (printed 34-35); Табл. 1.7, СКПРУ-1 || VKM-SRC-040 pdf p.25 (printed 25); §1.2.2, p.25 || VKM-SRC-040 pdf p.25 (printed 25-26); §1.2.2, p.25-26 || VKM-SRC-014 pdf p.38 (printed 38); §2.3",EV-VN-S014-0384;EV-VN-S037-0192;EV-VN-S040-0070;EV-VN-S040-0072;EV-VN-S014-0375,,FACT,DESCRIPTIVE;DESIGN_VALUE;LITERATURE_CITED,SKRU1,NOT_APPLICABLE;DESIGN,HIGH;MEDIUM,VISUAL_READ;TEXT_LAYER,EXACT;NOT_FOUND;FUZZY_61_ADJ,"Водопроявления 1930 и 1935 гг. на 131,51–134 м (SRC-040 p25–26); реконструкция крепи/армировки с проходческим подъёмом (SRC-014 p38, дата не указана точно)."
SKRU1:SHAFT:2BIS,Ствол № 2-бис СКРУ-1,,working,"шахтный ствол (фланговый, вентиляционный; скиповой+клетевой подъём)",MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,"смещён к восточной границе; ромбовидный охранный целик (SRC-014 p70, Рис.3.1); отметка устья +190,15 м (SRC-040 Рис.1.4)","глубина 395,9 м, Ø 7 м (SRC-040 Рис.1.4, по отчёту [55]); в SRC-037 табл.1.7 напечатано 295,6 м при бетонной крепи 266,1–395,9 м — опечатка, разрешено визуальной проверкой (MC-SP-08; OCR QA QA-C-M041); высота подъёма 332,6/402 м (SRC-014 p39)",shaft → working,,SOURCE_STATED,,BH-SHS1-stvol_2-bis,7,VKM-SRC-014;VKM-SRC-040;VKM-SRC-037,"VKM-SRC-014 pdf p.39 (printed 39); Табл. 2.1 + §2.1 p.28 || VKM-SRC-014 pdf p.70 (printed 70); §2.8, Рис. 2.24 || VKM-SRC-040 pdf p.19 (printed 19); рис. 1.4 || VKM-SRC-040 pdf p.19 (printed 19); рис. 1.4 || VKM-SRC-037 pdf p.18 (printed 34-35); Табл. 1.7, СКПРУ-1 || VKM-SRC-037 pdf p.18 (printed 35); Табл. 1.7, СКПРУ-1 ствол 2-бис || VKM-SRC-040 pdf p.19 (printed 19); Рис. 1.4 (схема крепи ствола № 2-бис СКРУ-1, from [55])",EV-VN-S014-0384;EV-VN-S014-0443;EV-VN-S040-0058;EV-VN-S040-0056;EV-VN-S037-0192;EV-VN-S037-0193;EV-VN-S040-0126,,FACT,DESCRIPTIVE;DESIGN_VALUE,SKRU1,NOT_APPLICABLE;DESIGN,HIGH;MEDIUM,VISUAL_READ;TEXT_LAYER,EXACT;NOT_FOUND,"[review-fix 26.09.2026] COVERAGE_DUPLICATES-007: глубина 395,9 м принята по визуальной проверке (MC-SP-08 → RESOLVED_BY_VISUAL_CHECK); 295,6 м SRC-037 сохранено в конфликте как напечатанное значение; вертикальная колонка ствола — BH-SHS1-stvol_2-bis (borehole_catalog)."
SKRU1:SHAFT:3,Ствол № 3 СКРУ-1 (только подпись на схеме SRC-037 Рис.2.7),,working,ствол (подпись «Ств.3» на плане),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,DOUBTFUL,"западнее центра, у области смешанных солей (SRC-037 Рис.2.7а–в)",,,,SOURCE_STATED,,,3,VKM-SRC-037,VKM-SRC-037 pdf p.37 (printed 72-73); рис. 2.7 а (пласт Красный-II) || VKM-SRC-037 pdf p.37 (printed 72); рис. 2.7 б (пласт АБ) || VKM-SRC-037 pdf p.37 (printed 72-73); рис. 2.7 легенда 7–8,EV-VN-S037-0306;EV-VN-S037-0307;EV-VN-S037-0310,,FACT,DESIGN_VALUE,SKRU1,DESIGN,MEDIUM,VISUAL_READ,FUZZY_81;NOT_FOUND;EXACT,"VISUAL_RECHECK 2026-09-26 (SRC-037 djvu p37, 150 dpi): подпись «Ств.3» с квадратным охранным целиком (легенда 8) есть на всех трёх схемах Рис.2.7а/б/в (запад поля, у 5–10 ЗП); на плане SRC-014 Рис.3.1 (2013) ствола №3 нет. Текст SRC-037/SRC-014/SRC-020 — два центральных и один фланговый ствол (№1, №2, №2-бис). Статус ствола (проектный/строившийся/иной) UNKNOWN — MC-SP-10"
SKRU1:W:MAIN_WEST,Главные западные штреки СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,от стволов №1 и №2 на юг (SRC-014 p77),"SRC-037 Рис.2.8б: 8 зап. транспортный и 10 зап. вентиляционный в КрII 5,1×3,4 м, целик 9,2 м; 9 зап. конвейерный 6,8×3,4 м на 12–50 м ниже КрII",,,SOURCE_STATED,,,2,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.77 (printed 77); §3.1 || VKM-SRC-037 pdf p.38 (printed 74); рис. 2.8 б, в (сеч. Б-Б, В-В)",EV-VN-S014-0457;EV-VN-S037-0317,,FACT,DESCRIPTIVE;DESIGN_VALUE,SKRU1,NOT_APPLICABLE;DESIGN,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,NOT_FOUND,
SKRU1:W:MAIN_NORTH,Главные северные штреки СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,от ствола №2-бис на север,,,,SOURCE_STATED,,,1,VKM-SRC-014,VKM-SRC-014 pdf p.77 (printed 77); §3.1,EV-VN-S014-0457,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,
SKRU1:W:MAIN_SE,Главные юго-восточные штреки СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,от ствола №2-бис на юг,"SRC-037 Рис.2.8а: карналлитовый откаточный 5×3,1 м (−143 м), ЮВ карналлитовый конвейерный 5,5×3,4 м, ЮВ вентиляционные в КрII, закладочные 5,1–5,9 м в КрII и др.",,,SOURCE_STATED,,,2,VKM-SRC-014;VKM-SRC-037,"VKM-SRC-014 pdf p.77 (printed 77); §3.1 || VKM-SRC-037 pdf p.38 (printed 74); рис. 2.8 а (сеч. А-А рис. 2.7, главные юго-восточные штреки)",EV-VN-S014-0457;EV-VN-S037-0314,,FACT,DESCRIPTIVE;DESIGN_VALUE,SKRU1,NOT_APPLICABLE;DESIGN,HIGH;MEDIUM,TEXT_LAYER;VISUAL_READ,NOT_FOUND,
SKRU1:W:MAIN_NE,Главные северо-восточные штреки СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,FIGURE_ONLY,,"SRC-037 Рис.2.8в: 11 гл. СВ вентиляционные в КрII 3,2 м; 12 гл. СВ карналлитовый 3,2×3,2; 14 гл. СВ транспортный 7,9 м; 15 гл. СВ карналлитовый закладочный конвейерный 5,9×3,1 м (КрII)",,,SOURCE_STATED,,,1,VKM-SRC-037,"VKM-SRC-037 pdf p.38 (printed 74); рис. 2.8 б, в (сеч. Б-Б, В-В)",EV-VN-S037-0317,,FACT,DESIGN_VALUE,SKRU1,DESIGN,MEDIUM,VISUAL_READ,NOT_FOUND,
SKRU1:W:MAIN_XCUT,Главные квершлаги СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,"от стволов №1, №2 к главным ЮВ штрекам",,,,SOURCE_STATED,,,1,VKM-SRC-014,VKM-SRC-014 pdf p.77 (printed 77); §3.1,EV-VN-S014-0457,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,
SKRU1:W:MAIN_CENTRAL,Главные центральные штреки СКРУ-1,,working,вскрывающие выработки,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,от главных ЮВ штреков на восток,,,,SOURCE_STATED,,,1,VKM-SRC-014,VKM-SRC-014 pdf p.77 (printed 77); §3.1,EV-VN-S014-0457,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,NOT_FOUND,
SKRU1:W:S_VENT_B199,Главный южный вентиляционный штрек (район блока 199),,working,именованная выработка (место геологического наблюдения),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,координаты не даны (SRC-011),,,,SOURCE_STATED,,,1,VKM-SRC-011,VKM-SRC-011 pdf p.74 (printed 146-147); Табл. 2.20,EV-VN-S011-1488,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
SKRU1:W:S_HAUL,Южный откаточный штрек,,working,именованная выработка (место геологического наблюдения),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,координаты не даны (SRC-011),,,,SOURCE_STATED,,,1,VKM-SRC-011,VKM-SRC-011 pdf p.74 (printed 146-147); Табл. 2.20,EV-VN-S011-1489,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
SKRU1:W:INCLINE_B57_59,Уклон на блок 57—59,,working,именованная выработка (место геологического наблюдения),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,координаты не даны (SRC-011),,,,SOURCE_STATED,,,1,VKM-SRC-011,VKM-SRC-011 pdf p.74 (printed 146-147); Табл. 2.20,EV-VN-S011-1490,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
SKRU1:W:CARN_XCUT,Главный откаточный карналлитовый квершлаг,,working,именованная выработка (место геологического наблюдения),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,координаты не даны (SRC-011),,,,SOURCE_STATED,,,1,VKM-SRC-011,VKM-SRC-011 pdf p.74 (printed 146-147); Табл. 2.20,EV-VN-S011-1491,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,
SKRU1:W:SBOYKA_KRII,Сбойка по пласту КрII СКРУ-1 → «Южный участок» (будущий СКРУ-2),,working,сбойка через междушахтный целик,MF:SKRU1,mine_field,YES,IMP:SKRU1-SKRU2;MF:SKRU2,SKRU1_SKRU2_PILLAR,СКРУ-1/СКРУ-2,TEXT_CONFIRMED,"по границе 1СЗП/1СВП, гор. −143 м; позже изолирована тремя бетонными перемычками по 20 м и гидрозакладкой (SRC-012 p34)",,"WORKING←INTERMINE_PILLAR не разрешено ALLOWED_PARENTS; родитель = MF:SKRU1, целик — в also_within",,SOURCE_STATED,,,1,VKM-SRC-012,VKM-SRC-012 pdf p.34 (printed 34); §1.4.2 «Наличие сбойки...»,EV-VN-S012-0168,EV-MIN-0016;EV-GEO-0193,FACT,DESCRIPTIVE,SKRU1_SKRU2_PILLAR,NOT_APPLICABLE,HIGH,TEXT_LAYER,EXACT,[review-fix 26.09.2026] области записей пересмотрены (D-17/находки): S012-0168: SKRU1_SKRU2→SKRU1_SKRU2_PILLAR
SKRU1:W:BACKFILL_COMPLEX,Транспортно-закладочный комплекс и карналлитовые закладочные штреки СКРУ-1,,working,закладочные выработки (на сечениях главных штреков),MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,FIGURE_ONLY,,,,,SOURCE_STATED,,,2,VKM-SRC-037,"VKM-SRC-037 pdf p.38 (printed 74); рис. 2.8 а (сеч. А-А рис. 2.7, главные юго-восточные штреки) || VKM-SRC-037 pdf p.38 (printed 74); рис. 2.8 б, в (сеч. Б-Б, В-В)",EV-VN-S037-0314;EV-VN-S037-0317,,FACT,DESIGN_VALUE,SKRU1,DESIGN,MEDIUM,VISUAL_READ,NOT_FOUND,
SKRU1:PAN13:1SZP,"1 СЗП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,6,VKM-SRC-014;VKM-SRC-002;VKM-SRC-023,"VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.82 (printed 82); §3.1 || VKM-SRC-002 pdf p.14; слайд 14, карта — оверлей горного плана || VKM-SRC-023 pdf p.42 (printed 42); Рис.15 'Параметры_шахтного_поля_СКРУ1' (image17.png), rendered p.42 || VKM-SRC-023 pdf p.42 (printed 42); Рис.14 (image16.png)",EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0543;EV-VN-S002-0028;EV-VN-S023-0224;EV-VN-S023-0221,EV-MIN-0094;EV-MIN-0086;EV-MIN-0087;EV-MIN-0302;EV-MIN-0303,FACT,DESCRIPTIVE;DESIGN_VALUE,SKRU1,NOT_APPLICABLE;DESIGN,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64;FUZZY_84;NOT_FOUND,Запланированная к вскрытию СЗ часть за р. Усолкой; 8 восточных + 8 западных блоков (SRC-014 p82). Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:1SP,"1 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.31 (printed 31); §2.2,EV-VN-S014-0458;EV-VN-S014-0356,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:2SP,"2 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.31 (printed 31); §2.2,EV-VN-S014-0458;EV-VN-S014-0356,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:3SP,"3 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1,EV-VN-S014-0458;EV-VN-S014-0538,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:4SP,"4 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1,EV-VN-S014-0458;EV-VN-S014-0538,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:5SP,"5 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1,EV-VN-S014-0458;EV-VN-S014-0538,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:6SP,"6 СП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,2,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1,EV-VN-S014-0458;EV-VN-S014-0538,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:1VP,"1 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,5,VKM-SRC-014;VKM-SRC-002;VKM-SRC-023,"VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3 || VKM-SRC-002 pdf p.14; слайд 14, карта — оверлей горного плана || VKM-SRC-023 pdf p.42 (printed 42); Рис.14 'Centoids_zone_pol' (image16.png), rendered p.42",EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461;EV-VN-S002-0028;EV-VN-S023-0216,EV-MIN-0094;EV-MIN-0324,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64;NOT_FOUND,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:2VP,"2 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,FIGURE_ONLY,,,,,SOURCE_STATED,,,1,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1,EV-VN-S014-0458,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM,VISUAL_READ,EXACT,«2 ВП» только в визуальном чтении Рис.3.1 SRC-014 (EV-VN-S014-0458); в тексте p81 отсутствует. Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:3VP,"3 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,4,VKM-SRC-014;VKM-SRC-002,"VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3 || VKM-SRC-002 pdf p.14; слайд 14, карта — оверлей горного плана",EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461;EV-VN-S002-0028,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64;NOT_FOUND,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:5VP,"5 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,4,VKM-SRC-014;VKM-SRC-002,"VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3 || VKM-SRC-002 pdf p.14; слайд 14, карта — оверлей горного плана",EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461;EV-VN-S002-0028,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64;NOT_FOUND,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:7VP,"7 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:9VP,"9 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:11VP,"11 ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.31 (printed 31); §2.2,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0356,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,11ВП — панель карналлитового комплекса над 1СП и 2СП (SRC-014 p31); в SRC-014 p81 11 ВП также перечислена среди центральных/восточных панелей. Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:3bisVP,"3-бис ВП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,1,VKM-SRC-014,VKM-SRC-014 pdf p.81 (printed 81); §3.1,EV-VN-S014-0538,,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,HIGH,TEXT_LAYER,FUZZY_64,"Часть поля в новых границах горного отвода, включая площадь Ново-Соликамского участка (SRC-014 p81). Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют."
SKRU1:PAN13:6ZP,"6 ЗП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:8ZP,"8 ЗП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
SKRU1:PAN13:10ZP,"10 ЗП СКРУ-1 (номенклатура SRC-014, 2013)",,panel,панель,MF:SKRU1,mine_field,YES,,SKRU1,СКРУ-1,TEXT_CONFIRMED,,,,,SOURCE_STATED,,,3,VKM-SRC-014,VKM-SRC-014 pdf p.78 (printed 78); Рис. 3.1 || VKM-SRC-014 pdf p.81 (printed 81); §3.1 || VKM-SRC-014 pdf p.80 (printed 80); Рис. 3.3,EV-VN-S014-0458;EV-VN-S014-0538;EV-VN-S014-0461,EV-MIN-0094,FACT,DESCRIPTIVE,SKRU1,NOT_APPLICABLE,MEDIUM;HIGH;LOW,VISUAL_READ;TEXT_LAYER,EXACT;FUZZY_64,Соответствие с номенклатурой панелей 1992 г. (SRC-037 Рис.2.7) не установлено (MC-SP-11); контур/координаты отсутствуют.
