unit_id,name_ru,abbrev,rank,parent_unit,order_index,global_order_top_down,tree_depth,functional,grouping_type,lithology,age_as_printed,aliases,thickness_ranges_by_source_as_printed,n_observation_rows,n_sources,source_ids,vn_ids,scopes_of_evidence,skru1_specific_rows,skru1_specific_note,status,scope,confidence,notes
KZ,Калийная залежь (продуктивная толща),P1br3,formation,CX_SALT,1,20,1,FALSE,LITHOSTRAT,"продуктивные пласты сильвинита и карналлитовой породы, разделённые каменной солью",P1br3,калийная залежь; калийно-магниевая залежь; potash deposit; продуктивная толща; продуктивная пачка; potash-magnesium salt body,"VKM-SRC-014 p.12 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S014-0122) || VKM-SRC-037 p.190 [VKM_REGIONAL; FACT]: (толщина не указана) (EV-VN-S037-1097) || VKM-SRC-040 p.12 [VKM_REGIONAL; FACT]: среднее около 72 (текст) (EV-VN-S040-0026) || VKM-SRC-011 p.109 [VKM_REGIONAL; FACT]: 27,03 (EV-VN-S011-1795) || VKM-SRC-011 p.146 [VKM_REGIONAL; FACT]: более 110 м (EV-VN-S011-2672) || VKM-SRC-023 p.36 [VKM_REGIONAL; FACT]: 30-50 м (EV-VN-S023-0172) || VKM-SRC-023 p.36 [SKRU1; INTERPOLATION]: ~72 м (§2.3, «средняя мощность порядка 72 м», СКРУ-1) vs 30-50 м (§2.4, обобщённо) (EV-VN-S023-0179)",7,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-023;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-1795;EV-VN-S011-2672;EV-VN-S014-0122;EV-VN-S023-0172;EV-VN-S023-0179;EV-VN-S037-1097;EV-VN-S040-0026,VKM_REGIONAL:6; SKRU1:1,1,VKM-SRC-023 p.36 CONFLICT_PAIR,FACT,VKM_REGIONAL,HIGH,СП (снизу) + КП (сверху). Средняя мощность около 72 м (SRC-040 текст).
KP,Карналлитовая (сильвинито-карналлитовая) зона/пачка,КП / СКЗ,zone,KZ,0,21,2,FALSE,LITHOSTRAT,"9 пластов калийно-магниевых солей Б…К (карналлитовая порода / пёстрый сильвинит / смешанные соли), разделённых каменной солью",P1br3 (верхняя часть) | P1br3crn | P1ir2^3 (SRC-037),КП; СКЗ; карналлитовая пачка; карналлитовая зона; сильвинито-карналлитовая зона; сильвин-карналлитовая зона; carnallite member,"VKM-SRC-011 p.13 [VKM_REGIONAL; FACT]: 38–80, ср. 53,8 (EV-VN-S011-0235) || VKM-SRC-011 p.101 [VKM_REGIONAL; FACT]: not given here (EV-VN-S011-1722) || VKM-SRC-011 p.174 [VKM_REGIONAL; FACT]: 38–80 (mean ~55) (EV-VN-S011-3832) || VKM-SRC-012 p.63 [VKM_REGIONAL; FACT]: see Table 3.1 picks (no ranges stated in text) (EV-VN-S012-0304) || VKM-SRC-014 p.14 [VKM_REGIONAL; FACT]: 13–122, mean about 70 (EV-VN-S014-0154) || VKM-SRC-020 p.7 [VKM_REGIONAL; FACT]: преимущественно 50-85 (EV-VN-S020-0081) || VKM-SRC-023 p.31 [VKM_REGIONAL; FACT]: 54 (средняя, Рис. 7 ВКР — воспроизведение колонки Кудряшова) (EV-VN-S023-0134) || VKM-SRC-023 p.32 [VKM_REGIONAL; FACT]: 54 average (Fig. 7) (EV-VN-S023-0142) || VKM-SRC-025 p.10 [VKM_REGIONAL; FACT]: 42 (сильвинитовый состав) – 64 (карналлитовый) (EV-VN-S025-0062) || VKM-SRC-025 p.10 [VKM_REGIONAL; FACT]: СКЗ — пласты Б…К (толщина не указана) (EV-VN-S025-0066) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 60 (EV-VN-S037-0042) || VKM-SRC-040 p.12 [VKM_REGIONAL; FACT]: 38-80, среднее 53,8 (текст, p.12-13) (EV-VN-S040-0028) || VKM-SRC-040 p.12 [VKM_REGIONAL; FACT]: 30-125 (рис.1.2) (EV-VN-S040-0028) || VKM-SRC-012 p.68 [SKRU1_SKRU2; INTERPOLATION]: 14.87–59.10 [UNRESOLVED-атрибуция] (EV-VN-S012-0364) || VKM-SRC-012 p.68 [SKRU1_SKRU2; INTERPOLATION]: 52.31–96.11 [UNRESOLVED-атрибуция] (EV-VN-S012-0366) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 1,5—6 (EV-VN-S037-0046) || VKM-SRC-011 p.131 [SKRU1; FACT]: КП (P1br3^2): кровля -31 / подошва -113 м абс. (график, ±3–5 м) (EV-VN-S011-2093) || VKM-SRC-011 p.131 [SKRU1; INTERPOLATION]: КП (P1br3^2): кровля -119 / подошва -186 м абс. (график, ±3–5 м) (EV-VN-S011-2094)",18,8,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-020;VKM-SRC-023;VKM-SRC-025;VKM-SRC-037;VKM-SRC-040,EV-VN-S011-0235;EV-VN-S011-1722;EV-VN-S011-2093;EV-VN-S011-2094;EV-VN-S011-3832;EV-VN-S012-0304;EV-VN-S012-0364;EV-VN-S012-0366;EV-VN-S014-0154;EV-VN-S020-0081;EV-VN-S023-0134;EV-VN-S023-0142;EV-VN-S025-0062;EV-VN-S025-0066;EV-VN-S037-0042;EV-VN-S037-0046;EV-VN-S040-0028,VKM_REGIONAL:14; SKRU1_SKRU2:2; SKRU1:2,4,VKM-SRC-011 p.131 ELEVATION_INTERVAL_GRAPH; VKM-SRC-012 p.68 GRID_LEGEND_RANGE,FACT,VKM_REGIONAL,HIGH,"Границы: почва Б — кровля К (SRC-020). Нижняя часть Б–Е богаче калийными солями, верхняя (Е/Ж–К) — бедная."
KP_UPPER,Верхняя (бедная) часть карналлитовой пачки (Е/Ж–К),,other,KP,,,,TRUE,SUBDIVISION_ALT,калийные соли <10 %,P1br3,,"VKM-SRC-011 p.13 [VKM_REGIONAL; FACT]: верхняя 15,7–25,0 ср. 19,5 (EV-VN-S011-0235) || VKM-SRC-020 p.9 [VKM_REGIONAL; FACT]: верхняя (Е-Ж–К) 15-25 (EV-VN-S020-0085)",2,2,VKM-SRC-011;VKM-SRC-020,EV-VN-S011-0235;EV-VN-S020-0085,VKM_REGIONAL:2,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,MEDIUM,"Функциональное подразделение (SRC-011, SRC-020): границы у авторов различаются (кровля Е или Е-Ж)."
KP_LOWER,Нижняя (богатая) часть карналлитовой пачки (Б–Е),,other,KP,,,,TRUE,SUBDIVISION_ALT,калийные соли до 83 %,P1br3,,"VKM-SRC-011 p.13 [VKM_REGIONAL; FACT]: нижняя 20,2–60,5 ср. 34,9 (EV-VN-S011-0235) || VKM-SRC-020 p.9 [VKM_REGIONAL; FACT]: нижняя (Б–Е) 40-65 (EV-VN-S020-0085)",2,2,VKM-SRC-011;VKM-SRC-020,EV-VN-S011-0235;EV-VN-S020-0085,VKM_REGIONAL:2,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,MEDIUM,"SRC-011, SRC-020."
S_L,"Пласт Л (непостоянный, выделялся В.И. Копниным)",Л,seam,KP,0,22,3,FALSE,LITHOSTRAT,калийный (карналлитовый) пласт — непостоянный,P1br3,Л,VKM-SRC-011 p.26 [VKM_REGIONAL; FACT]: not given (EV-VN-S011-0473),1,1,VKM-SRC-011,EV-VN-S011-0473,VKM_REGIONAL:1,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,LOW,Только SRC-011 p.26; не входит в стандартную схему.
S_K,Пласт К,К,seam,KP,1,23,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит / смешанные соли; в середине — прослой каменной соли,P1br3,К,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 0,9 (deposit-wide average) (EV-VN-S014-0151) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 1.1/0.75 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0020) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 1,10/0, 75 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0072) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 1,10/0,75 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 0,84 m; KCl 15,25; MgCl2 8,57; NaCl 58,23; CaSO4 1,15; Н.О. 1,76; Br 0,064 (%) (EV-VN-S011-0283) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 0,84 (EV-VN-S011-3842)",6,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0283;EV-VN-S011-3842;EV-VN-S014-0151;EV-VN-S020-0020;EV-VN-S025-0072;EV-VN-S037-0037,VKM_REGIONAL:6,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_I_K,Межпластье И–К (каменная соль),И–К,interseam,KP,2,24,3,FALSE,LITHOSTRAT,каменная соль,P1br3,И-К; И–К,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 6,2 (deposit-wide average) (EV-VN-S014-0150) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 6.1 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0021) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 6,10 (EV-VN-S025-0073) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 6,10 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0150;EV-VN-S020-0021;EV-VN-S025-0073;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_I,Пласт И,И,seam,KP,3,25,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит; прослой каменной соли в середине,P1br3,И,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 1,2 (deposit-wide average) (EV-VN-S014-0149) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 1.6/0.5 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0022) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 1,65/0 ,55 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0074) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 1,66/0,55 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 1,28 m; KCl 17,45; MgCl2 10,77; NaCl 52,75; CaSO4 1,18; Н.О. 2,00; Br 0,080 (%) (EV-VN-S011-0284) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 1,26 (EV-VN-S011-3843)",6,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0284;EV-VN-S011-3843;EV-VN-S014-0149;EV-VN-S020-0022;EV-VN-S025-0074;EV-VN-S037-0037,VKM_REGIONAL:6,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_Z_I,Межпластье З–И,З–И,interseam,KP,4,26,3,FALSE,LITHOSTRAT,каменная соль,P1br3,З-И; З–И,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 2,5 (deposit-wide average) (EV-VN-S014-0148) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 2.05 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0023) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 2,25 (EV-VN-S025-0075) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 2,25 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0148;EV-VN-S020-0023;EV-VN-S025-0075;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_Z,Пласт З,З,seam,KP,5,27,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит,P1br3,З,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 0,6 (deposit-wide average) (EV-VN-S014-0147) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 0.7/0.5 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0024) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 0,75/0, 50 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0076) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 0,75/0,50 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 0,60 m; KCl 16,38; MgCl2 11,44; NaCl 57,51; CaSO4 1,25; Н.О. 2,63; Br 0,070 (%) (EV-VN-S011-0285) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 0,62 (EV-VN-S011-3844)",6,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0285;EV-VN-S011-3844;EV-VN-S014-0147;EV-VN-S020-0024;EV-VN-S025-0076;EV-VN-S037-0037,VKM_REGIONAL:6,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_ZH_Z,Межпластье Ж–З,Ж–З,interseam,KP,6,28,3,FALSE,LITHOSTRAT,каменная соль,P1br3,Ж-З; Ж–З,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 3,1 (deposit-wide average) (EV-VN-S014-0146) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 3.25 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0025) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 3,25 (EV-VN-S025-0077) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 3,25 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0146;EV-VN-S020-0025;EV-VN-S025-0077;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_ZH,Пласт Ж,Ж,seam,KP,7,29,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит,P1br3,Ж,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 0,8 (deposit-wide average) (EV-VN-S014-0145) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 0.9/0.7 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0026) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 0,90/0, 70 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0078) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 0,90/0,70 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 0,80 m; KCl 18,86; MgCl2 11,91; NaCl 50,77; CaSO4 1,29; Н.О. 1,55; Br 0,079 (%) (EV-VN-S011-0286) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 0,79 (EV-VN-S011-3845)",6,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0286;EV-VN-S011-3845;EV-VN-S014-0145;EV-VN-S020-0026;EV-VN-S025-0078;EV-VN-S037-0037,VKM_REGIONAL:6,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_E_ZH,Межпластье Е–Ж,Е–Ж,interseam,KP,8,30,3,FALSE,LITHOSTRAT,каменная соль,P1br3,Е-Ж; Е–Ж,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 4,2 (deposit-wide average) (EV-VN-S014-0144) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 4.20 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0027) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 4,20 (EV-VN-S025-0079) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 4,20 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0144;EV-VN-S020-0027;EV-VN-S025-0079;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_E,Пласт Е,Е,seam,KP,9,31,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит; прослой каменной соли,P1br3,Е,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 7,3 (deposit-wide average) (EV-VN-S014-0143) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 7.4/3.1 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0028) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 7,40/3 ,10 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0080) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 7,40/3,10 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 7,60 m; KCl 15,85; MgCl2 10,98; NaCl 51,75; CaSO4 1,56; Н.О. 2,84; Br 0,091 (%) (EV-VN-S011-0287) || VKM-SRC-011 p.109 [VKM_REGIONAL; FACT]: 4,72 (EV-VN-S011-1787) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 7,58 (EV-VN-S011-3846)",7,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0287;EV-VN-S011-1787;EV-VN-S011-3846;EV-VN-S014-0143;EV-VN-S020-0028;EV-VN-S025-0080;EV-VN-S037-0037,VKM_REGIONAL:7,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_D_E,Межпластье Д–Е,Д–Е,interseam,KP,10,32,3,FALSE,LITHOSTRAT,каменная соль,P1br3,Д-Е; Д–Е,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 3,6 (deposit-wide average) (EV-VN-S014-0142) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 3.45 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0029) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 3,45 (EV-VN-S025-0081) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 3,45 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0142;EV-VN-S020-0029;EV-VN-S025-0081;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_D,Пласт Д,Д,seam,KP,11,33,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит; несколько прослоев каменной соли,P1br3,Д,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 8,1 (deposit-wide average) (EV-VN-S014-0141) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 6.10/2.75 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0030) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 8,10/2 ,75 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0082) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 8,10/2,75 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 8,33 m; KCl 15,72; MgCl2 11,74; NaCl 50,93; CaSO4 1,64; Н.О. 2,62; Br 0,088 (%) (EV-VN-S011-0288) || VKM-SRC-011 p.109 [VKM_REGIONAL; FACT]: 4,27 (EV-VN-S011-1788) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 8,31 (EV-VN-S011-3847)",7,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0288;EV-VN-S011-1788;EV-VN-S011-3847;EV-VN-S014-0141;EV-VN-S020-0030;EV-VN-S025-0082;EV-VN-S037-0037,VKM_REGIONAL:7,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_G_D,Межпластье Г–Д,Г–Д,interseam,KP,12,34,3,FALSE,LITHOSTRAT,каменная соль,P1br3,Г-Д; Г–Д,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 2,8 (deposit-wide average) (EV-VN-S014-0140) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 2.9 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0031) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 2,90 (EV-VN-S025-0083) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 2,90 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0140;EV-VN-S020-0031;EV-VN-S025-0083;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_G,Пласт Г,Г,seam,KP,13,35,3,FALSE,LITHOSTRAT,карналлит / пёстрый сильвинит; прослой каменной соли,P1br3,Г,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 6,7 (deposit-wide average) (EV-VN-S014-0139) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 7.70/2.5 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0032) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 7,70/2,50 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0084) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 7,70/2,50 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 6,30 m; KCl 17,59; MgCl2 12,52; NaCl 49,26; CaSO4 1,49; Н.О. 2,18; Br 0,089 (%) (EV-VN-S011-0289) || VKM-SRC-011 p.109 [VKM_REGIONAL; FACT]: 4,96 (EV-VN-S011-1789) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 6,28 (EV-VN-S011-3848)",7,5,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S011-0289;EV-VN-S011-1789;EV-VN-S011-3848;EV-VN-S014-0139;EV-VN-S020-0032;EV-VN-S025-0084;EV-VN-S037-0037,VKM_REGIONAL:7,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_V_G,Межпластье В–Г,В–Г,interseam,KP,14,36,3,FALSE,LITHOSTRAT,каменная соль,P1br3,В-Г; В–Г,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 2,2 (deposit-wide average) (EV-VN-S014-0138) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 2.20 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0033) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 2,20 (EV-VN-S025-0085) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 2,20 (EV-VN-S037-0037)",4,4,VKM-SRC-014;VKM-SRC-020;VKM-SRC-025;VKM-SRC-037,EV-VN-S014-0138;EV-VN-S020-0033;EV-VN-S025-0085;EV-VN-S037-0037,VKM_REGIONAL:4,0,нет SKRU-1-специфичных данных о мощности,FACT,VKM_REGIONAL,HIGH,
S_V,Пласт В (слои 1–6; составные варианты Вк/Вс),В,seam,KP,15,37,3,FALSE,LITHOSTRAT,"карналлитовая порода (~70 % площади) или пёстрый сильвинит; 6 слоёв (чётные — богатые, нечётные — каменная соль)",P1br3,В; Вк; Вс; пласт В; В-карналлитовый; В-сильвинитовый,"VKM-SRC-014 p.13 [VKM_REGIONAL; FACT]: mean 6,0 (deposit-wide average) (EV-VN-S014-0137) || VKM-SRC-015 p.4 [VKM_REGIONAL; FACT]: not given (EV-VN-S015-0016) || VKM-SRC-020 p.6 [VKM_REGIONAL; FACT]: средняя мощность 6.6/2.2 м (формат X/Y: X — карналлитовый состав, Y — сильвинитовый, по аналогии с текстом для Б и В) (EV-VN-S020-0034) || VKM-SRC-020 p.7 [VKM_REGIONAL; FACT]: карналлитовый 0,3-17,4 (средн. 6,6); сильвинитовый средн. 2,2 (EV-VN-S020-0083) || VKM-SRC-025 p.11 [VKM_REGIONAL; FACT]: 6 ,60 /2, 20 (two values: presumably carnallite-composition / sylvinite-composition thickness; interpretation not stated in the figure) (EV-VN-S025-0086) || VKM-SRC-026 p.22 [SKRU1; FACT]: not given (EV-VN-S026-0114) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: 6,60/2,80 (EV-VN-S037-0037) || VKM-SRC-011 p.17 [VKM_REGIONAL; FACT]: thickness 5,80 m; KCl 22,48; MgCl2 12,48; NaCl 45,31; CaSO4 1,50; Н.О. 3,29; Br 0,086 (%) (EV-VN-S011-0290) || VKM-SRC-011 p.109 [VKM_REGIONAL; FACT]: 4,35 (EV-VN-S011-1790) || VKM-SRC-011 p.175 [VKM_REGIONAL; FACT]: 5,79 (EV-VN-S011-3849) || VKM-SRC-037 p.5 [VKM_REGIONAL; FACT]: достигает 15 (EV-VN-S037-0045)",11,7,VKM-SRC-011;VKM-SRC-014;VKM-SRC-015;VKM-SRC-020;VKM-SRC-025;VKM-SRC-026;VKM-SRC-037,EV-VN-S011-0290;EV-VN-S011-1790;EV-VN-S011-3849;EV-VN-S014-0137;EV-VN-S015-0016;EV-VN-S020-0034;EV-VN-S020-0083;EV-VN-S025-0086;EV-VN-S026-0114;EV-VN-S037-0037;EV-VN-S037-0045,VKM_REGIONAL:10; SKRU1:1,1,VKM-SRC-026 p.22 DEFINITION,FACT,VKM_REGIONAL,HIGH,"Третий рабочий горизонт (SRC-020). Вк/Вс — не стратиграфические единицы, а составные разности одного пласта В."
