obs_id,unit_id,unit_name_canonical,unit_as_printed,abbrev_as_printed,source_id,pdf_page,printed_page,locator,vn_id,existing_evidence_ids,record_kind,scope,site_as_printed,spatial_level,observation_type,thickness_as_printed,thickness_min_m,thickness_max_m,thickness_mean_m,numeric_parse,above_as_printed,below_as_printed,lithology_as_printed,status,evidence_type,extraction_method,quote_check,confidence,transferability_to_SKRU1,notes
STO-0174,SP,Сильвинитовая зона/пачка,сильвинитовая зона,СЗ,VKM-SRC-012,63,63,§3.2 p.63; Табл. 3.1,EV-VN-S012-0305,EV-GEO-0197,stratigraphic_unit,VKM_REGIONAL,СЗ,geological_element,DEFINITION,see Table 3.1 picks (no ranges stated in text),,,,NONE,СКЗ,ПдКС,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),ordering per §3.2 and Table 3.1
STO-0175,PDKS,Подстилающая каменная соль,подстилающая каменная соль (upper and lower packs),ПдКС,VKM-SRC-012,63,63,§3.2 p.63; Табл. 3.1,EV-VN-S012-0306,EV-GEO-0197,stratigraphic_unit,VKM_REGIONAL,ПдКС,geological_element,DEFINITION,see Table 3.1 picks (no ranges stated in text),,,,NONE,СЗ,глинисто-ангидритовая толща,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),ordering per §3.2 and Table 3.1
STO-0176,MG,Маркирующая глина (пласт МГ),маркирующий горизонт (маркирующая глина) inside ПдКС,МГ,VKM-SRC-012,63,63,§3.2 p.63; Табл. 3.1,EV-VN-S012-0307,EV-GEO-0197,stratigraphic_unit,VKM_REGIONAL,МГ,geological_element,DEFINITION,see Table 3.1 picks (no ranges stated in text),,,,NONE,ПдКС upper,ПдКС lower,,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),ordering per §3.2 and Table 3.1
STO-0177,PP,Переходная пачка,переходная пачка/толща,ПП (PP),VKM-SRC-012,83,83,§3.5,EV-VN-S012-0464,EV-GEO-0230,stratigraphic_unit,SKRU1_SKRU2,переходная толща (ПП),geological_element,AS_PRINTED_TEXT,legend of PP_PKS grid 16.70–35.26 (if grid = ПП interval),,,,NONE,СМТ,ПКС,transition from salt-marl to rock salt,MODEL_CHOICE,INTERPRETATION,TEXT_LAYER,EXACT,HIGH,"SKRU1_SKRU2_PILLAR_AREA (site-specific для зоны м/ш целика, не для всего поля СКРУ-1)",Roof of ПП defined in the model as the first rock-salt interlayer encountered from above.
STO-0178,SEQUENCE,,productive-seam interval layering used in FE model,В / корж Б / АБ / А-КрI / КрI / КрI-КрII / корж3 / корж2 / корж1 / КрII / КрIII / ПдКС,VKM-SRC-012,96,96,Рис. 4.2 (легенда слоёв),EV-VN-S012-0513,,stratigraphic_unit,SKRU1_SKRU2,продуктивная толща (горизонт промышленных пластов),seam,SEQUENCE_ORDERING,not given (only chamber heights 2.7 and 4.9 m),,,,NONE,sylvinite-carnallite zone (В at top of fragment),ПдКС,"sylvinite seams АБ, КрII; rock-salt interlayers (КрI-КрII etc.); 'корж' = rock-salt/interlayer 'коржи' between sublayers",FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,"SKRU1_SKRU2_PILLAR_AREA (site-specific для зоны м/ш целика, не для всего поля СКРУ-1)",Запись документирует порядок/набор единиц (см. abbrev_as_printed) | Legend order top→bottom as printed; the thin layers корж1–3 lie immediately above КрII roof.
STO-0179,FN_HALOGEN,Галогенная формация Соликамской впадины,Halogen formation of the Solikamsk depression,,VKM-SRC-014,11,11,§1.2,EV-VN-S014-0113,,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,DEFINITION,,,,,NONE,"Upper Solikamsk subsuite (P1sl2) and Sheshminsky suite (P1šš), Cenozoic on top",Artinskian (P1ar),Kungurian: Karnaukhovo suite (Filippovsky horizon) + Berezniki suite (Irensky horizon); Ufimian: Nizhnesolikamsk subsuite,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),
STO-0180,P1AR,Артинский ярус (карбонатная пачка) + урминская/дивьинская свиты,Artinskian stage,P1ar,VKM-SRC-014,12,12,§1.2,EV-VN-S014-0114,EV-GEO-0284,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,70–220,70.0,220.0,,REGEX,Kungurian P1kr,not stated,light/dark grey silicified organogenic-clastic limestones with brachiopods; calcareous clays with sandstone interlayers,FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_76,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sub-salt
STO-0181,P1KR,Карнауховская свита (филипповский горизонт),"Kungurian (Karnaukhovo suite, sulfate-carbonate)",P1kr,VKM-SRC-014,12,12,§1.2,EV-VN-S014-0115,EV-GEO-0285,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,AS_PRINTED_TEXT,about 100 (Solikamsk depression),,,,NONE,ГАТ P1br1,P1ar,four alternating packs of sulfate and carbonate rocks,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),
STO-0182,GAT,Глинисто-ангидритовая толща,Clay-anhydrite stratum (Berezniki suite lower part),"ГАТ, P1br1",VKM-SRC-014,12,12,§1.2,EV-VN-S014-0116,,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE_MEAN,"145 (west) – 325 (east), mean 230",145,325,230,MANUAL_FROM_PRINTED,ПдКС P1br2,P1kr,"marls, argillites, dolomites; less limestones, clays, anhydrites, rock salt, siltstones, sandstones",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),рост З→В | W-E thickness gradient within Solikamsk depression
STO-0183,CX_SALT,Соляная толща,Salt stratum,СТ,VKM-SRC-014,12,12,§1.2,EV-VN-S014-0118,,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,MAX,up to 550,,550.0,,REGEX,СМТ (P1sl1),ГАТ (P1br1),"bottom-up: ПдКС, potash body, ПКС",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),
STO-0184,PDKS_LOWER,ПдКС — нижняя пачка (нижняя переходная литозона),Underlying rock salt,"ПдКС, P1br2",VKM-SRC-014,12,12,§1.2,EV-VN-S014-0120,EV-GEO-0286;EV-GEO-0287,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,lower pack 61–99,61,99,,MANUAL_FROM_PRINTED,potash body P1br3,ГАТ,"light/dark grey feathery, sparry, granular halite; layered with clay-anhydrite interlayers",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),marker clay МГ (~2 m) at base of upper pack; upper pack and МГ penetrated by nearly all salt-exploration boreholes
STO-0185,PDKS_MIDDLE,ПдКС — средняя пачка,Underlying rock salt,"ПдКС, P1br2",VKM-SRC-014,12,12,§1.2,EV-VN-S014-0120,EV-GEO-0286;EV-GEO-0287,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,middle pack 50–440,50,440,,MANUAL_FROM_PRINTED,potash body P1br3,ГАТ,"light/dark grey feathery, sparry, granular halite; layered with clay-anhydrite interlayers",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),marker clay МГ (~2 m) at base of upper pack; upper pack and МГ penetrated by nearly all salt-exploration boreholes
STO-0186,PDKS_UPPER,ПдКС — верхняя пачка (КрIIIв–МГ),Underlying rock salt,"ПдКС, P1br2",VKM-SRC-014,12,12,§1.2,EV-VN-S014-0120,EV-GEO-0286;EV-GEO-0287,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,MEAN,upper pack mean 27.2,,,27.2,MANUAL_FROM_PRINTED,potash body P1br3,ГАТ,"light/dark grey feathery, sparry, granular halite; layered with clay-anhydrite interlayers",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),marker clay МГ (~2 m) at base of upper pack; upper pack and МГ penetrated by nearly all salt-exploration boreholes
STO-0187,MG,Маркирующая глина (пласт МГ),Marker clay,МГ,VKM-SRC-014,12,12,§1.2,EV-VN-S014-0121,EV-GEO-0287,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,MEAN,mean about 2,,,2.0,REGEX,upper ПдКС pack,middle ПдКС pack,clay,FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),regional marker horizon penetrated by practically all salt-exploration boreholes — useful 3D datum surface
STO-0188,KZ,Калийная залежь (продуктивная толща),Potash-magnesium salt body,P1br3,VKM-SRC-014,12,12,§1.2,EV-VN-S014-0122,,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,DEFINITION,,,,,NONE,ПКС P1br4,ПдКС P1br2,series of productive seams separated by rock salt; sylvinite pack (P1br3sil) and carnallite/sylvinite-carnallite pack (P1br3crn),FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_71,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),stratigraphic column Fig.1.2
STO-0189,S_KR3V,КрIIIв (нижний слой),КрIIIв,КрIIIв,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0124,,stratigraphic_unit,VKM_REGIONAL,КрIIIв,seam,MEAN,"mean 0,8 (deposit-wide average)",,,0.8,REGEX,КрIIIб-КрIIIв,ПдКС,red sylvinite (4) with minor rock salt,FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0190,S_KR3BV,Межслоевая соль КрIIIб–в,КрIIIб-КрIIIв,КрIIIб-КрIIIв,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0125,,stratigraphic_unit,VKM_REGIONAL,КрIIIб-КрIIIв,interseam,MEAN,"mean 2,0 (deposit-wide average)",,,2.0,REGEX,КрIIIб,КрIIIв,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0191,S_KR3B,КрIIIб,КрIIIб,КрIIIб,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0126,,stratigraphic_unit,VKM_REGIONAL,КрIIIб,seam,MEAN,"mean 1,4 (deposit-wide average)",,,1.4,REGEX,КрIIIа-КрIIIб,КрIIIб-КрIIIв,red sylvinite (4) with minor rock salt,FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0192,S_KR3AB,Межслоевая соль КрIIIа–б,КрIIIа-КрIIIб,КрIIIа-КрIIIб,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0127,,stratigraphic_unit,VKM_REGIONAL,КрIIIа-КрIIIб,interseam,MEAN,"mean 0,8 (deposit-wide average)",,,0.8,REGEX,КрIIIа,КрIIIб,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0193,S_KR3A,КрIIIа (верхний слой),КрIIIа,КрIIIа,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0128,,stratigraphic_unit,VKM_REGIONAL,КрIIIа,seam,MEAN,"mean 0,9 (deposit-wide average)",,,0.9,REGEX,КрII-КрIIIа,КрIIIа-КрIIIб,red sylvinite (4),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0194,S_KR2_KR3,Межпластье КрII–КрIII,КрII-КрIIIа,КрII-КрIIIа,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0129,,stratigraphic_unit,VKM_REGIONAL,КрII-КрIIIа,interseam,MEAN,"mean 1,7 (deposit-wide average)",,,1.7,REGEX,КрII,КрIIIа,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0195,S_KR2,Пласт Красный-II (слои 1–7),КрII,КрII,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0130,,stratigraphic_unit,VKM_REGIONAL,КрII,seam,MEAN,"mean 4,6 (deposit-wide average)",,,4.6,REGEX,КрI-КрII,КрII-КрIIIа,red sylvinite (4) with rock-salt wedge at one side (lateral variation),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0196,S_KR1_KR2,Межпластье КрI–КрII,КрI-КрII,КрI-КрII,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0131,,stratigraphic_unit,VKM_REGIONAL,КрI-КрII,interseam,MEAN,"mean 1,6 (deposit-wide average)",,,1.6,REGEX,КрI,КрII,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0197,S_KR1,Пласт Красный-I,КрI,КрI,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0132,,stratigraphic_unit,VKM_REGIONAL,КрI,seam,MEAN,"mean 1,1 (deposit-wide average)",,,1.1,REGEX,А-КрI,КрI-КрII,red sylvinite (4) with minor rock salt,FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0198,S_A_KR1,Межпластье А–КрI (с прослоем-спутником А'),А-КрI,А-КрI,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0133,,stratigraphic_unit,VKM_REGIONAL,А-КрI,interseam,MEAN,"mean 2,1 (deposit-wide average)",,,2.1,REGEX,А,КрI,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack
STO-0199,S_A,Пласт А (полосчатый сильвинит),А,А,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0134,,stratigraphic_unit,VKM_REGIONAL,А,seam,MEAN,"mean 1,3 (deposit-wide average)",,,1.3,REGEX,Б,А-КрI,banded sylvinite (5) with minor rock salt,FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),sylvinite pack (top)
STO-0200,S_B,Пласт Б,Б,Б,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0135,,stratigraphic_unit,VKM_REGIONAL,Б,seam,MEAN,"mean 1,9 (deposit-wide average)",,,1.9,REGEX,Б-В,А,carnallite rock (2) laterally replaced by motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack (base)
STO-0201,S_B_V,Межпластье Б–В (Б–В'),Б-В,Б-В,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0136,,stratigraphic_unit,VKM_REGIONAL,Б-В,interseam,MEAN,"mean 1,9 (deposit-wide average)",,,1.9,REGEX,В,Б,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0202,S_V,Пласт В (слои 1–6; составные варианты Вк/Вс),В,В,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0137,,stratigraphic_unit,VKM_REGIONAL,В,seam,MEAN,"mean 6,0 (deposit-wide average)",,,6.0,REGEX,В-Г,Б-В,carnallite rock (2) laterally grading to motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0203,S_V_G,Межпластье В–Г,В-Г,В-Г,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0138,,stratigraphic_unit,VKM_REGIONAL,В-Г,interseam,MEAN,"mean 2,2 (deposit-wide average)",,,2.2,REGEX,Г,В,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0204,S_G,Пласт Г,Г,Г,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0139,,stratigraphic_unit,VKM_REGIONAL,Г,seam,MEAN,"mean 6,7 (deposit-wide average)",,,6.7,REGEX,Г-Д,В-Г,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0205,S_G_D,Межпластье Г–Д,Г-Д,Г-Д,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0140,,stratigraphic_unit,VKM_REGIONAL,Г-Д,interseam,MEAN,"mean 2,8 (deposit-wide average)",,,2.8,REGEX,Д,Г,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0206,S_D,Пласт Д,Д,Д,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0141,,stratigraphic_unit,VKM_REGIONAL,Д,seam,MEAN,"mean 8,1 (deposit-wide average)",,,8.1,REGEX,Д-Е,Г-Д,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0207,S_D_E,Межпластье Д–Е,Д-Е,Д-Е,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0142,,stratigraphic_unit,VKM_REGIONAL,Д-Е,interseam,MEAN,"mean 3,6 (deposit-wide average)",,,3.6,REGEX,Е,Д,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0208,S_E,Пласт Е,Е,Е,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0143,,stratigraphic_unit,VKM_REGIONAL,Е,seam,MEAN,"mean 7,3 (deposit-wide average)",,,7.3,REGEX,Е-Ж,Д-Е,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0209,S_E_ZH,Межпластье Е–Ж,Е-Ж,Е-Ж,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0144,,stratigraphic_unit,VKM_REGIONAL,Е-Ж,interseam,MEAN,"mean 4,2 (deposit-wide average)",,,4.2,REGEX,Ж,Е,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0210,S_ZH,Пласт Ж,Ж,Ж,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0145,,stratigraphic_unit,VKM_REGIONAL,Ж,seam,MEAN,"mean 0,8 (deposit-wide average)",,,0.8,REGEX,Ж-З,Е-Ж,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0211,S_ZH_Z,Межпластье Ж–З,Ж-З,Ж-З,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0146,,stratigraphic_unit,VKM_REGIONAL,Ж-З,interseam,MEAN,"mean 3,1 (deposit-wide average)",,,3.1,REGEX,З,Ж,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0212,S_Z,Пласт З,З,З,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0147,,stratigraphic_unit,VKM_REGIONAL,З,seam,MEAN,"mean 0,6 (deposit-wide average)",,,0.6,REGEX,З-И,Ж-З,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0213,S_Z_I,Межпластье З–И,З-И,З-И,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0148,,stratigraphic_unit,VKM_REGIONAL,З-И,interseam,MEAN,"mean 2,5 (deposit-wide average)",,,2.5,REGEX,И,З,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0214,S_I,Пласт И,И,И,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0149,,stratigraphic_unit,VKM_REGIONAL,И,seam,MEAN,"mean 1,2 (deposit-wide average)",,,1.2,REGEX,И-К,З-И,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0215,S_I_K,Межпластье И–К (каменная соль),И-К,И-К,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0150,,stratigraphic_unit,VKM_REGIONAL,И-К,interseam,MEAN,"mean 6,2 (deposit-wide average)",,,6.2,REGEX,К,И,rock salt (1),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack
STO-0216,S_K,Пласт К,К,К,VKM-SRC-014,13,13,"Рис. 1.2 (column 'Средняя мощность, м')",EV-VN-S014-0151,,stratigraphic_unit,VKM_REGIONAL,К,seam,MEAN,"mean 0,9 (deposit-wide average)",,,0.9,REGEX,ПКС,И-К,carnallite rock (2) / motley sylvinite (3),FACT,DESCRIPTIVE,VISUAL_READ,NOT_FOUND,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),carnallite pack (top)
STO-0217,SP,Сильвинитовая зона/пачка,Sylvinite pack (zone),P1br3sil,VKM-SRC-014,14,14,§1.2,EV-VN-S014-0152,EV-GEO-0288,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,DEFINITION,,,,,NONE,carnallite pack (seam Б directly on А),ПдКС,"red sylvinites (КрIII, КрII, КрI) + banded sylvinite А separated by interseam rock salt (КрII–КрIII, КрI–КрII, А–КрI); even layers mainly rock salt, odd layers sylvinite",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_81,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),satellite layer А′ of red sylvinite 0.25 m below base of seam А
STO-0218,KP,Карналлитовая (сильвинито-карналлитовая) зона/пачка,Carnallite pack (sylvinite-carnallite zone),P1br3crn,VKM-SRC-014,14,14,§1.2,EV-VN-S014-0154,EV-GEO-0289,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE_MEAN,"13–122, mean about 70",13.0,122.0,70.0,REGEX,ПКС,sylvinite pack,"nine main potash seams Б..К separated by rock salt; seams = carnallite rock, motley sylvinite or 'mixed salts', ratio varies vertically and laterally",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_76,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),Б lies directly on А forming industrial seam АБ; В = six layers + satellite В′
STO-0219,PKS,Покровная каменная соль,Covering rock salt,"ПКС, P1br4",VKM-SRC-014,14,14,§1.2,EV-VN-S014-0156,EV-GEO-0290;EV-GEO-0291,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE_MEAN,"0.8–52.9, mean 18.6 (considered part of VKM)",0.8,52.9,18.6,MANUAL_FROM_PRINTED,СМТ (ПП),carnallite pack (seam К),"grey/light-grey, locally light-yellow, pale-pink rock salt; carnallite and sylvite impregnations in lower part; distinctly layered (halite varieties + clay-anhydrite); marl interlayers in middle part locally",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_64,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"рассматриваемая часть ВКМ, включая зоны выщелачивания | absent over crests of Харюшинское, Поповское, Пашковское, Клестовское uplifts (subsurface leaching)"
STO-0220,PKS,Покровная каменная соль,Covering rock salt,"ПКС, P1br4",VKM-SRC-014,14,14,§1.2,EV-VN-S014-0156,EV-GEO-0290;EV-GEO-0291,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,15–25 in normal section,15,25,,MANUAL_FROM_PRINTED,СМТ (ПП),carnallite pack (seam К),"grey/light-grey, locally light-yellow, pale-pink rock salt; carnallite and sylvite impregnations in lower part; distinctly layered (halite varieties + clay-anhydrite); marl interlayers in middle part locally",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_64,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),"«нормальный» (ненарушенный) разрез | absent over crests of Харюшинское, Поповское, Пашковское, Клестовское uplifts (subsurface leaching)"
STO-0221,SMT,Соляно-мергельная толща (нижнесоликамская подсвита),Salt-marl stratum (Nizhnesolikamsk subsuite),"СМТ, P1sl1",VKM-SRC-014,15,15,§1.2,EV-VN-S014-0159,EV-GEO-0292,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,"38–190 (per exploration borehole sections, considered area)",38,190,,MANUAL_FROM_PRINTED,ТКТ P1sl2,ПКС,"marls, clays, rock salt; less limestones, gypsum, anhydrite; lower part with rock-salt beds = transition pack ПП",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),по разрезам разведочных скважин
STO-0222,PP,Переходная пачка,Salt-marl stratum (Nizhnesolikamsk subsuite),"СМТ, P1sl1",VKM-SRC-014,15,15,§1.2,EV-VN-S014-0159,EV-GEO-0292,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,ПП 2–37,2,37,,MANUAL_FROM_PRINTED,ТКТ P1sl2,ПКС,"marls, clays, rock salt; less limestones, gypsum, anhydrite; lower part with rock-salt beds = transition pack ПП",FACT,DESCRIPTIVE,TEXT_LAYER,EXACT,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),
STO-0223,TKT,Терригенно-карбонатная толща (верхнесоликамская подсвита),Terrigenous-carbonate stratum (Upper Solikamsk subsuite),"ТКТ, P1sl2",VKM-SRC-014,15,15,§1.2,EV-VN-S014-0160,EV-GEO-0293,stratigraphic_unit,VKM_REGIONAL,ВКМКС,deposit,RANGE,2–134,2.0,134.0,,REGEX,ПЦТ P1šš,СМТ,"limestones, dolomites, thin-layered marls, argillites, siltstones, fine sandstones; all fractured to some degree",FACT,DESCRIPTIVE,TEXT_LAYER,FUZZY_64,HIGH,REGIONAL_PRIOR (не значение СКРУ-1),fractured -> aquifer role (see §1.4)
