site_group,obs_class,schema_modality,n_catalog_rows,n_datasets,measurement_years_printed,item_kinds,values_in_corpus,source_ids,scope,locators,sites_detail,cat_ids,vn_ids,usable_for_skru1,status_mix,latent_state_link,confidence,status,notes
СКРУ-2,PROFILE_LINE_STATION,profile_line,5,2,2003–2011,SYSTEM_DESCRIPTION:2; DATASET:2; NORMATIVE_SPEC:1,SPEC_OR_DESCRIPTION_ONLY:3; TEXT_VALUES:2,VKM-SRC-012,SKRU2,VKM-SRC-012 p40 [§2.1]; VKM-SRC-012 p40 [§2.1]; VKM-SRC-012 p42 [§2.2]; VKM-SRC-012 p48 [§2.3]; VKM-SRC-012 p50 [§2.3],"СКРУ-2 || наблюдательная станция у м/ш целиков, сторона СКРУ-2 || наблюдения со стороны СКРУ-2 обоих целиков: линии №10, 1, 7 — у м/ш целика СКРУ-1–СКРУ-2 (их реперы в зоне целика — отде",MON-0055; MON-0056; MON-0060; MON-0061; MON-0062,EV-VN-S012-0192; EV-VN-S012-0193; EV-VN-S012-0206; EV-VN-S012-0227; EV-VN-S012-0238,METHOD/OPERATOR_PRIOR:3; NEIGHBOUR_ONLY:2,FACT:5,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",HIGH:5,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,SEISMIC_MONITORING,seismic_monitoring,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-012,SKRU2,"VKM-SRC-012 p32 [§1.4.2, [42]]",СКРУ-2 (Соликамское землетрясение 05.01.1995; макросейсмика),MON-0363,EV-VN-S012-0144,METHOD/OPERATOR_PRIOR:1,FACT:1,"каталог событий (время, место, энергия) — прокси процессов разрушения; не смещение",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,SUBSIDENCE_METHOD_UNSTATED,other,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-012,SKRU2,"VKM-SRC-012 p32 [§1.4.2, [42]]",СКРУ-2,MON-0463,EV-VN-S012-0146,METHOD/OPERATOR_PRIOR:1,FACT:1,u_z (метод измерения не указан),HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-2,VISUAL_INSPECTION,other,2,2,2011–2011,DATASET:2,FIGURE_READ:2,VKM-SRC-040,SKRU2,VKM-SRC-040 p30 [рис. 1.7]; VKM-SRC-040 p31 [рис. 1.8],СКРУ-2,MON-0418; MON-0419,EV-VN-S040-0084; EV-VN-S040-0087,NEIGHBOUR_ONLY:2,FACT:2,"качественные индикаторы повреждений (кровля, крепь, провалы)",HIGH:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,GAS_VENTILATION,other,1,1,,DATASET:1,TABLE_VALUES:1,VKM-SRC-014,SKRU3,VKM-SRC-014 p50 [Табл. 2.5],"СКРУ-3 — вентиляционная съёмка (табл. 2.5, столбец СКРУ-3); часть строки MON-0433",MON-0433-C,EV-VN-S014-0397,NEIGHBOUR_ONLY:1,FACT:1,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,GPR,gpr,17,10,2002–2016,DATASET:10; LAB_OR_PHYSICAL_MODEL:3; METHOD_PROPERTY:2; SYSTEM_DESCRIPTION:1; DESIGN_SPEC:1,DESCRIPTION_ONLY:9; SPEC_OR_DESCRIPTION_ONLY:4; FIGURE_READ:2; TEXT_VALUES:2,VKM-SRC-011; VKM-SRC-040; VKM-SRC-041,SKRU3,"VKM-SRC-011 p70 [Рис. 2.67б]; VKM-SRC-040 p104 [§3.4 p.104, Рис. 3.14]; VKM-SRC-040 p105 [§3, георадиолокация в стволе]; VKM-SRC-040 p105 [§3, георадиолокация в стволе]; VKM-SRC-040 p106 [Рис. 3.16, профиль 24]; VKM-SRC-040 p106 [выводы по опытным работам в стволе; VKM-SRC-040 p117 [§4.1, Рис. 4.1]; VKM-SRC-040 p118 [§4.1, Рис. 4.2]; VKM-SRC-040 p124 [§4.2 (p120-124)]; VKM-SRC-040 p125 [§4.2 Просвечивание]; VKM-SRC-040 p128 [§4.3]; VKM-SRC-040 p130 [§4.3]; VKM-SRC-040 p131 [§4.3]; VKM-SRC-040 p135 [§4.5]; VKM-SRC-041 p2 [§методика; Рис. 1]; VKM-SRC-041 p3 [§методика]; VKM-SRC-041 p3 [Рис. 2]",СКРУ-3,MON-0281; MON-0314; MON-0315; MON-0316; MON-0317; MON-0318; MON-0320; MON-0321; MON-0322; MON-0323; MON-0324; MON-0325; MON-0326; MON-0327; MON-0329; MON-0330; MON-0331,EV-VN-S011-1453; EV-VN-S040-0224; EV-VN-S040-0239; EV-VN-S040-0240; EV-VN-S040-0242; EV-VN-S040-0243; EV-VN-S040-0270; EV-VN-S040-0275; EV-VN-S040-0295; EV-VN-S040-0298; EV-VN-S040-0310; EV-VN-S040-0315; EV-VN-S040-0322; EV-VN-S040-0336; EV-VN-S041-0007; EV-VN-S041-0021; EV-VN-S041-0022,NEIGHBOUR_ONLY:10; METHOD/OPERATOR_PRIOR:7,FACT:17,"геометрия границ (слои, выработки, пустоты, крепь) + ЭМ-свойства (ε_r→v, затухание; влажность/трещиноватость)",HIGH:17,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,LAB_PROPERTY,lab_test,1,0,,LAB_OR_PHYSICAL_MODEL:1,TEXT_VALUES:1,VKM-SRC-011,SKRU3,VKM-SRC-011 p79 [с.157 (пирротин)],СКРУ-3,MON-0484,EV-VN-S011-1545,METHOD/OPERATOR_PRIOR:1,FACT:1,свойства образца (LAB ≠ MASSIF),HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,LEVELLING,levelling,1,1,2007–2007,DATASET:1,TEXT_VALUES:1,VKM-SRC-012,SKRU3,VKM-SRC-012 p53 [§2.3],СКРУ-3,MON-0031,EV-VN-S012-0250,NEIGHBOUR_ONLY:1,FACT:1,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,SEISMIC_SURVEY,seismic_survey,1,1,,DATASET:1,DESCRIPTION_ONLY:1,VKM-SRC-011,SKRU3,VKM-SRC-011 p35 [Рис. 1.63 легенда 6],СКРУ-3,MON-0349,EV-VN-S011-0648,NEIGHBOUR_ONLY:1,FACT:1,"геометрия отражающих горизонтов (ОГ, ПВРО) и аномалии упругих свойств (статичная геометрия + Vp)",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,ULTRASONIC_ACOUSTIC_NDT,ultrasonic,1,1,,DATASET:1,DESCRIPTION_ONLY:1,VKM-SRC-040,SKRU3,"VKM-SRC-040 p107 [Ультразвуковая томография, Рис. 3.",СКРУ-3,MON-0387,EV-VN-S040-0245,NEIGHBOUR_ONLY:1,FACT:1,"толщина/дефекты крепи, скорость упругих волн в приконтурной зоне",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
СКРУ-3,VISUAL_INSPECTION,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-014,SKRU3,VKM-SRC-014 p38 [§2.3],СКРУ-3,MON-0413,EV-VN-S014-0377,METHOD/OPERATOR_PRIOR:1,FACT:1,"качественные индикаторы повреждений (кровля, крепь, провалы)",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,COMPLEX_MONITORING_SYSTEM,other,3,0,,CITED_DESCRIPTION:2; RECOMMENDATION:1,SPEC_OR_DESCRIPTION_ONLY:3,VKM-SRC-004; VKM-SRC-017; VKM-SRC-038,BKPRU1,VKM-SRC-004 p2 [Введение]; VKM-SRC-017 p1 [Введение]; VKM-SRC-038 p6 [с. 245 (рекомендация)],"БКПРУ-1 || БКПРУ-1 (затопленный рудник), Березники",MON-0451; MON-0453; MON-0460,EV-VN-S004-0011; EV-VN-S017-0006; EV-VN-S038-0039,METHOD/OPERATOR_PRIOR:3,FACT:3,перечень модальностей; конкретная связь — по каждой модальности,HIGH:3,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,DERIVED_ISOLINE_PRODUCT,other,1,0,,DERIVED_PRODUCT:1,DERIVED_VALUES:1,VKM-SRC-011,BKPRU1,VKM-SRC-011 p36 [Рис. 1.66 (render 250 dpi clip)],БКПРУ-1,MON-0464,EV-VN-S011-0664,NO_AS_OBSERVATION:1,INTERPOLATION:1,"интерполированное поле накопленного u_z (INTERPOLATION, не наблюдение)",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,GAS_VENTILATION,other,1,1,,DATASET:1,TEXT_VALUES:1,VKM-SRC-011,BKPRU4,VKM-SRC-011 p98 [p.195],БКПРУ-4,MON-0430,EV-VN-S011-1696,VKM_ANALOGUE_ONLY:1,FACT:1,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,GPR,gpr,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-040,BKPRU1,VKM-SRC-040 p34 [§1.2.3],БКПРУ-1,MON-0298,EV-VN-S040-0093,METHOD/OPERATOR_PRIOR:1,FACT:1,"геометрия границ (слои, выработки, пустоты, крепь) + ЭМ-свойства (ε_r→v, затухание; влажность/трещиноватость)",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,GRAVIMETRY_ELECTROMETRY,other,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-011,BKPRU3,VKM-SRC-011 p33 [текст с.65; рис. 1.58],БКПРУ-3,MON-0367,EV-VN-S011-0592,METHOD/OPERATOR_PRIOR:1,FACT:1,"Δg / ρ_к — косвенные признаки разуплотнения, обводнения ВЗТ; не смещение",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,HORIZONTAL_DEFORMATION,horizontal_deformation,1,1,1988–2002,DATASET:1,TEXT_VALUES:1,VKM-SRC-011,BKPRU1,"VKM-SRC-011 p35 [текст с.68-69; рис. 1.65, 1.66, 1.6",БКПРУ-1,MON-0068,EV-VN-S011-0653,VKM_ANALOGUE_ONLY:1,FACT:1,ε_xx = ΔL/L между соседними реперами; проекция u_h на ось линии,HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,HYDROSTATIC_LEVELLING,hydrostatic_levelling,1,1,2013–2022,DATASET:1,TEXT_VALUES:1,VKM-SRC-017,BKPRU1,VKM-SRC-017 p1 [Аннотация],БКПРУ-1,MON-0227,EV-VN-S017-0003,VKM_ANALOGUE_ONLY:1,FACT:1,Δu_z между датчиками внутри одного здания (общая осадка и часть наклона не наблюдаемы),HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,INSAR,insar,2,2,2021–2022,DATASET:2,FIGURE_READ:1; TEXT_VALUES:1,VKM-SRC-003,BKPRU1,"VKM-SRC-003 p42 [Рис. 3.2 А (Std) и Б (Step), подпис; VKM-SRC-003 p52 [§3.2 p.52, Рис. 3.10]","Березники, область «А» (контекст БКПРУ-1: солеотвал, провалы над затопленным полем); явно не указано на странице || Березники, область «А», у промплощадки БКПРУ (БКПРУ-1 по контексту p39, p52)",MON-0115; MON-0126,EV-VN-S003-0144; EV-VN-S003-0195,VKM_ANALOGUE_ONLY:2,FACT:2,u_LOS = u·ê_LOS относительно опорной точки и первой сцены (пиксель/PS); «субвертикальное» = u_LOS/cosθ при допущении u_h≈0,MEDIUM:2,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,LEVELLING,levelling,2,2,1997–2020,DATASET:2,TABLE_VALUES:1; FIGURE_VALUES_DIGITIZED_APPROX:1,VKM-SRC-016; VKM-SRC-034,BKPRU4,VKM-SRC-016 p7 [Табл. 2 «Показатели оседаний поверхн; VKM-SRC-034 p3 [Рис. 2а (график нарастания оседаний),БКПРУ-4,MON-0041; MON-0049,EV-VN-S016-0060; EV-VN-S034-0032,VKM_ANALOGUE_ONLY:2,FACT:2,"u_z(репер,t) − u_z(репер,t0) относительно исходных реперов; точечная опора; эпохи кампаний",HIGH:1; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,MODEL_OUTPUT_NOT_OBSERVATION,other,1,0,,MODEL_OUTPUT:1,MODEL_OUTPUT_ONLY:1,VKM-SRC-038,BKPRU1,VKM-SRC-038 p5 [Рис. 2 (карта)],БКПРУ-1,MON-0480,EV-VN-S038-0030,NO:1,DERIVATION:1,нет (расчётный прогноз; нельзя использовать как наблюдение),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,PILLAR_DEFORMATION,underground_station,1,1,2013–2020,DATASET:1,FIGURE_VALUES_DIGITIZED_APPROX:1,VKM-SRC-034,BKPRU4,"VKM-SRC-034 p2 [§ участок 1; рис. 2б, 2в]",БКПРУ-4,MON-0280,EV-VN-S034-0016,VKM_ANALOGUE_ONLY:1,FACT:1,поперечная деформация МКЦ ε⊥(t) относительно глубинного репера (сам репер подвижен),MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,PROFILE_LINE_STATION,profile_line,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-034,BKPRU4,VKM-SRC-034 p3 [Рис. 1а (выкопировка с плана горных ,БКПРУ-4,MON-0067,EV-VN-S034-0031,METHOD/OPERATOR_PRIOR:1,FACT:1,"u_z и горизонтальная компонента вдоль линии (полная серия) в реперах через 20–50 м; производные: наклон, кривизна, ε",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,SEISMIC_SURVEY,seismic_survey,2,1,1999–1999,CITED_DESCRIPTION:1; DATASET:1,SPEC_OR_DESCRIPTION_ONLY:1; DESCRIPTION_ONLY:1,VKM-SRC-011,BKPRU1; BKPRU4,"VKM-SRC-011 p27 [цитата [73, с. 44]]; VKM-SRC-011 p35 [текст с.69]",БКПРУ-1 || БКПРУ-4,MON-0348; MON-0350,EV-VN-S011-0478; EV-VN-S011-0659,METHOD/OPERATOR_PRIOR:1; VKM_ANALOGUE_ONLY:1,FACT:2,"геометрия отражающих горизонтов (ОГ, ПВРО) и аномалии упругих свойств (статичная геометрия + Vp)",MEDIUM:1; HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,SURVEY_CONTROL_NETWORK,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-011,BKPRU4,VKM-SRC-011 p93 [Табл. 2.48],БКПРУ-4,MON-0398,EV-VN-S011-1650,METHOD/OPERATOR_PRIOR:1,FACT:1,опорная система координат/высот (datum) для всех наблюдений,MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,ULTRASONIC_ACOUSTIC_NDT,ultrasonic,1,0,,CITED_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-040,BKPRU4,"VKM-SRC-040 p33 [§1.2.3, p.33-34]",БКПРУ-4,MON-0377,EV-VN-S040-0092,METHOD/OPERATOR_PRIOR:1,FACT:1,"толщина/дефекты крепи, скорость упругих волн в приконтурной зоне",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,UNDERGROUND_GEOLOGICAL_DOCUMENTATION,other,1,1,,DATASET:1,TEXT_VALUES:1,VKM-SRC-011,BKPRU2,"VKM-SRC-011 p58 [стр. 114, Рис. 2.48]",БКПРУ-2,MON-0449,EV-VN-S011-1104,VKM_ANALOGUE_ONLY:1,FACT:1,геологическое строение в стенках выработок (геометрия/литология),HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,UNDERGROUND_STATION,underground_station,1,1,2013–2020,DATASET:1,FIGURE_READ:1,VKM-SRC-034,BKPRU4,VKM-SRC-034 p2 [§ участок 1; рис. 1б],БКПРУ-4,MON-0261,EV-VN-S034-0015,VKM_ANALOGUE_ONLY:1,FACT:1,"смещения контура выработки/глубинных реперов относительно опорных реперов ПНС: оседание кровли, расслоение, конвергенция",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/БКПРУ,VISUAL_INSPECTION,other,3,3,1995–2012,DATASET:3,TEXT_VALUES:1; FIGURE_READ:1; DESCRIPTION_ONLY:1,VKM-SRC-011; VKM-SRC-040,BKPRU1; BKPRU4,VKM-SRC-011 p34 [текст с.67; рис. 1.64–1.66]; VKM-SRC-040 p28 [рис. 1.5]; VKM-SRC-040 p29 [рис. 1.6],"БКПРУ-1, пос. Нов. Зырянка (полевое обследование провалов, май 1999) || БКПРУ-4",MON-0412; MON-0416; MON-0417,EV-VN-S011-0629; EV-VN-S040-0081; EV-VN-S040-0083,VKM_ANALOGUE_ONLY:3,FACT:3,"качественные индикаторы повреждений (кровля, крепь, провалы)",HIGH:2; MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/другие участки ВКМ,DYNAMIC_EVENT_RECORDS,other,1,1,1989–1989,DATASET:1,TABLE_VALUES:1,VKM-SRC-037,OTHER_VKM_SITE,VKM-SRC-037 p81 [Табл. 5.3 (с.160)],другой участок ВКМ,MON-0425,EV-VN-S037-0516,VKM_ANALOGUE_ONLY:1,FACT:1,"дискретные события ГДЯ/обрушений (время, место, масса)",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/другие участки ВКМ,GAS_VENTILATION,other,1,1,,DATASET:1,TEXT_VALUES:1,VKM-SRC-011,OTHER_VKM_SITE,VKM-SRC-011 p99 [p.196],другой участок ВКМ,MON-0432,EV-VN-S011-1701,VKM_ANALOGUE_ONLY:1,FACT:1,"газовая/вентиляционная обстановка — операционные данные, вне деформационного состояния",HIGH:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/другие участки ВКМ,GRAVIMETRY_ELECTROMETRY,other,1,0,,SYSTEM_DESCRIPTION:1,SPEC_OR_DESCRIPTION_ONLY:1,VKM-SRC-018,OTHER_VKM_SITE,VKM-SRC-018 p6 [Рис. 2],другой участок ВКМ,MON-0368,EV-VN-S018-0035,METHOD/OPERATOR_PRIOR:1,FACT:1,"Δg / ρ_к — косвенные признаки разуплотнения, обводнения ВЗТ; не смещение",MEDIUM:1,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
Березники/другие участки ВКМ,HYDROSTATIC_LEVELLING,hydrostatic_levelling,16,14,2013–2022,DATASET:14; SYSTEM_DESCRIPTION:1; METHOD_PROPERTY:1,TABLE_VALUES:5; TEXT_VALUES:4; FIGURE_READ:3; SPEC_OR_DESCRIPTION_ONLY:2; FIGURE_VALUES_DIGITIZED_APPROX:2,VKM-SRC-017,OTHER_VKM_SITE,VKM-SRC-017 p2 [Метод гидростатического нивелировани; VKM-SRC-017 p3 [p.3; Рис. 1]; VKM-SRC-017 p3 [Рис. 2]; VKM-SRC-017 p4 [Табл. 1]; VKM-SRC-017 p4 [p.4; Рис. 2]; VKM-SRC-017 p5 [pp.4-5; Рис. 3; Табл. 1]; VKM-SRC-017 p5 [p.5; Рис. 4; Табл. 1]; VKM-SRC-017 p5 [Рис. 5]; VKM-SRC-017 p6 [p.6]; VKM-SRC-017 p6 [p.6; Рис. 5; Табл. 1]; VKM-SRC-017 p7 [p.7; Рис. 6; Табл. 1]; VKM-SRC-017 p7 [p.7]; VKM-SRC-017 p7 [p.7; Рис. 7]; VKM-SRC-017 p7 [p.7; Рис. 8]; VKM-SRC-017 p7 [p.7; Рис. 9]; VKM-SRC-017 p7 [p.7],другой участок ВКМ,MON-0228; MON-0229; MON-0230; MON-0231; MON-0232; MON-0233; MON-0234; MON-0235; MON-0236; MON-0237; MON-0238; MON-0239; MON-0240; MON-0241; MON-0242; MON-0243,EV-VN-S017-0009; EV-VN-S017-0017; EV-VN-S017-0021; EV-VN-S017-0023; EV-VN-S017-0026; EV-VN-S017-0028; EV-VN-S017-0030; EV-VN-S017-0031; EV-VN-S017-0033; EV-VN-S017-0035; EV-VN-S017-0037; EV-VN-S017-0038; EV-VN-S017-0039; EV-VN-S017-0040; EV-VN-S017-0041; EV-VN-S017-0046,VKM_ANALOGUE_ONLY:14; METHOD/OPERATOR_PRIOR:2,FACT:16,Δu_z между датчиками внутри одного здания (общая осадка и часть наклона не наблюдаемы),HIGH:16,DERIVATION,"агрегат строк каталога (подсчёт — DERIVATION; статусы строк — status_mix); годы — напечатанные в time_support наборов (DATASET), без вычислений"
