finding_id,stream,ext_id,finding,locator,affects,status,scope,confidence,conflict_with_local
F-SKRU1-011,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"Расчёт по «Указаниям»: η(z) = η0k·S(z); i(z) = η0k·S'(z)·q_i/L, где q_i — коэффициент приведения наклона к 15-метровому интервалу; η0k = 0,9·ω·m0·p; p = 1 − A(1 − B) (A — коэффициент заполнения камер закладкой, B — коэффициент усадки закладочного массива, сухая/гидравлическая).","с. 60, формула (1) и текст после неё",MM-SUBS-010 (i_x = η0/L²·S'(Z) как напечатано в SRC-037); MM-SUBS-011; MM-OBS-002 (15-м база); MM-BACKFILL,FACT,VKM_REGIONAL,HIGH,"Y: SRC-037 (8.138) напечатано η0/L²; здесь η0·S'/L — размерно корректно; также в SRC-012 (Указания 2022) η0k содержит множитель (C/0,32)² при C<0,32, здесь он не приведён (упрощённая форма)."
F-SKRU1-012,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"Типовые кривые (рис. 3): максимум безразмерной функции наклона S'(z) ≈ 2 при «жёстких» целиках (C ≤ 0,4) и ≈ 4 при «податливых» (C = 0,7), в интервале z = 0,2–0,4; податливые целики обычно разрушаются в первые 5–7 лет.","с. 59–60, рис. 3",MM-SUBS-010; MM-PILLAR-003; PHYSICS_CAUSAL pillar-failure timescale,FACT,VKM_REGIONAL,HIGH,N
F-SKRU1-013,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"Предложенные критерии: допустимый максимальный наклон краевой части мульды i = 10 мм/м, предельный i = 15 мм/м (обязательны доп. меры — закладка, зоны смягчения); «критический» наклон на 5 потенциально опасных участках Уралкалия и у скв. 17 БКПРУ-1 (2006) — 21–30 мм/м. Обобщённый критерий η/H: при C ≤ 0,4 допустимое 5a, предельное 7,5a; при 0,4 < C ≤ 0,7 — 2,5a и 3,75a (L = aH); табл. 4: 7,7/11,5 (L/H = 1,54, C ≤ 0,4), 3,8/5,8 (C ≤ 0,7), 7/10 и 3,5/5 (L/H = 1,4), η в мм, H в м.","с. 61–62, табл. 3, 4",engineering rules ВЗТ; gap: Указания 2014/2022 не в корпусе — это опубликованная альтернатива/дополнение,FACT,VKM_REGIONAL,HIGH,N
F-SKRU1-014,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"Пример БКПРУ-2 (не СКРУ-1): при C = 0,7 скорость оседаний в первые годы после выемки достигала ~800 мм/год; асимметричная мульда (восток крутой L = 476 м, наклон 23,8 мм/м; запад L = 537 м, 8 мм/м) к 2020 г.","с. 58–59, рис. 2, табл. 1",analogue for Physical World (pillar loading → trough edge geometry),FACT,VKM_REGIONAL (BKPRU-2),HIGH,N
F-SKRU1-015,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,Изучение закономерностей сдвижения земной поверхности на ВКМ ведётся с 1940-х гг.; к 1980-м установлены углы сдвижения и процедуры расчёта ожидаемых оседаний.,с. 59,MONITORING_LIFECYCLE (история наблюдений); chronology,FACT,VKM_REGIONAL,MEDIUM,N
F-SKRU1-016,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"По «Указаниям…» 2014: кривизна K(z)_{j+1} = [i(z)_j − i(z)_{j+2}]/l0·q_k (q_k = 1,5); наклон i(z)_{j+1} = [S(z)_j − S(z)_{j+2}]/l0·q_i (q_i = 1,2) (как напечатано, через S(z)); горизонтальная деформация ε(z) = m·K(z)·L (m — коэффициент перехода от кривизны); приведение к интервалу 15 м.","с. 6–7, формулы без номера",MM-SUBS-010; MM-OBS-002; MM-DEF-003; FC-017,FACT,VKM_REGIONAL,HIGH,"N (уточняет численные значения q_i = 1,2 и q_k = 1,5, отсутствующие в корпусе)"
F-SKRU1-017,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"Эмпирический способ: ξ(z) = ξmax·F(z); ξmax = a·ηmax; для ВКМ a = 0,4 при C ≤ 0,45 и a = 0,3 при C > 0,45 (по наблюдениям, ссылка на Борзаковский и др. 2009, ГИАБ № 7); приведены таблицы F(z), F'(z) для двух режимов C. Для угольных месторождений a = 0,3 + 0,8p, p = tgα − h/H.","с. 8–9, формулы (1)–(3), таблица","MM-SUBS-012; FC-003 (0,4 vs 0,2–0,26)",FACT,VKM_REGIONAL,HIGH,"Y: FC-003 — внешний источник подтверждает 0,4 (C ≤ 0,45) по Указаниям 2014 и добавляет 0,3 (C > 0,45); значение 0,2–0,26 из SRC-037 (1990/92) — более старая редакция; оба сохранять как DISCRETE_SET по редакциям."
F-SKRU1-018,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"Длительность процесса сдвижения при C ≤ 0,45 оценивается в 150–200 лет; поэтому нет данных наблюдений для отношения ξ/η на момент завершения; авторы допускают, что к завершению a = 0,3 для любых условий.",с. 9,PHYSICS_CAUSAL time scale of subsidence (rigid pillars); MECH_RHEO; Physical World v1 time horizon,FACT,VKM_REGIONAL,HIGH,N (важно для СКРУ-1: выработки 1930–1970-х гг. могут находиться в незавершённой стадии сдвижения)
F-SKRU1-019,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"Для граничных точек полумульды инженерные методы принимают горизонтальную деформацию ε = 0,3·10⁻³ (далее считаются равными 0); модельные деформации там конечны.",с. 11,MM-SUBS-013 / FC-037 (граница зоны влияния по критическим деформациям),FACT,VKM_REGIONAL,MEDIUM,N
F-SKRU1-020,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"Метод моделирования ГИ УрО РАН: 3D-модель по расчётным блокам (от четвертичных отложений до подстилающей каменной соли), модифицированный метод переменных модулей, параметризация по маркшейдерским наблюдениям или по прогнозным графикам нарастания оседаний по Указаниям; численно — полуаналитическая схема МКЭ с разложением перемещений в ряд Фурье (3D → набор 2D задач).",с. 9–10,MM-GEOMECH-004 (подтверждение); OGS applicability (time via variable moduli ≠ constitutive creep),FACT,VKM_REGIONAL,HIGH,N (подтверждает описание MM-GEOMECH-004)
F-SKRU1-021,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-003,"Профильная линия 27 Первого Березниковского рудника (БКПРУ-1, аналог): KрII отработан в 1985–1990 (1 бис ВП) и 2003–2005 (2 бис ВП); горизонтальные смещения измеряются с 2002 г.; после затопления 2006 г. скорости оседаний 15–30 мм/год над 1 бис ВП и 1–2 мм/год над 2 бис ВП; к 2021 г. оседания 500–570 мм и 30–50 мм соответственно.","с. 11–12, рис. 5–7",analogue monitoring data (не СКРУ-1); MONITORING_LIFECYCLE,FACT,VKM_REGIONAL (BKPRU-1),HIGH,N
F-SKRU1-022,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-004,7 ноября 1927 г. близ Соликамска забит первый колышек калийной шахты — начало летоисчисления строительства Первого калийного комбината.,абз. 6,"CHR-0023, CHR-0024",FACT,SKRU1,HIGH,N (совпадает с SRC-011: закладка ствола № 1 07.11.1927)
F-SKRU1-023,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-004,В ночь с 18 на 19 апреля 1930 г. из первой шахты выданы первые бадьи калия; 1 мая 1930 г. отправлены первые 5 вагонов с калием. Первая калийная шахта введена в эксплуатацию в 1933 г. (май 1933 — по существу первый пусковой месяц производства KCl); 9 марта 1934 г. комбинат принят в эксплуатацию.,абз. 2 и 8–9,"CHR-0025 (ввод 1930), CHR-0027 (сдан в эксплуатацию май 1930), CC-13; gap 'commissioning 1930/1934'",FACT,SKRU1,MEDIUM,"Y: корпус (SRC-011) даёт «рудник сдан в эксплуатацию в мае 1930 г.»; архивная статья разводит события: 1930 — первая добыча/отгрузка (в период строительства), 1933 — ввод шахты, 09.03.1934 — приёмка комбината. Вероятно, «1930» и «1934» — разные типы событий, а не противоречие. Рекомендация: хранить как три события с разными event_type."
F-SKRU1-024,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-004,"К началу 1934 г. пройдены два вертикальных ствола диаметром 5 м, глубиной 260 и 300 м; проектная мощность комбината 4500 т сильвинита в сутки. На 60-м метре первой шахты при проходке произошёл обвал. Иностранная бригада проходила шахту № 1 методом цементации, шахту № 2 — замораживанием.",абз. 10–11,SKRU1:SHAFT:1/2 geometry; CHR-0026 (течь в стволе № 2 после неудачного оттаивания ледопородного ограждения),FACT,SKRU1,MEDIUM,N (дополняет; согласуется с замораживанием ствола № 2 в CHR-0026)
F-SKRU1-025,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-004,В годы войны на комбинате перешли от пневматической отбойки карналлита к взрывной; добыча карналлита выросла более чем в 4 раза к 1940 г. уровню; в 1937 г. отмечено >150 аварий за полугодие (в т.ч. взрыв в шахте).,абз. 14–15,"CHR-0034 (вывалы карналлита 1937), CHR-0135 (ГДЯ), mining history carnallite",FACT,SKRU1,MEDIUM,N
F-SKRU1-026,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-005,"MiningWiki: 19.04.1930 шахта № 1 выдала первые бадьи калия; в феврале 1934 г. комбинат принят Государственной комиссией; в 1936 г. пущен карналлитовый цех (14.03.1936 первые чушки магния); добыча сильвинита 4286 т (1930), 70 016 т (1932); с 1962 г. реконструкция рудничного транспорта на горизонте −143 м. Переименования: 1971 — СКРУ в составе «Уралкалия»; 1974 — СКРУ-1; 1983 — в составе ПО «Сильвинит»; 1996 — СКРУ № 1 ОАО «Сильвинит»; май 2011 — слияние «Уралкалия» и «Сильвинита».",основной текст,CC-13; CHR-0032; CHR-0075 (горизонт −143 м); naming SKRU-1/СКПРУ-1 aliases,FACT,SKRU1,LOW,Y (частично): приёмка комбината — «февраль 1934» (MiningWiki) против «9 марта 1934» (ПермГАСПИ); оба вторичные. Начало добычи карналлита на СКРУ-1 с 1936 г. в SRC-011 согласуется с пуском карналлитового цеха в 1936 г.
F-SKRU1-027,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-006,"Сейсмологический мониторинг рудников ВКМ ведётся с 1995 г. аналоговой телеметрической системой; погрешность эпицентров 30–250 м; представительный энергетический класс ~1,5–3,7; ежегодно от десятков до сотен событий; при аварии на СКРУ-2 рост сейсмической активности выявлен за ~2,5 месяца до образования провала; далее — переход на цифровые системы (ISSI, «Ермак-5», HS-1).","с. 25–29 (по сводке Firecrawl, не построчно)",gap: SKRU-1 seismic network; SKRU-2 2014 precursor; MONITORING_LIFECYCLE,FACT (уровень аннотации),VKM_REGIONAL,MEDIUM,N
F-SKRU1-028,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-007,"По документации закупки ПФИЦ УрО РАН: проект «Радармон Соликамск» — InSAR TerraSAR-X (повтор 11 сут, разрешение ~3 м) для оседаний СКРУ-2; аналогичные работы велись в 2016 г.; после обрушения в ноябре 2014 г. сцены 2015 г. сдвинуты к северу, чтобы Березники и большая область Соликамска попали на одну сцену; регистрация 2019 г. — апрель–04.11.2019; исполнитель — Институт геотехнологий и маркшейдерского дела ТУ Клаусталь (субподряд), договор подряда ПФИЦ–Уралкалий от 25.03.2019.",текст новости,gap: InSAR over Solikamsk/SKRU-1; MONITORING_LIFECYCLE (InSAR campaigns timeline),"FACT (вторично, по новостному пересказу)",VKM_REGIONAL (Solikamsk),MEDIUM,N (в корпусе InSAR по Соликамску описан только в общих чертах; результатов «Радармон Соликамск» в открытом доступе не найдено)
F-SKRU1-029,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-008,"ГИ УрО РАН + ИФЗ РАН (2025): для БКПРУ-1 данные InSAR TerraSAR-X (11 сут) и нивелирования профильных линий включаются в параметрическое обеспечение 3D-модели (полуаналитический МКЭ, модификация метода переменных модулей), определяющей деформирование массива во времени.",аннотация,MM-GEOMECH-004; forecasting design (assimilation of InSAR into physics model),FACT,VKM_REGIONAL (BKPRU-1),HIGH,N
F-SKRU1-030,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-009,В конце мая – начале июня 2020 г. ПАО «Уралкалий» объявило о завершении строительства подземной перемычки между рудниками СКРУ-1 и СКРУ-2 при участии АО «ВНИИ Галургии». Это инженерное событие изоляции СКРУ-1 от затапливаемого (с 2014 г.) СКРУ-2.,заголовки новостей; даты в URL permnews (2020-05-26) и rg.ru (2020-06-03),MINING chronology (событие ENGINEERING 2019–2020); MONITORING_LIFECYCLE P19–P20; WorldSpec: гидрогеологическая граница СКРУ-1/СКРУ-2; CC-05 (м/ш целик),FACT,SKRU1 / SKRU2 (граница),MEDIUM,N (в корпусе отсутствует)
F-SKRU1-031,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-009,"LEAD (сводка): это дополнительная гидроизоляционная «перемычка № 3» длиной 65 м из семи сегментов; сооружена в 2019–2020 гг.; тампонаж выполнен с обеих сторон, со стороны СКРУ-1 — химическим полимером; назначение — безопасность горных работ на шахтном поле СКРУ-1. По корпусу (SRC-012, PDF p.34) сбойку начала 1970-х через м/ш целик СКРУ-1–СКРУ-2 (пласт КрII, гор. −143 м) ещё в советское время перекрыли тремя бетонными перемычками шириной 20 м и заложили; вдоль неё проходит профильная линия № 1 (наблюдения с 1977 г.). Как соотносятся три советские перемычки и «перемычка № 3» 2019–2020 гг. (то же место или другая выработка, какая нумерация) — не установлено.",машинная сводка WebSearch R-Q10; VKM-SRC-012 PDF p.34,WorldSpec: подземные гидроизоляционные сооружения на границе СКРУ-1/СКРУ-2; observation: профильная линия № 1; CC-05,UNKNOWN (LEAD),SKRU1 / SKRU2 (граница),LOW,Y (возможное): «три бетонные перемычки» советского времени (SRC-012) vs «перемычка № 3» 2019–2020 (новости) — нумерация и местоположение не сопоставлены; не объединять
F-SKRU1-032,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-011,"LEAD: в феврале–марте 2020 г. объявлялись общественные обсуждения ОВОС по объекту «Отработка предохранительного целика в восточном участке шахтного поля рудника СКРУ-1» (слушания 31.03.2020, организатор — администрация Соликамского ГО). Если проект реализован, после 2020 г. на СКРУ-1 выполнялась выемка в охранном целике восточной части, т.е. это новое событие выемки и новый источник будущих оседаний. Место, пласты и сроки не установлены.","машинная сводка по o-v-o-s.ru (архив 02.2020, стр. 3)",MINING chronology СКРУ-1 после 2020 г.; spatial_hierarchy MF:SKRU1 (восточный участок); PHYSICS_CAUSAL (новая выемка → оседания); бенчмарк: утечка/available_from,UNKNOWN (LEAD),SKRU1,LOW,N (в корпусе отсутствует)
F-SKRU1-033,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-010,"LEAD: Главгосэкспертиза согласовала проект Уралкалия по освоению ранее не отрабатывавшихся пластов/участков Соликамского рудоуправления № 1 (компенсация истощения запасов); дата не видна. По другим результатам (сводка, атрибуция не установлена — EXTWEB-SKRU1_SPECIFIC-012): в 2024 г. на СКРУ-1 модернизировали котельную и ГВУ, добыча карналлитовой руды ~0,7 млн т/год. Вместе с полнотекстовыми утверждениями 2021 и 2023 гг. (F-SKRU1-006, F-SKRU1-009) это указывает, что СКРУ-1 действует и планов закрытия в найденных материалах нет. Срок отработки запасов не найден.","машинные сводки WebSearch R-Q1, R-Q2",gap: current status of SKRU-1; WorldSpec time horizon (рудник действующий → продолжающаяся выемка после t0),UNKNOWN (LEAD),SKRU1,LOW,N
F-SKRU1-034,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-013,"Функции U_i(t, t_i) модели плотности сейсмоэнерговыделения СКРУ-1 (FV-SKRU1-001) опубликованы в работе Горное эхо, 2022, № 1 (DOI 10.7242/echo.2022.1.16). По сводке заглавие — «Обновление параметров модели прогноза сейсмической активности для рудника СКРУ-1…», с. 101–108. Текст не прочитан, поэтому FV-SKRU1-001 остаётся NOT_VERIFIABLE.",DOI — список литературы EXTWEB-SKRU1_SPECIFIC-001; заглавие и страницы — сводка,FV-SKRU1-001; gap: SKRU-1 seismic model/catalogue,FACT,SKRU1,MEDIUM,N
F-SKRU1-035,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-016,"Опубликованные InSAR-результаты ИФЗ РАН + ГИ УрО РАН в найденной серии относятся к Березникам (часть II, метод устойчивых отражателей, «Геофизические исследования», 2023, т. 24, № 2). Отдельных публикаций InSAR по Соликамску/СКРУ-1, как и результатов проекта «Радармон Соликамск» (F-SKRU1-028), в этой сессии не найдено. Покрытие СКРУ-1 мониторингом ИФЗ 2020–2022 остаётся UNKNOWN.","заголовок страницы portal.ifz.ru; сводки R-Q6, R-Q15","MONITORING_LIFECYCLE §7 п.3; F-SKRU1-028; PST rank 10 (CW-0039, серия)",UNKNOWN,VKM_REGIONAL,MEDIUM,N
F-SKRU1-036,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-018,"ОШИБКА МАШИННОЙ СВОДКИ: поисковая сводка приписала блок 129 (профильная линия 1968 г.; фактическое оседание 3,2 м, расчётное на конец сдвижения 5,8 м) Первому Соликамскому руднику. В первичном тексте (Евсеев–Жукова 2024 = корпусный VKM-SRC-021, печ. 60–61) рудник не назван: «одного из рудников». Атрибуция остаётся UNKNOWN; сводку как доказательство отнесения к СКРУ-1 не использовать. Локальное сужение (DERIVATION, не факт): блок отрабатывался в 1965–76 гг., а среди рудников таблицы ввода SRC-011 до 1965 г. введены только СКРУ-1 (1930) и БКПРУ-1 (1944), т.е. кандидаты — СКРУ-1 или БКПРУ-1. Допущения: таблица полна; блок относится к руднику Уралкалия.",VKM-SRC-021 PDF p.3 (печ. 60); сводка WebSearch R-Q5,MONITORING_LIFECYCLE §7 п.4 (рудник блока 129); EV-VN-S021-*; правило атрибуции по руднику (CLAUDE.md),UNKNOWN,VKM_REGIONAL (рудник не назван),HIGH,Y — внешняя машинная сводка (СКРУ-1) vs первичный текст (рудник не назван); принять первичный текст
F-SKRU1-037,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-019,"LEAD (сосед, NEIGHBOUR_ONLY): провал 18.11.2014 размером ~20×30 м — в ~3,5 км восточнее промплощадки Соликамск-2, в дачном посёлке «Ключики», над старыми выработками СКРУ-2; к 10.12.2014 увеличился до ~50×80 м. 02.05.2018 в огороженной опасной зоне, в 56 м к северо-западу от провала 2014 г., образовалась новая воронка 25×32 м. По корпусу (SRC-012, PDF p.34) провал 2018 г. находится примерно в 800 м от м/ш целика СКРУ-1–СКРУ-2. Расстояние до границы шахтного поля СКРУ-1 внешне не найдено.","машинная сводка R-Q14 (rbc.ru 2014, uralpolit.ru 2018, ura.news, Википедия); VKM-SRC-012 PDF p.34","MINING §2.4 (СКРУ-2: провалы 2014, 2018); P19–P20; CC-05",UNKNOWN (LEAD),SKRU2,LOW,N (детализирует корпус; не СКРУ-1)
F-SKRU1-038,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-020,"LEAD (третичный источник): в Википедии закладка ствола № 1 Первого калийного рудника датирована 06.11.1927, место — в 2 км южнее Соликамска. Корпус (SRC-011) и архивная статья ПермГАСПИ (F-SKRU1-022) дают 07.11.1927. Там же (по сводке): к 2005 г. «Сильвинит» сообщал, что все выработки под городской чертой Соликамска на первом руднике заложены.",машинная сводка R-Q17 / R-Q9 (атрибуция к статье Википедии вероятная),CHR-0023/CHR-0024 (дата закладки ствола); CC-13; SKRU-1 backfill history (закладка под городом к 2005 г.),UNKNOWN (LEAD),SKRU1,LOW,"Y — 06.11.1927 (Википедия) vs 07.11.1927 (SRC-011, ПермГАСПИ); приоритет у 07.11.1927 (два источника, один архивный), 06.11 хранить как вариант"
F-SKRU1-039,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-021,"МСК-59 — официальная местная система координат Пермского края: в правовых актах публикуются координаты в МСК-59. Параметры зон в открытом доступе есть только неофициальные: осевые 53.55/56.55/59.55 в нотации MapInfo, ложные восточные смещения 1 250 000 / 2 250 000…, ложное северное −5 914 743,504 (LEAD). Отнесение Соликамска и Березников к зонам по сводке противоречиво. Связь местной системы координат рудника СКРУ-1 с МСК-59 публично не описана — согласуется с EV-VN-S023-0207 («ключей перехода … в открытом доступе нет»).",заголовок consultant.ru LAW_218938; сводка по mapbasic.ru/geoprof/terraingis,"GEOLOGY_COORDS: CRS_SKRU1_MINE_LOCAL, CoordinateTransform (все UNKNOWN); WorldSpec CRS registry",UNKNOWN (LEAD),VKM_REGIONAL,LOW,N (подтверждает статус UNKNOWN для переходов)
F-SKRU1-040,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-023,Отдельная публикация Баряха–Тенисон 2021 с «картами риска прорыва» не найдена. Инженерные критерии 2021 г. изложены в ГЖ 2021 № 4 (EXTWEB-SKRU1_SPECIFIC-002). Методика районирования шахтных полей по категориям опасности затопления опубликована Евсеевым–Жуковой 2024 (корпус SRC-021). Существует также патент RU 2261330 на способ гидрогеологического районирования шахтных полей калийных предприятий (только заголовок).,выдача R-Q13,target «Baryakh & Tenison 2021 breach-risk maps»; MONITORING_LIFECYCLE,UNKNOWN,VKM_REGIONAL,MEDIUM,N
F-SKRU1-041,SKRU1_SPECIFIC,EXTWEB-SKRU1_SPECIFIC-002,"Уточнение к F-SKRU1-010 и FV-SKRU1-002. У Баряха–Тенисон 2021 углы названы так: 55° — граничный, 50° — полных сдвижений. У Щеголькова 2024/2025 (EXTWEB-NORMATIVE-004/005) и в VKM-SRC-037 наоборот: 50° — граничный δ0 (ред. 1985–2008), 55° — угол полных сдвижений ψ. F-SKRU1-010 фиксирует только чтение Баряха–Тенисон; оно не исправляет FC-004. Первичный текст «Указаний» 2008 не прочитан. Хранить обе интерпретации с атрибуцией (NORM-F-035).","Барях–Тенисон 2021, с. 58 (по F-SKRU1-010); Щегольков 2024, с. 26–27",F-SKRU1-010; FV-SKRU1-002; FC-004; MM-SUBS-010; NORM-F-035,UNKNOWN,VKM_REGIONAL,MEDIUM,Y — Барях–Тенисон 2021 vs SRC-037 + Щегольков 2024/2025 (названия углов); не усреднять
XF-SF-001,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Автореферат Ермашова: работа выполнена в ПНИПУ (рук. Кашников Ю.А.), защита 20.11.2015 в совете Д 004.026.01 при ГИ УрО РАН; специальность 25.00.20; диссертация 133 с., 99 источников. Цель — методика расчёта оседаний ВКМ с учётом реологии.","титул, с.1–2 автореферата",CW-0053; EV-VN-S012-0638; EV-VN-S016-0110,FACT,VKM_REGIONAL,HIGH,N
XF-SF-002,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Модель Ермашова — вязкопластическая модель соляных пород Wittke–Knoll–Kiehl–Döring–Erichsen–Wallner (теория Perzyna 1966): ε = ε_el + ε_p (неустановившаяся) + ε_s (установившаяся) + ε_t (прогрессирующая); первичная ползучесть — 3 параметра (вязкость η_p, модуль упрочнения E_p, показатель m), установившаяся — 2 параметра (вязкость η_s и показатель n при нормировке на p0 = 1 МПа), прогрессирующая — критерий Друкера–Прагера с разупрочнением (модуль M) при дилатансии; граница течения = предел длительной прочности; реализация в ANSYS пользовательскими процедурами.","гл.2 автореферата, формулы (1)–(4)",MM-CREEP (реология ВКМ); CW-0053,FACT,VKM_REGIONAL,HIGH,"Y — VKM-SRC-016 описывает модель по [29] как Друкер–Прагер + степенной закон Abaqus (A, n, m), а не модель Perzyna/Wittke"
XF-SF-003,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Для расчётов вокруг камер массив принят изотропным с единым модулем упругости 7 ГПа и коэффициентом Пуассона 0,35 по всему разрезу. Значения табл.1 VKM-SRC-016 (сильвинит E = 400 МПа, ν = 0,32, ρ = 2500, φ = 40°, c = 3,5, A = 3·10⁻¹⁰, n = 1, m = −0,3), атрибутированные ссылкой [29] этому автореферату, в автореферате отсутствуют.",гл.3 автореферата (после табл.1),EV-VN-S016-0035..0052; EV-VN-S016-0114; CW-0053 dependent_claims,FACT,VKM_REGIONAL,HIGH,Y — ссылка [29] в VKM-SRC-016 не подтверждает табл.1; сам VKM-SRC-016 называет источником отчёт НИР СПГУ; провенанс табл.1 остаётся UNKNOWN
XF-SF-004,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Параметры разрушения каменной соли ВКМ по трёхосным испытаниям ГИ УрО РАН: мгновенная прочность на одноосное сжатие 25,3 МПа, угол внутреннего трения 53°, остаточная прочность на сжатие 8,7 МПа, угол остаточного трения 46,8°.","гл.2 автореферата, текст к рис.2",MM-STR (прочность каменной соли); параметры Physical World (каменная соль),FACT,VKM_REGIONAL,MEDIUM,N (проверить против VKM-SRC-025/кадастра)
XF-SF-005,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Табл.1 автореферата: средние параметры реологической модели для сильвинита (пласты КрII и АБ) по измерениям деформаций МКЦ на подземных станциях СКРУ-1 и СКРУ-3: E_p = 176 МПа; η_p = 77 МПа·год; m = 2,1; η_s = 5,49·10^7 МПа·год; n = 5; далее в OCR значения 20; 9,8; 16; 65; 2 (заголовки столбцов σ_f, M и др. в OCR искажены — соответствие не установлено). Степенные показатели m, n взяты из испытаний образцов, остальные — из натурных измерений; породы пласта АБ более склонны к ползучести, чем КрII.","гл.3 автореферата, табл.1",MM-CREEP; rheology параметры КрII/АБ СКРУ-1,FACT,VKM_REGIONAL,MEDIUM,N (в корпусе этих значений нет; OCR-неоднозначность столбцов)
XF-SF-006,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Табл.2: вязкость установившейся ползучести сильвинита по трём способам — испытания образцов (30 сут) 1,43·10^? МПа·год (показатель степени в OCR утрачен), деформации МКЦ (5 лет) 5,49·10^7, оседания поверхности (32 года) 6,06·10^7 МПа·год; защищаемое положение 2: лабораторная вязкость в 3–5 раз меньше натурной (масштаб времени).","гл.4 автореферата, табл.2; защищаемое положение 2",MM-CREEP; масштабный переход лаборатория→массив,FACT,VKM_REGIONAL,MEDIUM,N
XF-SF-007,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Реологические параметры крупномасштабной модели определялись по графикам нарастания максимальных оседаний во времени, взятым из «Указаний…» (со ссылкой на мнение А.А. Баряха: такие графики — аналог кривых ползучести); тестовая задача: пласт КрII, панель 1200×400 м, МКЦ 5,5 м, камеры 5,5–9,8 м, C = 0,32–0,45, 15 лет, плоская деформация. Следствие: временная функция модели по построению наследует нормативную кривую (риск циркулярности при использовании для прогноза/валидации).","гл.4 автореферата, рис.7–9",MM-SUBS-010/011 (временные коэффициенты); MM-CREEP-012 (та же идея у ГИ УрО РАН); риск leakage для бенчмарка,FACT,VKM_REGIONAL,HIGH,N
XF-SF-008,SUBSIDENCE_FORMULAS,EXTWEB-SUBSIDENCE_FORMULAS-001,"Три стадии процесса сдвижения на ВКМ: начальная (от нуля до критических деформаций МКЦ; модель — неустановившаяся+установившаяся ползучесть), активная (рост скорости до максимума; установившаяся+прогрессирующая ползучесть и разрушение сдвигом; переход задаётся модулем разупрочнения), затухающая (эквивалентный материал — разрушенный массив или закладка). При C = 0,5 и появлении прогрессирующей ползучести краевая часть мульды становится круче.",гл.4 автореферата; защищаемое положение 3,MM-SUBS-017 (режимы по C); physics стадии сдвижения,FACT,VKM_REGIONAL,HIGH,N
