issue_id,issue_type,borehole_ids,ids_as_printed,sources,locators,vn_ids,description,evidence_for_identity,evidence_against_identity,decision,identity_confidence,what_would_resolve,status
ISS-DUR-206-209,READING_VARIANT,BH-DUR-S011-206;BH-DUR-S011-209,206 (209) | 209,VKM-SRC-011,SRC-011 p62 (с.122),EV-VN-S011-1256;EV-VN-S011-1255,"В перечне мощностей ПдКС напечатано «скв. 206 (209) – 46 м» рядом с отдельной строкой «скв. 209 – 55 м»: смысл номера в скобках (дубль, старый номер, опечатка) не указан.",,Для 209 отдельно дано 55 м.,KEPT_SEPARATE (alias 209 у 206 сохранён как напечатано),LOW,Первоисточник [106] / каталог Дуринской площади.,OPEN
ISS-NO-PRINTED-XY,DATA_GAP,ALL,—,all corpus,SRC-025 p34 (описание состава скважинной документации),EV-VN-S025-0217,"Ни в одном источнике корпуса не напечатаны координаты устья ни одной скважины (проверено поиском по всем 13 486 записям). Единственные числовые плановые положения — оцифровка подписей на рис.3.2–3.7 Лебедевой в безымянной локальной сетке. SRC-025 с.34: по каждой скважине в первичной документации есть координаты, высотные отметки границ слоёв, выход керна — т.е. данные существуют в фондах.",,,DATA_REQUEST,n/a,Запрос в фонды (Уралкалий/ГИ УрО РАН/ВНИИГ): каталог координат устьев и отметок скважин СКРУ-1/2/3.,OPEN
ISS-AUTO-1,SAME_ID_DIFFERENT_CONTEXT,BH-SECI-1;BH-HIST-S011-1;BH-SOL-1;BH-S015-S015-1,1,VKM-SRC-011;VKM-SRC-014;VKM-SRC-015;VKM-SRC-023;VKM-SRC-025,"BH-SECI-1: 011 p7, 014 p17, 023 p28, 025 p8 | BH-HIST-S011-1: 011 p146 | BH-SOL-1: 014 p78 | BH-S015-S015-1: 015 p6",EV-VN-S011-0090;EV-VN-S014-0181;EV-VN-S023-0094;EV-VN-S025-0032;EV-VN-S011-2671;EV-VN-S014-0479;EV-VN-S015-0040,"Номер «1» встречается в 4 несвязанных контекстах: BH-SECI-1 [Региональный широтный разрез I–I Соликамской впадины (SRC-011 рис.1.5 ]; BH-HIST-S011-1 [Первые солеразведочные скважины г. Соликамска 1925–1927 гг. (SRC-011 П]; BH-SOL-1 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ]; BH-S015-S015-1 [ВКМС, выработка по пласту КрII (рудник не указан, SRC-015)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-1-OP,SAME_ID_DIFFERENT_CONTEXT,BH-DEEP-1-OP;BH-DUR-S011-1-OP,1-ОП,VKM-SRC-011;VKM-SRC-023,"BH-DEEP-1-OP: 011 p174, 011 p36, 011 p7, 023 p27 | BH-DUR-S011-1-OP: 011 p61",EV-VN-S011-0045;EV-VN-S011-0687;EV-VN-S011-3814;EV-VN-S023-0082;EV-VN-S011-1229,"Номер «1-ОП» встречается в 2 несвязанных контекстах: BH-DEEP-1-OP [ВКМС: опорные/глубокие нефтепоисковые скважины (уникальные обозначения]; BH-DUR-S011-1-OP [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-10,SAME_ID_DIFFERENT_CONTEXT,BH-SOL-10;BH-GREM-S024-10;BH-VOLGA-S029-10,10,VKM-SRC-011;VKM-SRC-012;VKM-SRC-024;VKM-SRC-029,"BH-SOL-10: 011 p49, 012 p28 | BH-GREM-S024-10: 024 p120 | BH-VOLGA-S029-10: 029 p140",EV-VN-S011-0996;EV-VN-S012-0105;EV-VN-S024-0407;EV-VN-S029-0268,"Номер «10» встречается в 3 несвязанных контекстах: BH-SOL-10 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ]; BH-GREM-S024-10 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-10 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-100,SAME_ID_DIFFERENT_CONTEXT,BH-SECBL-100;BH-M39-S011-100;BH-UM11-100,100,VKM-SRC-011;VKM-SRC-014;VKM-SRC-037,"BH-SECBL-100: 011 p24, 037 p6 | BH-M39-S011-100: 011 p112 | BH-UM11-100: 014 p9",EV-VN-S011-0423;EV-VN-S037-0069;EV-VN-S011-1955;EV-VN-S014-0085,Номер «100» встречается в 3 несвязанных контекстах: BH-SECBL-100 [Широтный разрез Березниковского района (Усольский купол – Камский прог]; BH-M39-S011-100 [Карта ВКМС масштаба месторождения (SRC-011 рис.3.9)]; BH-UM11-100 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-1007,SAME_ID_DIFFERENT_CONTEXT,BH-SWK-S011-1007;BH-UM11-1007,1007,VKM-SRC-011;VKM-SRC-014,BH-SWK-S011-1007: 011 p11 | BH-UM11-1007: 014 p9,EV-VN-S011-0168;EV-VN-S014-0089,"Номер «1007» встречается в 2 несвязанных контекстах: BH-SWK-S011-1007 [ЮЗ часть ВКМС, участки пласта КрIV у оси Камского прогиба (SRC-011 рис]; BH-UM11-1007 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-101,SAME_ID_DIFFERENT_CONTEXT,BH-SECBL-101;BH-UM11-101;BH-M135-101;BH-B4-101,101,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"BH-SECBL-101: 011 p24, 020 p8, 037 p6 | BH-UM11-101: 014 p9 | BH-M135-101: 014 p19 | BH-B4-101: 014 p103",EV-VN-S011-0437;EV-VN-S020-0063;EV-VN-S037-0080;EV-VN-S014-0083;EV-VN-S014-0248;EV-VN-S014-0788,"Номер «101» встречается в 4 несвязанных контекстах: BH-SECBL-101 [Широтный разрез Березниковского района (Усольский купол – Камский прог]; BH-UM11-101 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-M135-101 [Карта участков детальной разведки / шахтных полей центральной части ВК]; BH-B4-101 [БКПРУ-4, поверхностные скважины]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-102,SAME_ID_DIFFERENT_CONTEXT,BH-SECBL-102;BH-UM11-102,102,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"BH-SECBL-102: 011 p24, 020 p8, 037 p6 | BH-UM11-102: 014 p9",EV-VN-S011-0441;EV-VN-S020-0066;EV-VN-S037-0082;EV-VN-S014-0086,Номер «102» встречается в 2 несвязанных контекстах: BH-SECBL-102 [Широтный разрез Березниковского района (Усольский купол – Камский прог]; BH-UM11-102 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-1026,SAME_ID_DIFFERENT_CONTEXT,BH-DUR-S011-1026;BH-M39-S011-1026,1026,VKM-SRC-011,BH-DUR-S011-1026: 011 p64 | BH-M39-S011-1026: 011 p112,EV-VN-S011-1364;EV-VN-S011-1948,"Номер «1026» встречается в 2 несвязанных контекстах: BH-DUR-S011-1026 [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]; BH-M39-S011-1026 [Карта ВКМС масштаба месторождения (SRC-011 рис.3.9)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-1034,SAME_ID_DIFFERENT_CONTEXT,BH-KLEST-S011-1034;BH-SOL-1034,1034,VKM-SRC-011;VKM-SRC-014,BH-KLEST-S011-1034: 011 p112 | BH-SOL-1034: 014 p78,EV-VN-S011-1838;EV-VN-S014-0471,Номер «1034» встречается в 2 несвязанных контекстах: BH-KLEST-S011-1034 [ЮЗ склон Клестовского поднятия (SRC-011 с.223)]; BH-SOL-1034 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-106,SAME_ID_DIFFERENT_CONTEXT,BH-M135-106;BH-UM11-106;BH-B2-106;BH-SECBL-106,106,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020,"BH-M135-106: 011 p24, 014 p19 | BH-UM11-106: 014 p9 | BH-B2-106: 014 p99 | BH-SECBL-106: 020 p8",EV-VN-S011-0414;EV-VN-S014-0253;EV-VN-S014-0091;EV-VN-S014-0624;EV-VN-S020-0062,"Номер «106» встречается в 4 несвязанных контекстах: BH-M135-106 [Карта участков детальной разведки / шахтных полей центральной части ВК]; BH-UM11-106 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-B2-106 [БКПРУ-2, поверхностные скважины]; BH-SECBL-106 [Широтный разрез Березниковского района (Усольский купол – Камский прог]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-107,SAME_ID_DIFFERENT_CONTEXT,BH-M135-107;BH-UM11-107;BH-B2-107,107,VKM-SRC-011;VKM-SRC-014,"BH-M135-107: 011 p24, 014 p19 | BH-UM11-107: 014 p9 | BH-B2-107: 014 p99",EV-VN-S011-0421;EV-VN-S014-0256;EV-VN-S014-0092;EV-VN-S014-0655,"Номер «107» встречается в 3 несвязанных контекстах: BH-M135-107 [Карта участков детальной разведки / шахтных полей центральной части ВК]; BH-UM11-107 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-B2-107 [БКПРУ-2, поверхностные скважины]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-11,SAME_ID_DIFFERENT_CONTEXT,BH-HIST-S011-11;BH-GREM-S024-11;BH-VOLGA-S029-11,11,VKM-SRC-011;VKM-SRC-024;VKM-SRC-029,"BH-HIST-S011-11: 011 p146, 011 p39 | BH-GREM-S024-11: 024 p120, 024 p94 | BH-VOLGA-S029-11: 029 p140",EV-VN-S011-0717;EV-VN-S011-2680;EV-VN-S024-0258;EV-VN-S024-0386;EV-VN-S029-0269,"Номер «11» встречается в 3 несвязанных контекстах: BH-HIST-S011-11 [Первые солеразведочные скважины г. Соликамска 1925–1927 гг. (SRC-011 П]; BH-GREM-S024-11 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-11 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-12,SAME_ID_DIFFERENT_CONTEXT,BH-UNLOC-S011-12;BH-GREM-S024-12;BH-VOLGA-S029-12,12,VKM-SRC-011;VKM-SRC-024;VKM-SRC-029,BH-UNLOC-S011-12: 011 p117 | BH-GREM-S024-12: 024 p120 | BH-VOLGA-S029-12: 029 p140,EV-VN-S011-2003;EV-VN-S024-0392;EV-VN-S029-0272,"Номер «12» встречается в 3 несвязанных контекстах: BH-UNLOC-S011-12 [ВКМС, место скважины в источнике не указано (SRC-011 текст)]; BH-GREM-S024-12 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-12 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-121,SAME_ID_DIFFERENT_CONTEXT,BH-SOL-121;BH-UM11-121,121,VKM-SRC-012;VKM-SRC-014,"BH-SOL-121: 012 p28, 012 p64, 012 p67 | BH-UM11-121: 014 p20, 014 p9",EV-VN-S012-0094;EV-VN-S012-0317;EV-VN-S012-0383;EV-VN-S014-0065;EV-VN-S014-0274,Номер «121» встречается в 2 несвязанных контекстах: BH-SOL-121 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ]; BH-UM11-121 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-123,SAME_ID_DIFFERENT_CONTEXT,BH-M211-S011-123;BH-SOL-123,123,VKM-SRC-011;VKM-SRC-012,"BH-M211-S011-123: 011 p47 | BH-SOL-123: 011 p49, 012 p28, 012 p64, 012 p67",EV-VN-S011-0916;EV-VN-S011-0993;EV-VN-S012-0096;EV-VN-S012-0320;EV-VN-S012-0385,"Номер «123» встречается в 2 несвязанных контекстах: BH-M211-S011-123 [SRC-011 рис.2.11 (участки 2, 3, 9 локальной изменчивости)]; BH-SOL-123 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-124,SAME_ID_DIFFERENT_CONTEXT,BH-M211-S011-124;BH-SOL-124,124,VKM-SRC-011;VKM-SRC-012,"BH-M211-S011-124: 011 p47 | BH-SOL-124: 011 p49, 012 p28, 012 p64, 012 p67",EV-VN-S011-0917;EV-VN-S011-0995;EV-VN-S012-0099;EV-VN-S012-0321;EV-VN-S012-0388,"Номер «124» встречается в 2 несвязанных контекстах: BH-M211-S011-124 [SRC-011 рис.2.11 (участки 2, 3, 9 локальной изменчивости)]; BH-SOL-124 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-127,SAME_ID_DIFFERENT_CONTEXT,BH-SECBL-127;BH-B4-127;BH-B2-127,127,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-037,"BH-SECBL-127: 011 p24, 020 p8, 037 p6 | BH-B4-127: 011 p47, 014 p103 | BH-B2-127: 014 p99",EV-VN-S011-0435;EV-VN-S020-0061;EV-VN-S037-0078;EV-VN-S011-0903;EV-VN-S014-0796;EV-VN-S014-0603,"Номер «127» встречается в 3 несвязанных контекстах: BH-SECBL-127 [Широтный разрез Березниковского района (Усольский купол – Камский прог]; BH-B4-127 [БКПРУ-4, поверхностные скважины]; BH-B2-127 [БКПРУ-2, поверхностные скважины]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,POSSIBLE_SAME,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-13,SAME_ID_DIFFERENT_CONTEXT,BH-M211-S011-13;BH-GREM-S024-13;BH-VOLGA-S029-13,13,VKM-SRC-011;VKM-SRC-024;VKM-SRC-029,BH-M211-S011-13: 011 p47 | BH-GREM-S024-13: 024 p120 | BH-VOLGA-S029-13: 029 p140,EV-VN-S011-0928;EV-VN-S024-0408;EV-VN-S029-0273,"Номер «13» встречается в 3 несвязанных контекстах: BH-M211-S011-13 [SRC-011 рис.2.11 (участки 2, 3, 9 локальной изменчивости)]; BH-GREM-S024-13 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-13 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-134,SAME_ID_DIFFERENT_CONTEXT,BH-SECI-134;BH-SOL-134,134,VKM-SRC-011;VKM-SRC-012;VKM-SRC-014;VKM-SRC-023;VKM-SRC-025,"BH-SECI-134: 011 p7, 014 p17, 023 p28, 025 p8 | BH-SOL-134: 012 p28, 012 p33, 012 p64, 012 p67, 014 p78",EV-VN-S011-0098;EV-VN-S014-0189;EV-VN-S023-0102;EV-VN-S025-0040;EV-VN-S012-0090;EV-VN-S012-0152;EV-VN-S012-0325;EV-VN-S012-0380;EV-VN-S014-0533,Номер «134» встречается в 2 несвязанных контекстах: BH-SECI-134 [Региональный широтный разрез I–I Соликамской впадины (SRC-011 рис.1.5 ]; BH-SOL-134 [Соликамский участок: шахтные поля СКРУ-1/СКРУ-2/СКРУ-3 и междушахтные ],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-137,SAME_ID_DIFFERENT_CONTEXT,BH-DUR-S011-137;BH-UM11-137,137,VKM-SRC-011;VKM-SRC-014,"BH-DUR-S011-137: 011 p31 | BH-UM11-137: 014 p20, 014 p9",EV-VN-S011-0554;EV-VN-S014-0071;EV-VN-S014-0280,"Номер «137» встречается в 2 несвязанных контекстах: BH-DUR-S011-137 [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]; BH-UM11-137 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-138,SAME_ID_DIFFERENT_CONTEXT,BH-DUR-S011-138;BH-UM11-138,138,VKM-SRC-011;VKM-SRC-014,"BH-DUR-S011-138: 011 p61, 011 p62 | BH-UM11-138: 014 p20, 014 p9",EV-VN-S011-1190;EV-VN-S011-1296;EV-VN-S014-0072;EV-VN-S014-0281,"Номер «138» встречается в 2 несвязанных контекстах: BH-DUR-S011-138 [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]; BH-UM11-138 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-14,SAME_ID_DIFFERENT_CONTEXT,BH-M135-14;BH-M211-S011-14;BH-B4-14;BH-GREM-S024-14;BH-VOLGA-S029-14,14,VKM-SRC-011;VKM-SRC-014;VKM-SRC-024;VKM-SRC-029,"BH-M135-14: 011 p24, 014 p19 | BH-M211-S011-14: 011 p47 | BH-B4-14: 014 p103 | BH-GREM-S024-14: 024 p120 | BH-VOLGA-S029-14: 029 p140",EV-VN-S011-0410;EV-VN-S014-0240;EV-VN-S011-0929;EV-VN-S014-0741;EV-VN-S024-0389;EV-VN-S029-0271,"Номер «14» встречается в 5 несвязанных контекстах: BH-M135-14 [Карта участков детальной разведки / шахтных полей центральной части ВК]; BH-M211-S011-14 [SRC-011 рис.2.11 (участки 2, 3, 9 локальной изменчивости)]; BH-B4-14 [БКПРУ-4, поверхностные скважины]; BH-GREM-S024-14 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-14 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-147,SAME_ID_DIFFERENT_CONTEXT,BH-UM11-147;BH-M135-147,147,VKM-SRC-014,BH-UM11-147: 014 p9 | BH-M135-147: 014 p19,EV-VN-S014-0096;EV-VN-S014-0257,Номер «147» встречается в 2 несвязанных контекстах: BH-UM11-147 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-M135-147 [Карта участков детальной разведки / шахтных полей центральной части ВК],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-149,SAME_ID_DIFFERENT_CONTEXT,BH-M135-149;BH-UM11-149,149,VKM-SRC-011;VKM-SRC-014,"BH-M135-149: 011 p24, 014 p19 | BH-UM11-149: 014 p9",EV-VN-S011-0418;EV-VN-S014-0258;EV-VN-S014-0097,Номер «149» встречается в 2 несвязанных контекстах: BH-M135-149 [Карта участков детальной разведки / шахтных полей центральной части ВК]; BH-UM11-149 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-15,SAME_ID_DIFFERENT_CONTEXT,BH-GREM-S024-15;BH-VOLGA-S029-15,15,VKM-SRC-024;VKM-SRC-029,BH-GREM-S024-15: 024 p120 | BH-VOLGA-S029-15: 029 p140,EV-VN-S024-0405;EV-VN-S029-0267,"Номер «15» встречается в 2 несвязанных контекстах: BH-GREM-S024-15 [Гремячинское месторождение (Волгоградская обл.)]; BH-VOLGA-S029-15 [ЕвроХим-ВолгаКалий, ПТШ №1 (Гремячинское)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-153,SAME_ID_DIFFERENT_CONTEXT,BH-DUR-S011-153;BH-UM11-153,153,VKM-SRC-011;VKM-SRC-014,"BH-DUR-S011-153: 011 p61 | BH-UM11-153: 014 p20, 014 p9",EV-VN-S011-1223;EV-VN-S014-0054;EV-VN-S014-0265,"Номер «153» встречается в 2 несвязанных контекстах: BH-DUR-S011-153 [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]; BH-UM11-153 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-154,SAME_ID_DIFFERENT_CONTEXT,BH-M39-S011-154;BH-UM11-154,154,VKM-SRC-011;VKM-SRC-014,"BH-M39-S011-154: 011 p112 | BH-UM11-154: 014 p20, 014 p9",EV-VN-S011-1898;EV-VN-S014-0055;EV-VN-S014-0266,Номер «154» встречается в 2 несвязанных контекстах: BH-M39-S011-154 [Карта ВКМС масштаба месторождения (SRC-011 рис.3.9)]; BH-UM11-154 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-155,SAME_ID_DIFFERENT_CONTEXT,BH-DUR-S011-155;BH-UM11-155;BH-TEACH-S020-155,155,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020,"BH-DUR-S011-155: 011 p67 | BH-UM11-155: 014 p20, 014 p9 | BH-TEACH-S020-155: 020 p110",EV-VN-S011-1405;EV-VN-S014-0056;EV-VN-S014-0267;EV-VN-S020-0277,"Номер «155» встречается в 3 несвязанных контекстах: BH-DUR-S011-155 [Дуринская площадь (Гулинский/Усовский прогибы, Косиковский вал)]; BH-UM11-155 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-TEACH-S020-155 [Учебная иллюстрация без привязки (SRC-020 рис.3.5)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-156,SAME_ID_DIFFERENT_CONTEXT,BH-B1-156;BH-TEACH-S020-156,156,VKM-SRC-011;VKM-SRC-020,BH-B1-156: 011 p27 | BH-TEACH-S020-156: 020 p110,EV-VN-S011-0502;EV-VN-S020-0283,"Номер «156» встречается в 2 несвязанных контекстах: BH-B1-156 [БКПРУ-1 (Березники), поверхностные скважины]; BH-TEACH-S020-156 [Учебная иллюстрация без привязки (SRC-020 рис.3.5)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-157,SAME_ID_DIFFERENT_CONTEXT,BH-B1-157;BH-TEACH-S020-157,157,VKM-SRC-011;VKM-SRC-020,BH-B1-157: 011 p27 | BH-TEACH-S020-157: 020 p110,EV-VN-S011-0503;EV-VN-S020-0278,"Номер «157» встречается в 2 несвязанных контекстах: BH-B1-157 [БКПРУ-1 (Березники), поверхностные скважины]; BH-TEACH-S020-157 [Учебная иллюстрация без привязки (SRC-020 рис.3.5)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,DIFFERENT_OR_OFFSITE,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-158,SAME_ID_DIFFERENT_CONTEXT,BH-UM11-158;BH-TEACH-S020-158verhniy;BH-TEACH-S020-158nizhniy;BH-OIL-S030-158,158,VKM-SRC-014;VKM-SRC-020;VKM-SRC-030,BH-UM11-158: 014 p9 | BH-TEACH-S020-158verhniy: 020 p110 | BH-TEACH-S020-158nizhniy: 020 p110 | BH-OIL-S030-158: 030 p3,EV-VN-S014-0101;EV-VN-S020-0276;EV-VN-S020-0282;EV-VN-S030-0024,Номер «158» встречается в 4 несвязанных контекстах: BH-UM11-158 [Карта ВКМКС SRC-014 рис.1.1 / рис.1.7 (солеразведочные скважины)]; BH-TEACH-S020-158verhniy [Учебная иллюстрация без привязки (SRC-020 рис.3.5)]; BH-TEACH-S020-158nizhniy [Учебная иллюстрация без привязки (SRC-020 рис.3.5)]; BH-OIL-S030-158 [Нефтяные скважины Соликамской впадины (SRC-030)],,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
ISS-AUTO-16,SAME_ID_DIFFERENT_CONTEXT,BH-SECI-16;BH-SECBL-16;BH-B1-16;BH-GREM-S024-16,16,VKM-SRC-011;VKM-SRC-014;VKM-SRC-020;VKM-SRC-023;VKM-SRC-024;VKM-SRC-025;VKM-SRC-037,"BH-SECI-16: 011 p7, 014 p17, 023 p28, 025 p8 | BH-SECBL-16: 011 p24, 020 p8, 037 p6 | BH-B1-16: 011 p27 | BH-GREM-S024-16: 024 p120",EV-VN-S011-0084;EV-VN-S014-0175;EV-VN-S023-0088;EV-VN-S025-0026;EV-VN-S011-0431;EV-VN-S020-0057;EV-VN-S037-0074;EV-VN-S011-0493;EV-VN-S024-0404,"Номер «16» встречается в 4 несвязанных контекстах: BH-SECI-16 [Региональный широтный разрез I–I Соликамской впадины (SRC-011 рис.1.5 ]; BH-SECBL-16 [Широтный разрез Березниковского района (Усольский купол – Камский прог]; BH-B1-16 [БКПРУ-1 (Березники), поверхностные скважины]; BH-GREM-S024-16 [Гремячинское месторождение (Волгоградская обл.)]",,Идентичность не доказана (нет общей привязки/координат).,KEPT_SEPARATE,UNDETERMINED,Координаты/каталог скважин по площадям.,OPEN
