run_id,campaign_id,date,profile_id,run_attempt,n_points,n_stations,total_distance_km,misclosure_mm,tolerance_mm,qc_status,repeated_from_run_id,provenance
LR-00247,C027,2025-07-22,P-H07,1,9,19,1.179012611,0.246760249,2.714558678,accepted,,C/S
LR-00248,C027,2025-07-22,P-V01,1,8,20,1.304520489,-0.1872642921,2.855390176,accepted,,C/S
LR-00249,C027,2025-07-22,P-V02,1,9,18,1.112843261,2.18574861,2.637284661,accepted,,C/S
LR-00250,C027,2025-07-22,P-V03,1,9,17,1.024376848,0.5780162075,2.530287592,accepted,,C/S
LR-00251,C027,2025-07-22,P-V04,1,8,17,1.050606363,0.4941527702,2.562477272,accepted,,C/S
LR-00252,C027,2025-07-22,P-V05,1,9,17,1.053865652,-2.109075889,2.566448972,accepted,,C/S
LR-00253,C027,2025-07-22,P-V06,1,9,19,1.216054076,0.320838928,2.756871048,accepted,,C/S
LR-00254,C028,2025-08-26,P-H02,1,8,19,1.234262515,0.7789598816,2.777434197,accepted,,C/S
LR-00255,C028,2025-08-26,P-H04,1,7,20,1.299470269,1.937397864,2.849857748,accepted,,C/S
LR-00256,C029,2025-11-04,P-D01,1,9,19,1.183294665,1.547905158,2.719483711,accepted,,C/S
LR-00257,C029,2025-11-04,P-H01,1,8,24,1.654687241,-0.6164701644,3.215866175,accepted,,C/S
LR-00258,C029,2025-11-04,P-H02,1,9,20,1.234262515,-0.2560334173,2.777434197,accepted,,C/S
LR-00259,C029,2025-11-04,P-H03,1,9,19,1.13295075,1.222017868,2.661003981,accepted,,C/S
LR-00260,C029,2025-11-04,P-H04,1,7,20,1.299470269,-1.371264874,2.849857748,accepted,,C/S
LR-00261,C029,2025-11-04,P-H05,1,8,22,1.505148168,-12.20041482,3.067112005,rejected_repeat_required,,C/S
LR-00262,C029,2025-11-04,P-H05,2,8,22,1.505148168,-2.213974771,3.067112005,accepted,LR-00261,C/S
LR-00263,C029,2025-11-04,P-H06,1,8,21,1.442720496,-1.018519717,3.002832513,accepted,,C/S
LR-00264,C029,2025-11-04,P-H07,1,8,18,1.179012611,-0.7078188443,2.714558678,accepted,,C/S
LR-00265,C029,2025-11-04,P-V01,1,9,21,1.304520489,1.379126081,2.855390176,accepted,,C/S
LR-00266,C029,2025-11-04,P-V02,1,7,18,1.112843261,1.805199764,2.637284661,accepted,,C/S
LR-00267,C029,2025-11-04,P-V03,1,9,17,1.024376848,-0.3285064898,2.530287592,accepted,,C/S
LR-00268,C029,2025-11-04,P-V04,1,9,17,1.050606363,-0.2032861379,2.562477272,accepted,,C/S
LR-00269,C029,2025-11-04,P-V05,1,9,17,1.053865652,1.277644495,2.566448972,accepted,,C/S
LR-00270,C029,2025-11-04,P-V06,1,9,19,1.216054076,9.262683662,2.756871048,rejected_repeat_required,,C/S
LR-00271,C029,2025-11-04,P-V06,2,9,19,1.216054076,-1.518332784,2.756871048,accepted,LR-00270,C/S
